window_size,tool_sequence,frequency
3,WRITE -> WRITE -> WRITE,589
3,WRITE -> BUILD -> TEST,501
3,WRITE -> WRITE -> BUILD,477
3,TEST -> SEARCH_FILES -> READ,439
3,READ -> WRITE -> WRITE,424
3,READ -> SEARCH_FILES -> READ,368
3,TEST -> WRITE -> TEST,360
3,SEARCH_FILES -> READ -> READ,358
3,WRITE -> TEST -> WRITE,346
3,BUILD -> TEST -> WRITE,339
3,SEARCH_FILES -> READ -> SEARCH_FILES,297
3,READ -> WRITE -> BUILD,271
3,WRITE -> TEST -> SEARCH_FILES,269
3,READ -> READ -> WRITE,268
3,READ -> SEARCH_CONTENT -> READ,247
3,WRITE -> BUILD -> BUILD,226
3,TEST -> TEST -> TEST,225
3,BUILD -> TEST -> TEST,223
3,SEARCH_FILES -> READ -> WRITE,204
3,READ -> BUILD -> TEST,200
3,READ -> READ -> BUILD,197
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,186
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,185
3,SEARCH_CONTENT -> READ -> WRITE,185
3,WRITE -> READ -> WRITE,183
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,181
3,BUILD -> WRITE -> TEST,178
3,WRITE -> SEARCH_FILES -> READ,162
3,VCS -> READ -> VCS,156
3,SEARCH_CONTENT -> READ -> READ,156
3,TEST -> TEST -> WRITE,152
3,READ -> WRITE -> READ,149
3,WRITE -> BUILD -> WRITE,146
3,READ -> READ -> READ,142
3,SEARCH_FILES -> SEARCH_FILES -> READ,140
3,TEST -> WRITE -> VCS,139
3,SEARCH_FILES -> SEARCH_CONTENT -> READ,139
3,BUILD -> BUILD -> BUILD,135
3,TEST -> READ -> READ,135
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,135
3,TEST -> READ -> WRITE,135
3,WRITE -> TEST -> READ,135
3,READ -> TEST -> READ,131
3,WRITE -> TEST -> TEST,127
3,READ -> VCS -> READ,121
3,READ -> BUILD -> READ,118
3,READ -> READ -> SEARCH_CONTENT,117
3,BUILD -> BUILD -> WRITE,115
3,TEST -> WRITE -> SEARCH_FILES,114
3,BUILD -> TEST -> READ,113
3,READ -> SEARCH_FILES -> SEARCH_CONTENT,111
3,SEARCH_FILES -> READ -> TEST,108
3,TEST -> TEST -> READ,105
3,SEARCH_CONTENT -> WRITE -> WRITE,99
3,BUILD -> READ -> WRITE,96
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,95
3,SEARCH_FILES -> READ -> UTIL,94
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,93
3,READ -> READ -> TEST,92
3,WRITE -> WRITE -> READ,89
3,BUILD -> READ -> BUILD,88
3,READ -> WRITE -> TEST,88
3,READ -> WRITE -> SEARCH_FILES,86
3,READ -> VCS -> VCS,85
3,READ -> READ -> SEARCH_FILES,77
3,READ -> BUILD -> SEARCH_CONTENT,76
3,SEARCH_FILES -> TEST -> SEARCH_FILES,76
3,TEST -> READ -> SEARCH_FILES,75
3,SEARCH_FILES -> READ -> BUILD,75
3,VCS -> VCS -> VCS,74
3,TEST -> READ -> TEST,74
3,WRITE -> SEARCH_FILES -> SEARCH_FILES,73
3,READ -> TEST -> SEARCH_FILES,72
3,READ -> SEARCH_FILES -> SEARCH_FILES,72
3,WRITE -> SEARCH_FILES -> TEST,70
3,WRITE -> READ -> READ,70
3,SEARCH_CONTENT -> WRITE -> BUILD,69
3,BUILD -> BUILD -> READ,68
3,BUILD -> WRITE -> BUILD,67
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,67
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,62
