window_size,tool_sequence,frequency
3,WRITE -> BUILD -> TEST,67
3,WRITE -> WRITE -> WRITE,62
3,WRITE -> WRITE -> BUILD,47
3,READ -> WRITE -> BUILD,45
3,READ -> WRITE -> WRITE,45
3,READ -> SEARCH_CONTENT -> READ,43
3,READ -> READ -> WRITE,42
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,37
3,TEST -> TEST -> TEST,36
3,SEARCH_CONTENT -> READ -> READ,33
3,TEST -> SEARCH_FILES -> READ,32
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,32
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,32
3,READ -> TEST -> READ,31
3,BUILD -> TEST -> TEST,30
3,BUILD -> TEST -> READ,26
3,SEARCH_FILES -> READ -> READ,26
3,SEARCH_CONTENT -> READ -> WRITE,26
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,26
3,READ -> SEARCH_FILES -> READ,24
3,TEST -> READ -> TEST,22
3,READ -> READ -> READ,22
3,WRITE -> TEST -> SEARCH_FILES,21
3,TEST -> READ -> READ,20
3,SEARCH_FILES -> READ -> SEARCH_FILES,20
3,TEST -> READ -> WRITE,20
3,READ -> WRITE -> TEST,19
3,WRITE -> READ -> WRITE,18
3,WRITE -> TEST -> TEST,17
3,TEST -> TEST -> READ,17
3,READ -> BUILD -> SEARCH_CONTENT,17
3,READ -> BUILD -> READ,17
3,WRITE -> BUILD -> BUILD,17
3,READ -> WRITE -> READ,17
3,WRITE -> TEST -> READ,17
3,BUILD -> WRITE -> TEST,16
3,READ -> READ -> SEARCH_CONTENT,16
3,SEARCH_FILES -> READ -> WRITE,15
3,TEST -> READ -> BUILD,15
3,READ -> VCS -> READ,15
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,15
3,READ -> BUILD -> TEST,14
3,BUILD -> SEARCH_CONTENT -> READ,14
3,VCS -> READ -> VCS,14
3,WRITE -> SEARCH_FILES -> READ,14
3,READ -> READ -> SEARCH_FILES,14
3,BUILD -> TEST -> SEARCH_CONTENT,13
3,READ -> VCS -> VCS,13
3,SEARCH_FILES -> SEARCH_FILES -> READ,13
3,TEST -> WRITE -> TEST,13
3,BUILD -> READ -> BUILD,12
3,BUILD -> READ -> TEST,12
3,BUILD -> TEST -> WRITE,12
3,BUILD -> READ -> WRITE,12
3,BUILD -> BUILD -> WRITE,12
3,SEARCH_FILES -> SEARCH_CONTENT -> READ,12
3,WRITE -> BUILD -> WRITE,11
3,SEARCH_CONTENT -> TEST -> READ,11
3,READ -> SEARCH_FILES -> SEARCH_CONTENT,11
3,READ -> READ -> BUILD,11
3,VCS -> READ -> READ,11
3,SEARCH_CONTENT -> WRITE -> WRITE,11
3,TEST -> READ -> SEARCH_CONTENT,11
3,BUILD -> TEST -> BUILD,10
3,SEARCH_CONTENT -> VCS -> SEARCH_CONTENT,10
3,SEARCH_CONTENT -> BUILD -> READ,10
3,WRITE -> BUILD -> READ,10
3,TEST -> SEARCH_CONTENT -> READ,10
3,TEST -> TEST -> SEARCH_CONTENT,9
3,TEST -> TEST -> WRITE,9
3,READ -> TEST -> SEARCH_CONTENT,9
3,TEST -> SEARCH_CONTENT -> TEST,9
3,SEARCH_FILES -> READ -> UTIL,9
3,TEST -> BUILD -> SEARCH_CONTENT,9
3,BUILD -> SEARCH_CONTENT -> WRITE,9
3,TEST -> BUILD -> READ,9
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_CONTENT,9
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,8
3,BUILD -> SEARCH_CONTENT -> BUILD,8
3,TEST -> READ -> VCS,8
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,8
3,TEST -> SEARCH_CONTENT -> BUILD,8
3,SEARCH_CONTENT -> READ -> BUILD,8
3,VCS -> SEARCH_CONTENT -> VCS,8
3,READ -> WRITE -> SEARCH_FILES,8
3,READ -> SEARCH_FILES -> SEARCH_FILES,8
3,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,8
3,TEST -> TEST -> SEARCH_FILES,7
3,SEARCH_CONTENT -> WRITE -> BUILD,7
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,7
3,SEARCH_CONTENT -> READ -> VCS,7
3,SEARCH_FILES -> READ -> BUILD,7
3,SCRIPT -> READ -> SCRIPT,7
3,READ -> SCRIPT -> SCRIPT,7
3,TEST -> READ -> SEARCH_FILES,6
3,SEARCH_CONTENT -> BUILD -> SEARCH_CONTENT,6
3,SEARCH_CONTENT -> VCS -> READ,6
3,WRITE -> TEST -> BUILD,6
3,SEARCH_CONTENT -> READ -> TEST,6
3,TEST -> SEARCH_CONTENT -> WRITE,6
3,SEARCH_CONTENT -> TEST -> SEARCH_CONTENT,6
3,BUILD -> WRITE -> BUILD,6
3,VCS -> BUILD -> TEST,6
3,BUILD -> TEST -> VCS,6
3,READ -> SEARCH_CONTENT -> WRITE,6
3,WRITE -> WRITE -> SEARCH_CONTENT,6
3,VCS -> VCS -> READ,6
3,WRITE -> SEARCH_CONTENT -> READ,6
3,WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT,6
3,WRITE -> TEST -> WRITE,6
3,SCRIPT -> SCRIPT -> SCRIPT,6
3,SEARCH_FILES -> READ -> TEST,5
3,READ -> SEARCH_CONTENT -> SEARCH_FILES,5
3,WRITE -> WRITE -> READ,5
3,READ -> READ -> TEST,5
3,TEST -> SEARCH_FILES -> SEARCH_FILES,5
3,TEST -> TEST -> BUILD,5
3,VCS -> VCS -> VCS,5
3,WRITE -> BUILD -> SEARCH_CONTENT,5
3,TEST -> WRITE -> SEARCH_FILES,5
3,TEST -> SEARCH_CONTENT -> SEARCH_CONTENT,5
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_FILES,5
3,VCS -> SEARCH_CONTENT -> READ,5
3,BUILD -> READ -> SEARCH_CONTENT,5
3,VCS -> VCS -> TEST,5
3,BUILD -> SEARCH_CONTENT -> SEARCH_FILES,5
3,READ -> READ -> VCS,5
3,READ -> TEST -> SEARCH_FILES,5
3,BUILD -> BUILD -> SEARCH_CONTENT,5
3,READ -> BUILD -> BUILD,5
3,SEARCH_CONTENT -> WRITE -> SEARCH_FILES,5
3,WRITE -> READ -> READ,5
3,WRITE -> WRITE -> SCRIPT,5
3,WRITE -> SCRIPT -> READ,5
3,SCRIPT -> WRITE -> SCRIPT,5
3,VCS -> VCS -> WRITE,4
3,VCS -> WRITE -> BUILD,4
3,TEST -> WRITE -> BUILD,4
3,BUILD -> SEARCH_CONTENT -> TEST,4
3,BUILD -> BUILD -> READ,4
3,READ -> VCS -> WRITE,4
3,BUILD -> SEARCH_CONTENT -> VCS,4
3,READ -> TEST -> WRITE,4
3,BUILD -> TEST -> SEARCH_FILES,4
3,BUILD -> READ -> SEARCH_FILES,4
3,BUILD -> READ -> READ,4
3,BUILD -> NAVIGATE -> BUILD,4
3,VCS -> READ -> WRITE,4
3,READ -> READ -> DEFECTS4J_OTHER,4
3,TEST -> SEARCH_CONTENT -> VCS,4
3,TEST -> VCS -> READ,4
3,NAVIGATE -> BUILD -> SEARCH_CONTENT,4
3,VCS -> VCS -> BUILD,4
3,READ -> WRITE -> SEARCH_CONTENT,4
3,WRITE -> VCS -> VCS,4
3,WRITE -> SEARCH_FILES -> SEARCH_CONTENT,4
3,SCRIPT -> SCRIPT -> READ,4
3,READ -> READ -> SCRIPT,4
3,SCRIPT -> SCRIPT -> WRITE,4
3,READ -> WRITE -> VCS,3
3,SEARCH_FILES -> SEARCH_CONTENT -> VCS,3
3,SEARCH_CONTENT -> WRITE -> VCS,3
3,BUILD -> READ -> VCS,3
3,TEST -> VCS -> WRITE,3
3,READ -> UTIL -> BUILD,3
3,UTIL -> BUILD -> TEST,3
3,WRITE -> SEARCH_FILES -> SEARCH_FILES,3
3,NAVIGATE -> SEARCH_CONTENT -> NAVIGATE,3
3,SEARCH_CONTENT -> NAVIGATE -> BUILD,3
3,NAVIGATE -> BUILD -> NAVIGATE,3
3,WRITE -> BUILD -> NAVIGATE,3
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_CONTENT,3
3,TEST -> TEST -> VCS,3
3,READ -> SEARCH_CONTENT -> VCS,3
3,READ -> VCS -> SEARCH_CONTENT,3
3,TEST -> VCS -> VCS,3
3,VCS -> TEST -> SEARCH_CONTENT,3
3,SEARCH_CONTENT -> VCS -> BUILD,3
3,WRITE -> SEARCH_FILES -> TEST,3
3,SEARCH_FILES -> TEST -> SEARCH_FILES,3
3,READ -> SEARCH_CONTENT -> TEST,3
3,SEARCH_CONTENT -> WRITE -> SEARCH_CONTENT,3
3,VCS -> WRITE -> WRITE,3
3,TEST -> SEARCH_FILES -> SEARCH_CONTENT,3
3,TEST -> WRITE -> WRITE,3
3,READ -> NAVIGATE -> BUILD,3
3,TEST -> BUILD -> TEST,3
3,NAVIGATE -> BUILD -> TEST,3
3,TEST -> READ -> NAVIGATE,3
3,BUILD -> SEARCH_CONTENT -> NAVIGATE,3
3,BUILD -> WRITE -> WRITE,3
3,BUILD -> BUILD -> BUILD,3
3,SEARCH_CONTENT -> SEARCH_CONTENT -> TEST,3
3,READ -> SEARCH_FILES -> UTIL,3
3,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_FILES,3
3,SEARCH_FILES -> SEARCH_FILES -> WRITE,3
3,SCRIPT -> READ -> WRITE,3
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SCRIPT,3
3,SEARCH_CONTENT -> SCRIPT -> READ,3
3,SCRIPT -> READ -> SEARCH_CONTENT,3
3,WRITE -> SCRIPT -> SCRIPT,3
3,READ -> SCRIPT -> WRITE,3
3,SCRIPT -> SEARCH_CONTENT -> READ,3
3,TEST -> SEARCH_CONTENT -> SEARCH_FILES,2
3,READ -> UTIL -> READ,2
3,UTIL -> READ -> WRITE,2
3,SEARCH_CONTENT -> BUILD -> BUILD,2
3,NAVIGATE -> SEARCH_FILES -> SEARCH_CONTENT,2
3,VCS -> SEARCH_CONTENT -> WRITE,2
3,VCS -> SEARCH_CONTENT -> SEARCH_CONTENT,2
3,BUILD -> SEARCH_CONTENT -> SEARCH_CONTENT,2
3,VCS -> TEST -> VCS,2
3,VCS -> WRITE -> TEST,2
3,WRITE -> TEST -> NAVIGATE,2
3,NAVIGATE -> SEARCH_CONTENT -> SEARCH_CONTENT,2
3,READ -> SEARCH_FILES -> BUILD,2
3,WRITE -> SEARCH_CONTENT -> BUILD,2
3,SEARCH_CONTENT -> BUILD -> WRITE,2
3,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_FILES,2
3,SEARCH_FILES -> SEARCH_CONTENT -> WRITE,2
3,READ -> DEFECTS4J_OTHER -> WRITE,2
3,READ -> DEFECTS4J_OTHER -> VCS,2
3,DEFECTS4J_OTHER -> VCS -> READ,2
3,READ -> DEFECTS4J_OTHER -> SEARCH_FILES,2
3,DEFECTS4J_OTHER -> SEARCH_FILES -> READ,2
3,SEARCH_FILES -> SEARCH_FILES -> UTIL,2
3,SEARCH_FILES -> BUILD -> READ,2
3,UTIL -> TEST -> SEARCH_CONTENT,2
3,TEST -> WRITE -> VCS,2
3,BUILD -> SEARCH_FILES -> SEARCH_FILES,2
3,WRITE -> READ -> SEARCH_CONTENT,2
3,VCS -> VCS -> SEARCH_CONTENT,2
3,SEARCH_CONTENT -> SEARCH_FILES -> BUILD,2
3,SEARCH_FILES -> BUILD -> SEARCH_CONTENT,2
