window_size,tool_sequence,frequency
4,WRITE -> WRITE -> BUILD -> TEST,251
4,WRITE -> WRITE -> WRITE -> WRITE,241
4,TEST -> WRITE -> TEST -> WRITE,235
4,WRITE -> WRITE -> WRITE -> BUILD,234
4,WRITE -> TEST -> SEARCH_FILES -> READ,228
4,TEST -> SEARCH_FILES -> READ -> READ,201
4,READ -> WRITE -> WRITE -> WRITE,188
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,177
4,WRITE -> BUILD -> TEST -> WRITE,169
4,BUILD -> TEST -> WRITE -> TEST,166
4,SEARCH_FILES -> READ -> READ -> BUILD,153
4,WRITE -> BUILD -> TEST -> TEST,152
4,READ -> READ -> BUILD -> TEST,129
4,WRITE -> BUILD -> WRITE -> TEST,127
4,READ -> WRITE -> WRITE -> BUILD,126
4,READ -> BUILD -> TEST -> WRITE,117
4,READ -> WRITE -> BUILD -> TEST,113
4,WRITE -> TEST -> WRITE -> VCS,113
4,WRITE -> WRITE -> BUILD -> WRITE,107
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,106
4,READ -> READ -> WRITE -> WRITE,103
4,TEST -> TEST -> WRITE -> TEST,100
4,WRITE -> BUILD -> BUILD -> BUILD,81
4,BUILD -> TEST -> WRITE -> SEARCH_FILES,79
4,SEARCH_CONTENT -> READ -> WRITE -> WRITE,79
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,79
4,WRITE -> READ -> WRITE -> WRITE,73
4,TEST -> TEST -> TEST -> TEST,71
4,READ -> WRITE -> BUILD -> BUILD,71
4,SEARCH_FILES -> TEST -> SEARCH_FILES -> READ,71
4,READ -> VCS -> READ -> VCS,71
4,WRITE -> WRITE -> READ -> WRITE,69
4,BUILD -> WRITE -> TEST -> TEST,66
4,TEST -> SEARCH_FILES -> READ -> SEARCH_FILES,66
4,BUILD -> WRITE -> TEST -> WRITE,65
4,TEST -> WRITE -> SEARCH_FILES -> READ,65
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,65
4,WRITE -> TEST -> WRITE -> TEST,65
4,BUILD -> TEST -> TEST -> TEST,64
4,READ -> SEARCH_FILES -> READ -> WRITE,64
4,SEARCH_FILES -> READ -> WRITE -> WRITE,63
4,READ -> SEARCH_FILES -> SEARCH_CONTENT -> READ,61
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,61
4,SEARCH_FILES -> SEARCH_FILES -> READ -> READ,60
4,BUILD -> TEST -> TEST -> WRITE,60
4,TEST -> SEARCH_FILES -> READ -> WRITE,58
4,TEST -> SEARCH_FILES -> READ -> UTIL,58
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,58
4,READ -> WRITE -> READ -> WRITE,58
4,WRITE -> BUILD -> BUILD -> WRITE,57
4,READ -> READ -> SEARCH_CONTENT -> READ,57
4,WRITE -> SEARCH_FILES -> TEST -> SEARCH_FILES,56
4,WRITE -> READ -> WRITE -> BUILD,55
4,TEST -> TEST -> TEST -> WRITE,54
4,READ -> SEARCH_CONTENT -> READ -> WRITE,54
4,READ -> WRITE -> SEARCH_FILES -> READ,51
4,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_CONTENT,50
4,READ -> TEST -> SEARCH_FILES -> READ,50
4,BUILD -> WRITE -> BUILD -> BUILD,49
4,VCS -> READ -> VCS -> READ,49
4,TEST -> READ -> SEARCH_FILES -> READ,48
4,BUILD -> BUILD -> WRITE -> BUILD,47
4,SEARCH_FILES -> READ -> READ -> TEST,46
4,WRITE -> WRITE -> BUILD -> BUILD,46
4,SEARCH_CONTENT -> READ -> READ -> WRITE,46
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> SEARCH_FILES,45
4,WRITE -> BUILD -> TEST -> READ,45
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,45
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,45
4,WRITE -> SEARCH_FILES -> READ -> SEARCH_FILES,43
4,SEARCH_FILES -> READ -> READ -> WRITE,43
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,43
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,43
4,WRITE -> SEARCH_FILES -> READ -> TEST,42
4,SEARCH_CONTENT -> READ -> SEARCH_FILES -> READ,41
4,BUILD -> READ -> WRITE -> BUILD,41
4,VCS -> READ -> VCS -> VCS,41
4,READ -> READ -> READ -> WRITE,41
4,WRITE -> TEST -> TEST -> TEST,40
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> WRITE,40
4,SEARCH_FILES -> READ -> WRITE -> READ,40
4,READ -> SEARCH_FILES -> READ -> READ,40
4,READ -> WRITE -> WRITE -> READ,40
4,WRITE -> SEARCH_FILES -> SEARCH_FILES -> READ,38
4,SEARCH_CONTENT -> WRITE -> WRITE -> WRITE,38
4,READ -> SEARCH_CONTENT -> READ -> READ,38
4,READ -> READ -> WRITE -> BUILD,37
4,SEARCH_CONTENT -> WRITE -> WRITE -> BUILD,37
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> READ,37
4,READ -> SEARCH_FILES -> READ -> SEARCH_CONTENT,36
4,BUILD -> TEST -> TEST -> READ,36
4,READ -> READ -> SEARCH_FILES -> READ,36
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> READ,36
4,TEST -> WRITE -> SEARCH_FILES -> SEARCH_FILES,35
4,BUILD -> BUILD -> BUILD -> WRITE,35
4,TEST -> WRITE -> TEST -> TEST,35
4,READ -> SEARCH_FILES -> READ -> BUILD,34
4,SEARCH_CONTENT -> WRITE -> BUILD -> TEST,34
4,TEST -> READ -> READ -> WRITE,34
4,BUILD -> READ -> BUILD -> READ,33
4,SEARCH_CONTENT -> READ -> WRITE -> BUILD,33
4,SEARCH_FILES -> READ -> READ -> SEARCH_FILES,31
4,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_FILES,31
4,TEST -> WRITE -> TEST -> SEARCH_FILES,30
4,READ -> SEARCH_FILES -> READ -> TEST,30
4,READ -> SEARCH_FILES -> SEARCH_FILES -> READ,30
4,SEARCH_FILES -> READ -> TEST -> SEARCH_FILES,30
4,SEARCH_FILES -> READ -> UTIL -> BUILD,30
4,BUILD -> BUILD -> BUILD -> BUILD,29
4,READ -> BUILD -> READ -> BUILD,29
4,WRITE -> WRITE -> WRITE -> READ,29
4,VCS -> SEARCH_CONTENT -> READ -> VCS,29
4,READ -> SEARCH_CONTENT -> WRITE -> WRITE,29
4,READ -> VCS -> VCS -> VCS,28
4,VCS -> WRITE -> WRITE -> WRITE,28
4,VCS -> VCS -> VCS -> VCS,28
4,VCS -> SEARCH_CONTENT -> VCS -> SEARCH_CONTENT,28
4,TEST -> READ -> WRITE -> SEARCH_FILES,28
4,SEARCH_CONTENT -> READ -> READ -> SEARCH_CONTENT,28
4,READ -> TEST -> READ -> WRITE,28
4,TEST -> READ -> TEST -> READ,28
4,TEST -> TEST -> SEARCH_FILES -> READ,27
4,SEARCH_FILES -> READ -> WRITE -> BUILD,27
4,BUILD -> TEST -> READ -> WRITE,27
4,SEARCH_FILES -> READ -> BUILD -> READ,27
4,READ -> READ -> READ -> READ,27
4,TEST -> WRITE -> READ -> READ,27
4,TEST -> TEST -> READ -> READ,26
4,READ -> BUILD -> READ -> WRITE,26
4,TEST -> WRITE -> BUILD -> TEST,26
4,VCS -> READ -> VCS -> WRITE,26
4,WRITE -> TEST -> READ -> READ,26
4,WRITE -> SEARCH_FILES -> READ -> WRITE,26
4,WRITE -> READ -> WRITE -> READ,26
4,TEST -> WRITE -> TEST -> READ,26
4,WRITE -> TEST -> READ -> WRITE,26
4,SEARCH_FILES -> READ -> TEST -> READ,25
4,SEARCH_CONTENT -> READ -> SEARCH_FILES -> SEARCH_CONTENT,25
4,WRITE -> READ -> READ -> WRITE,25
4,READ -> WRITE -> READ -> BUILD,24
4,WRITE -> READ -> BUILD -> TEST,24
4,BUILD -> TEST -> WRITE -> BUILD,24
4,READ -> BUILD -> TEST -> TEST,24
4,VCS -> READ -> VCS -> SEARCH_CONTENT,24
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,24
4,SEARCH_CONTENT -> READ -> READ -> READ,24
4,READ -> READ -> WRITE -> TEST,24
4,READ -> READ -> WRITE -> READ,24
4,READ -> READ -> READ -> SEARCH_CONTENT,24
4,WRITE -> TEST -> TEST -> WRITE,23
4,WRITE -> BUILD -> BUILD -> READ,23
4,BUILD -> BUILD -> READ -> WRITE,23
4,BUILD -> READ -> BUILD -> SEARCH_CONTENT,23
4,BUILD -> READ -> SEARCH_FILES -> READ,23
4,READ -> BUILD -> TEST -> READ,23
4,READ -> VCS -> SEARCH_CONTENT -> READ,23
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> WRITE,23
4,WRITE -> TEST -> TEST -> READ,23
4,READ -> TEST -> READ -> READ,23
4,READ -> WRITE -> BUILD -> WRITE,22
4,SEARCH_FILES -> READ -> READ -> READ,22
4,TEST -> TEST -> TEST -> READ,22
4,BUILD -> BUILD -> SEARCH_FILES -> READ,22
4,BUILD -> BUILD -> WRITE -> WRITE,22
4,READ -> READ -> BUILD -> SEARCH_FILES,22
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> READ,22
4,SEARCH_FILES -> READ -> READ -> SEARCH_CONTENT,22
4,WRITE -> BUILD -> TEST -> BUILD,21
4,TEST -> READ -> WRITE -> BUILD,21
4,WRITE -> BUILD -> TEST -> SEARCH_CONTENT,21
4,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,21
4,SEARCH_FILES -> READ -> WRITE -> SEARCH_FILES,21
4,READ -> VCS -> SEARCH_CONTENT -> VCS,21
4,READ -> READ -> TEST -> WRITE,21
4,READ -> READ -> TEST -> READ,21
4,TEST -> READ -> READ -> READ,21
4,READ -> WRITE -> SEARCH_CONTENT -> READ,21
4,READ -> WRITE -> TEST -> READ,21
4,READ -> WRITE -> READ -> READ,21
4,WRITE -> TEST -> WRITE -> READ,21
4,BUILD -> BUILD -> WRITE -> TEST,20
4,SEARCH_FILES -> READ -> TEST -> BUILD,20
4,TEST -> READ -> WRITE -> TEST,20
4,WRITE -> BUILD -> BUILD -> SEARCH_FILES,19
4,BUILD -> TEST -> SEARCH_FILES -> READ,19
4,BUILD -> TEST -> WRITE -> READ,19
4,SEARCH_CONTENT -> VCS -> READ -> VCS,19
4,READ -> READ -> TEST -> SEARCH_FILES,19
4,SEARCH_CONTENT -> READ -> VCS -> READ,19
4,VCS -> READ -> WRITE -> WRITE,19
4,VCS -> VCS -> VCS -> READ,19
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_FILES,19
4,SEARCH_CONTENT -> WRITE -> BUILD -> BUILD,19
4,SEARCH_FILES -> SEARCH_FILES -> READ -> SEARCH_FILES,19
4,READ -> WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT,19
4,READ -> TEST -> READ -> SEARCH_FILES,18
4,READ -> TEST -> WRITE -> SEARCH_FILES,18
4,BUILD -> READ -> WRITE -> WRITE,18
4,TEST -> SEARCH_FILES -> SEARCH_FILES -> READ,18
4,READ -> UTIL -> BUILD -> TEST,18
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,18
4,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,18
4,BUILD -> SEARCH_CONTENT -> WRITE -> BUILD,18
4,READ -> SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,18
4,BUILD -> BUILD -> BUILD -> TEST,18
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT -> READ,18
4,SEARCH_CONTENT -> READ -> WRITE -> READ,18
4,READ -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,18
4,BUILD -> WRITE -> TEST -> READ,17
4,BUILD -> SEARCH_FILES -> SEARCH_FILES -> READ,17
4,READ -> BUILD -> BUILD -> READ,17
4,VCS -> SEARCH_CONTENT -> WRITE -> WRITE,17
4,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE -> WRITE,17
4,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE -> BUILD,17
4,WRITE -> SEARCH_FILES -> READ -> SEARCH_CONTENT,17
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> WRITE,17
4,WRITE -> TEST -> READ -> TEST,17
4,WRITE -> TEST -> WRITE -> FILE_OPS,16
4,BUILD -> BUILD -> BUILD -> SEARCH_FILES,16
4,READ -> BUILD -> SEARCH_FILES -> TEST,16
4,BUILD -> SEARCH_FILES -> READ -> SEARCH_FILES,16
4,SEARCH_FILES -> READ -> BUILD -> BUILD,16
4,READ -> VCS -> WRITE -> WRITE,16
4,WRITE -> BUILD -> TEST -> VCS,16
4,VCS -> VCS -> READ -> WRITE,16
4,SEARCH_FILES -> READ -> UTIL -> SEARCH_FILES,16
4,BUILD -> TEST -> READ -> READ,16
4,READ -> SEARCH_FILES -> READ -> UTIL,16
4,WRITE -> READ -> READ -> READ,16
4,WRITE -> WRITE -> TEST -> WRITE,16
4,READ -> TEST -> BUILD -> READ,15
4,WRITE -> TEST -> TEST -> SEARCH_FILES,15
4,TEST -> WRITE -> BUILD -> BUILD,15
4,BUILD -> BUILD -> BUILD -> READ,15
4,BUILD -> SEARCH_CONTENT -> SEARCH_FILES -> READ,15
4,SEARCH_CONTENT -> SEARCH_FILES -> READ -> WRITE,15
