window_size,tool_sequence,frequency
4,WRITE -> WRITE -> WRITE -> WRITE,865
4,READ -> WRITE -> READ -> WRITE,367
4,WRITE -> READ -> WRITE -> READ,318
4,WRITE -> BUILD -> TEST -> WRITE,309
4,WRITE -> WRITE -> BUILD -> TEST,298
4,WRITE -> BUILD -> TEST -> READ,275
4,READ -> WRITE -> BUILD -> TEST,268
4,WRITE -> TEST -> WRITE -> WRITE,230
4,WRITE -> WRITE -> TEST -> WRITE,221
4,BUILD -> TEST -> READ -> WRITE,192
4,TEST -> WRITE -> WRITE -> TEST,191
4,BUILD -> TEST -> WRITE -> WRITE,190
4,WRITE -> TEST -> WRITE -> TEST,178
4,WRITE -> WRITE -> WRITE -> BUILD,167
4,TEST -> WRITE -> TEST -> WRITE,163
4,WRITE -> WRITE -> READ -> WRITE,140
4,TEST -> READ -> WRITE -> BUILD,118
4,WRITE -> READ -> WRITE -> WRITE,118
4,TEST -> WRITE -> WRITE -> WRITE,118
4,WRITE -> TEST -> READ -> WRITE,114
4,READ -> WRITE -> WRITE -> WRITE,110
4,TEST -> READ -> WRITE -> WRITE,100
4,TEST -> WRITE -> WRITE -> BUILD,99
4,READ -> READ -> READ -> READ,99
4,WRITE -> READ -> WRITE -> BUILD,93
4,BUILD -> TEST -> WRITE -> BUILD,93
4,BUILD -> TEST -> READ -> READ,92
4,READ -> WRITE -> TEST -> READ,90
4,TEST -> WRITE -> BUILD -> TEST,88
4,WRITE -> BUILD -> TEST -> VCS,87
4,READ -> WRITE -> WRITE -> BUILD,85
4,TEST -> READ -> READ -> WRITE,84
4,WRITE -> BUILD -> WRITE -> BUILD,77
4,READ -> READ -> WRITE -> BUILD,76
4,READ -> WRITE -> WRITE -> READ,75
4,TEST -> READ -> WRITE -> TEST,73
4,WRITE -> WRITE -> BUILD -> WRITE,72
4,BUILD -> TEST -> VCS -> WRITE,69
4,READ -> READ -> READ -> WRITE,64
4,WRITE -> WRITE -> WRITE -> READ,60
4,WRITE -> BUILD -> TEST -> TEST,56
4,READ -> READ -> WRITE -> WRITE,54
4,BUILD -> WRITE -> BUILD -> TEST,52
4,WRITE -> BUILD -> WRITE -> WRITE,51
4,READ -> WRITE -> WRITE -> TEST,50
4,WRITE -> WRITE -> TEST -> READ,49
4,TEST -> WRITE -> READ -> WRITE,49
4,WRITE -> WRITE -> WRITE -> TEST,49
4,VCS -> WRITE -> BUILD -> TEST,48
4,READ -> WRITE -> TEST -> WRITE,47
4,TEST -> READ -> READ -> READ,45
4,READ -> WRITE -> BUILD -> WRITE,43
4,VCS -> WRITE -> WRITE -> WRITE,42
4,TEST -> VCS -> WRITE -> WRITE,42
4,TEST -> VCS -> WRITE -> BUILD,42
4,WRITE -> BUILD -> READ -> WRITE,36
4,TEST -> READ -> WRITE -> READ,36
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,35
4,WRITE -> READ -> WRITE -> TEST,33
4,READ -> TEST -> READ -> READ,32
4,READ -> READ -> WRITE -> READ,31
4,READ -> SEARCH_CONTENT -> READ -> WRITE,30
4,READ -> SEARCH_FILES -> READ -> WRITE,28
4,READ -> READ -> WRITE -> TEST,28
4,TEST -> READ -> BUILD -> TEST,27
4,TEST -> READ -> TEST -> READ,27
4,WRITE -> READ -> READ -> WRITE,27
4,READ -> BUILD -> TEST -> READ,26
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,26
4,BUILD -> TEST -> TEST -> READ,26
4,READ -> TEST -> READ -> BUILD,25
4,BUILD -> WRITE -> WRITE -> BUILD,25
4,VCS -> WRITE -> WRITE -> BUILD,25
4,TEST -> READ -> SEARCH_CONTENT -> READ,25
4,READ -> WRITE -> READ -> READ,25
4,VCS -> VCS -> VCS -> VCS,24
4,BUILD -> TEST -> WRITE -> READ,23
4,READ -> TEST -> READ -> SEARCH_FILES,22
4,WRITE -> TEST -> READ -> READ,22
4,BUILD -> WRITE -> BUILD -> WRITE,21
4,TEST -> READ -> SEARCH_FILES -> READ,20
4,READ -> WRITE -> BUILD -> READ,19
4,WRITE -> FILE_OPS -> SCRIPT -> TEST,19
4,BUILD -> WRITE -> WRITE -> WRITE,18
4,WRITE -> WRITE -> BUILD -> READ,18
4,BUILD -> READ -> WRITE -> BUILD,18
4,BUILD -> TEST -> READ -> VCS,18
4,READ -> SEARCH_FILES -> BUILD -> TEST,18
4,WRITE -> BUILD -> VCS -> WRITE,18
4,SEARCH_CONTENT -> READ -> READ -> READ,18
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,18
4,WRITE -> TEST -> WRITE -> READ,18
4,FILE_OPS -> SCRIPT -> TEST -> WRITE,18
4,TEST -> TEST -> READ -> WRITE,17
4,TEST -> READ -> SEARCH_FILES -> BUILD,17
4,SEARCH_FILES -> BUILD -> TEST -> READ,17
