window_size,tool_sequence,frequency
5,WRITE -> WRITE -> WRITE -> WRITE -> WRITE,770
5,WRITE -> READ -> WRITE -> READ -> WRITE,300
5,READ -> WRITE -> READ -> WRITE -> READ,270
5,WRITE -> BUILD -> TEST -> READ -> WRITE,242
5,WRITE -> BUILD -> TEST -> WRITE -> WRITE,227
5,READ -> WRITE -> BUILD -> TEST -> READ,226
5,WRITE -> WRITE -> BUILD -> TEST -> WRITE,208
5,WRITE -> WRITE -> TEST -> WRITE -> WRITE,199
5,WRITE -> TEST -> WRITE -> WRITE -> TEST,198
5,TEST -> WRITE -> WRITE -> TEST -> WRITE,183
5,WRITE -> TEST -> WRITE -> TEST -> WRITE,170
5,WRITE -> WRITE -> WRITE -> BUILD -> TEST,159
5,BUILD -> TEST -> READ -> WRITE -> BUILD,144
5,TEST -> READ -> WRITE -> BUILD -> TEST,135
5,TEST -> WRITE -> TEST -> WRITE -> TEST,135
5,READ -> WRITE -> WRITE -> BUILD -> TEST,121
5,WRITE -> BUILD -> TEST -> WRITE -> BUILD,118
5,WRITE -> WRITE -> BUILD -> TEST -> READ,117
5,BUILD -> TEST -> WRITE -> WRITE -> BUILD,116
5,TEST -> WRITE -> WRITE -> BUILD -> TEST,114
5,BUILD -> TEST -> WRITE -> BUILD -> TEST,104
5,BUILD -> TEST -> WRITE -> WRITE -> WRITE,97
5,READ -> READ -> WRITE -> BUILD -> TEST,96
5,WRITE -> WRITE -> WRITE -> WRITE -> BUILD,95
5,WRITE -> READ -> WRITE -> BUILD -> TEST,90
5,BUILD -> TEST -> READ -> READ -> WRITE,84
5,READ -> WRITE -> TEST -> READ -> WRITE,84
5,BUILD -> TEST -> READ -> WRITE -> WRITE,83
5,WRITE -> WRITE -> READ -> WRITE -> WRITE,83
5,READ -> WRITE -> WRITE -> READ -> WRITE,81
5,READ -> WRITE -> WRITE -> WRITE -> WRITE,81
5,WRITE -> BUILD -> TEST -> READ -> READ,79
5,WRITE -> TEST -> READ -> WRITE -> TEST,79
5,WRITE -> BUILD -> TEST -> VCS -> WRITE,75
5,READ -> READ -> READ -> READ -> READ,72
5,WRITE -> BUILD -> WRITE -> BUILD -> TEST,69
5,READ -> WRITE -> BUILD -> TEST -> WRITE,69
5,TEST -> READ -> WRITE -> TEST -> READ,69
5,TEST -> WRITE -> BUILD -> TEST -> WRITE,67
5,TEST -> WRITE -> WRITE -> WRITE -> WRITE,59
5,READ -> WRITE -> READ -> WRITE -> BUILD,58
5,TEST -> READ -> READ -> WRITE -> BUILD,58
5,READ -> WRITE -> BUILD -> TEST -> TEST,57
5,TEST -> WRITE -> WRITE -> WRITE -> BUILD,57
5,WRITE -> WRITE -> WRITE -> READ -> WRITE,57
5,TEST -> READ -> WRITE -> WRITE -> BUILD,56
5,WRITE -> WRITE -> BUILD -> TEST -> VCS,56
5,WRITE -> WRITE -> WRITE -> BUILD -> WRITE,49
5,TEST -> READ -> BUILD -> TEST -> READ,48
5,READ -> READ -> WRITE -> WRITE -> WRITE,47
5,READ -> WRITE -> WRITE -> WRITE -> BUILD,46
5,WRITE -> READ -> WRITE -> WRITE -> WRITE,46
5,TEST -> READ -> WRITE -> WRITE -> WRITE,45
5,WRITE -> READ -> WRITE -> WRITE -> READ,44
5,READ -> WRITE -> READ -> WRITE -> WRITE,44
5,BUILD -> TEST -> READ -> READ -> READ,43
5,TEST -> READ -> WRITE -> READ -> WRITE,43
5,READ -> READ -> READ -> READ -> WRITE,43
5,WRITE -> WRITE -> BUILD -> WRITE -> WRITE,42
5,TEST -> VCS -> WRITE -> BUILD -> TEST,42
5,TEST -> READ -> READ -> WRITE -> WRITE,42
5,READ -> TEST -> READ -> BUILD -> TEST,40
5,WRITE -> BUILD -> TEST -> TEST -> VCS,40
5,WRITE -> WRITE -> BUILD -> WRITE -> BUILD,40
5,READ -> WRITE -> BUILD -> WRITE -> BUILD,40
5,READ -> READ -> READ -> WRITE -> WRITE,40
5,READ -> WRITE -> WRITE -> TEST -> READ,40
5,WRITE -> BUILD -> TEST -> READ -> TEST,39
5,WRITE -> WRITE -> READ -> WRITE -> READ,39
5,WRITE -> TEST -> READ -> WRITE -> WRITE,39
5,WRITE -> TEST -> WRITE -> WRITE -> WRITE,39
5,BUILD -> TEST -> VCS -> WRITE -> WRITE,38
5,WRITE -> WRITE -> WRITE -> TEST -> WRITE,38
