window_size,tool_sequence,frequency
5,WRITE -> BUILD -> TEST -> READ -> WRITE,62
5,READ -> WRITE -> WRITE -> BUILD -> TEST,60
5,READ -> WRITE -> BUILD -> TEST -> READ,58
5,WRITE -> WRITE -> WRITE -> WRITE -> WRITE,47
5,WRITE -> WRITE -> BUILD -> TEST -> READ,46
5,WRITE -> WRITE -> WRITE -> BUILD -> TEST,45
5,TEST -> READ -> WRITE -> BUILD -> TEST,38
5,WRITE -> BUILD -> TEST -> WRITE -> WRITE,37
5,WRITE -> WRITE -> BUILD -> TEST -> WRITE,36
5,BUILD -> TEST -> READ -> WRITE -> BUILD,35
5,READ -> READ -> WRITE -> BUILD -> TEST,34
5,WRITE -> BUILD -> TEST -> READ -> TEST,30
5,READ -> WRITE -> BUILD -> TEST -> TEST,29
5,TEST -> READ -> BUILD -> TEST -> READ,29
5,BUILD -> TEST -> READ -> READ -> WRITE,28
5,WRITE -> BUILD -> TEST -> TEST -> VCS,28
5,WRITE -> WRITE -> WRITE -> WRITE -> BUILD,27
5,BUILD -> TEST -> READ -> WRITE -> WRITE,27
5,WRITE -> BUILD -> TEST -> WRITE -> BUILD,27
5,TEST -> READ -> WRITE -> WRITE -> BUILD,26
5,WRITE -> READ -> WRITE -> BUILD -> TEST,25
5,SEARCH_FILES -> READ -> WRITE -> BUILD -> TEST,24
5,READ -> WRITE -> BUILD -> TEST -> WRITE,23
5,READ -> TEST -> READ -> BUILD -> TEST,22
5,WRITE -> WRITE -> BUILD -> TEST -> VCS,22
5,READ -> WRITE -> WRITE -> WRITE -> WRITE,21
5,WRITE -> WRITE -> BUILD -> TEST -> TEST,21
5,READ -> BUILD -> TEST -> READ -> READ,21
5,TEST -> WRITE -> WRITE -> BUILD -> TEST,21
5,BUILD -> TEST -> WRITE -> BUILD -> TEST,21
5,WRITE -> BUILD -> TEST -> READ -> READ,20
5,BUILD -> TEST -> READ -> READ -> READ,20
5,READ -> WRITE -> WRITE -> WRITE -> BUILD,20
5,READ -> READ -> READ -> WRITE -> WRITE,20
5,TEST -> READ -> READ -> WRITE -> BUILD,19
5,BUILD -> TEST -> WRITE -> WRITE -> BUILD,19
5,READ -> READ -> WRITE -> WRITE -> WRITE,19
5,READ -> WRITE -> BUILD -> TEST -> VCS,18
5,BUILD -> TEST -> READ -> TEST -> VCS,18
5,READ -> READ -> WRITE -> WRITE -> BUILD,18
5,WRITE -> BUILD -> WRITE -> BUILD -> TEST,18
5,TEST -> READ -> READ -> READ -> WRITE,18
5,READ -> TEST -> READ -> SEARCH_FILES -> READ,17
5,SEARCH_FILES -> READ -> SEARCH_FILES -> READ -> WRITE,17
5,TEST -> READ -> READ -> WRITE -> WRITE,17
5,READ -> READ -> READ -> READ -> WRITE,16
5,TEST -> WRITE -> WRITE -> WRITE -> WRITE,16
5,READ -> TEST -> READ -> TEST -> READ,15
5,READ -> READ -> READ -> WRITE -> BUILD,15
5,READ -> WRITE -> READ -> WRITE -> BUILD,14
5,TEST -> READ -> WRITE -> WRITE -> WRITE,14
5,WRITE -> WRITE -> READ -> WRITE -> WRITE,14
5,BUILD -> TEST -> WRITE -> WRITE -> WRITE,14
5,READ -> WRITE -> WRITE -> READ -> WRITE,13
5,TEST -> READ -> READ -> READ -> READ,13
5,READ -> SEARCH_FILES -> READ -> WRITE -> BUILD,12
5,TEST -> READ -> TEST -> READ -> READ,12
5,WRITE -> TEST -> READ -> WRITE -> TEST,12
5,READ -> WRITE -> BUILD -> WRITE -> BUILD,12
5,READ -> TEST -> READ -> WRITE -> TEST,12
5,TEST -> SEARCH_FILES -> READ -> SEARCH_FILES -> READ,11
5,WRITE -> BUILD -> TEST -> SEARCH_FILES -> READ,11
5,READ -> TEST -> READ -> SEARCH_FILES -> BUILD,11
5,BUILD -> TEST -> READ -> TEST -> READ,11
5,WRITE -> BUILD -> TEST -> TEST -> TEST,11
5,READ -> WRITE -> READ -> WRITE -> WRITE,11
5,WRITE -> TEST -> WRITE -> TEST -> WRITE,11
5,READ -> WRITE -> TEST -> WRITE -> TEST,11
5,READ -> TEST -> READ -> WRITE -> WRITE,11
5,TEST -> READ -> WRITE -> WRITE -> TEST,11
5,TEST -> SEARCH_FILES -> READ -> WRITE -> BUILD,10
5,WRITE -> BUILD -> TEST -> TEST -> READ,10
5,TEST -> READ -> SEARCH_FILES -> BUILD -> TEST,10
5,TEST -> READ -> TEST -> READ -> WRITE,10
5,TEST -> TEST -> READ -> WRITE -> WRITE,10
5,TEST -> READ -> WRITE -> READ -> WRITE,10
