window_size,tool_sequence,frequency
3,NAVIGATE -> TEST -> NAVIGATE,341
3,WRITE -> NAVIGATE -> BUILD,311
3,READ -> READ -> READ,292
3,NAVIGATE -> BUILD -> NAVIGATE,273
3,TEST -> NAVIGATE -> TEST,238
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,223
3,READ -> SEARCH_CONTENT -> READ,216
3,READ -> WRITE -> NAVIGATE,178
3,SEARCH_CONTENT -> READ -> READ,177
3,BUILD -> NAVIGATE -> TEST,175
3,READ -> TEST -> READ,174
3,READ -> READ -> WRITE,165
3,READ -> SEARCH_FILES -> READ,155
3,WRITE -> BUILD -> TEST,153
3,NAVIGATE -> TEST -> WRITE,153
3,NAVIGATE -> TEST -> READ,146
3,WRITE -> READ -> WRITE,145
3,READ -> WRITE -> READ,134
3,READ -> WRITE -> WRITE,126
3,READ -> READ -> SEARCH_CONTENT,125
3,BUILD -> TEST -> TEST,124
3,READ -> NAVIGATE -> TEST,124
3,WRITE -> WRITE -> NAVIGATE,121
3,TEST -> READ -> TEST,119
3,NAVIGATE -> BUILD -> BUILD,117
3,SEARCH_CONTENT -> READ -> WRITE,114
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,111
3,WRITE -> WRITE -> WRITE,108
3,TEST -> WRITE -> NAVIGATE,107
3,SEARCH_FILES -> READ -> READ,105
3,TEST -> TEST -> TEST,102
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,101
3,NAVIGATE -> VCS -> NAVIGATE,101
3,WRITE -> NAVIGATE -> TEST,95
3,TEST -> TEST -> READ,92
3,BUILD -> NAVIGATE -> BUILD,89
3,READ -> TEST -> TEST,84
3,READ -> WRITE -> BUILD,84
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,84
3,SEARCH_FILES -> READ -> SEARCH_FILES,84
3,TEST -> READ -> READ,84
3,TEST -> READ -> WRITE,84
3,TEST -> NAVIGATE -> BUILD,76
3,NAVIGATE -> BUILD -> WRITE,76
3,BUILD -> BUILD -> WRITE,76
3,WRITE -> READ -> READ,73
3,READ -> READ -> NAVIGATE,73
3,NAVIGATE -> SCRIPT -> NAVIGATE,73
3,WRITE -> WRITE -> READ,70
3,BUILD -> WRITE -> NAVIGATE,68
3,WRITE -> BUILD -> BUILD,68
3,TEST -> SEARCH_CONTENT -> READ,65
3,NAVIGATE -> VCS -> WRITE,64
3,TEST -> READ -> NAVIGATE,61
3,VCS -> NAVIGATE -> VCS,61
3,BUILD -> TEST -> WRITE,59
3,NAVIGATE -> WRITE -> NAVIGATE,59
3,READ -> READ -> SEARCH_FILES,59
3,TEST -> READ -> SEARCH_CONTENT,58
3,TEST -> WRITE -> WRITE,55
3,WRITE -> WRITE -> BUILD,54
3,WRITE -> NAVIGATE -> SCRIPT,54
3,READ -> SEARCH_FILES -> SEARCH_FILES,53
3,NAVIGATE -> SEARCH_CONTENT -> NAVIGATE,53
3,TEST -> WRITE -> BUILD,52
3,WRITE -> NAVIGATE -> WRITE,52
3,SEARCH_CONTENT -> READ -> NAVIGATE,52
3,READ -> NAVIGATE -> BUILD,50
3,NAVIGATE -> SEARCH_CONTENT -> READ,49
3,NAVIGATE -> TEST -> SEARCH_CONTENT,49
3,BUILD -> BUILD -> NAVIGATE,47
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,45
3,SEARCH_FILES -> SEARCH_FILES -> READ,45
3,TEST -> TEST -> WRITE,44
3,SEARCH_CONTENT -> SEARCH_FILES -> READ,44
3,TEST -> NAVIGATE -> VCS,44
3,READ -> READ -> TEST,43
3,WRITE -> READ -> NAVIGATE,42
3,READ -> NAVIGATE -> SEARCH_CONTENT,41
3,WRITE -> NAVIGATE -> VCS,41
3,BUILD -> WRITE -> BUILD,38
3,SEARCH_CONTENT -> NAVIGATE -> SEARCH_CONTENT,38
3,NAVIGATE -> BUILD -> TEST,37
3,READ -> BUILD -> TEST,36
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,35
3,READ -> SEARCH_CONTENT -> SEARCH_FILES,34
3,TEST -> READ -> SEARCH_FILES,34
3,SCRIPT -> NAVIGATE -> SCRIPT,34
3,BUILD -> READ -> WRITE,33
3,BUILD -> WRITE -> WRITE,32
3,SEARCH_FILES -> SEARCH_CONTENT -> READ,32
3,READ -> TEST -> SEARCH_CONTENT,31
3,VCS -> WRITE -> NAVIGATE,31
3,BUILD -> WRITE -> READ,30
3,BUILD -> TEST -> NAVIGATE,30
3,SEARCH_FILES -> READ -> NAVIGATE,30
3,BUILD -> BUILD -> BUILD,29
3,NAVIGATE -> SEARCH_CONTENT -> WRITE,29
3,NAVIGATE -> BUILD -> READ,28
3,READ -> WRITE -> SEARCH_CONTENT,28
3,TEST -> WRITE -> READ,28
3,NAVIGATE -> SCRIPT -> WRITE,28
3,SEARCH_CONTENT -> READ -> TEST,27
3,SEARCH_CONTENT -> WRITE -> NAVIGATE,27
3,BUILD -> TEST -> READ,26
3,BUILD -> BUILD -> READ,26
3,TEST -> SEARCH_FILES -> READ,25
3,TEST -> TEST -> SEARCH_CONTENT,25
3,READ -> WRITE -> TEST,25
3,READ -> NAVIGATE -> VCS,25
3,READ -> SEARCH_CONTENT -> NAVIGATE,24
3,BUILD -> NAVIGATE -> VCS,24
3,WRITE -> READ -> SEARCH_CONTENT,24
3,SCRIPT -> NAVIGATE -> TEST,24
3,WRITE -> NAVIGATE -> PATCH,23
3,SEARCH_FILES -> READ -> WRITE,23
3,WRITE -> NAVIGATE -> SEARCH_CONTENT,23
3,NAVIGATE -> FILE_OPS -> NAVIGATE,22
3,WRITE -> BUILD -> WRITE,22
3,OTHER -> OTHER -> OTHER,22
3,WRITE -> SEARCH_CONTENT -> READ,22
3,SEARCH_CONTENT -> WRITE -> WRITE,22
3,BUILD -> BUILD -> TEST,21
3,WRITE -> TEST -> TEST,21
3,READ -> NAVIGATE -> WRITE,21
3,SCRIPT -> WRITE -> NAVIGATE,21
3,NAVIGATE -> SEARCH_FILES -> NAVIGATE,20
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT,20
3,SEARCH_CONTENT -> NAVIGATE -> BUILD,19
3,VCS -> NAVIGATE -> TEST,19
3,SEARCH_CONTENT -> READ -> SEARCH_FILES,19
3,NAVIGATE -> VCS -> READ,19
3,SEARCH_FILES -> READ -> TEST,18
3,READ -> TEST -> SEARCH_FILES,18
3,NAVIGATE -> BUILD -> SEARCH_CONTENT,18
3,TEST -> WRITE -> TEST,18
3,WRITE -> TEST -> WRITE,18
3,VCS -> WRITE -> WRITE,18
3,BUILD -> SEARCH_CONTENT -> READ,17
3,VCS -> WRITE -> BUILD,17
3,SEARCH_CONTENT -> NAVIGATE -> TEST,17
3,SEARCH_CONTENT -> WRITE -> BUILD,17
3,NAVIGATE -> WRITE -> WRITE,17
3,WRITE -> NAVIGATE -> FILE_OPS,17
