window_size,tool_sequence,frequency
4,NAVIGATE -> TEST -> NAVIGATE -> TEST,356
4,NAVIGATE -> BUILD -> NAVIGATE -> TEST,230
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,230
4,WRITE -> NAVIGATE -> BUILD -> NAVIGATE,215
4,READ -> READ -> READ -> READ,174
4,BUILD -> NAVIGATE -> TEST -> NAVIGATE,166
4,TEST -> NAVIGATE -> TEST -> NAVIGATE,166
4,WRITE -> BUILD -> TEST -> TEST,140
4,READ -> TEST -> READ -> TEST,120
4,READ -> WRITE -> NAVIGATE -> BUILD,119
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,114
4,READ -> SEARCH_CONTENT -> READ -> READ,112
4,READ -> READ -> SEARCH_CONTENT -> READ,111
4,WRITE -> NAVIGATE -> BUILD -> BUILD,110
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,107
4,TEST -> NAVIGATE -> TEST -> READ,102
4,NAVIGATE -> TEST -> WRITE -> NAVIGATE,99
4,READ -> WRITE -> READ -> WRITE,87
4,NAVIGATE -> VCS -> NAVIGATE -> VCS,87
4,SEARCH_CONTENT -> READ -> READ -> READ,87
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,86
4,NAVIGATE -> BUILD -> NAVIGATE -> BUILD,85
4,WRITE -> WRITE -> NAVIGATE -> BUILD,83
4,READ -> WRITE -> BUILD -> TEST,81
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,77
4,WRITE -> WRITE -> WRITE -> WRITE,77
4,READ -> READ -> READ -> WRITE,73
4,BUILD -> WRITE -> NAVIGATE -> BUILD,72
4,READ -> SEARCH_FILES -> READ -> READ,71
4,READ -> NAVIGATE -> TEST -> NAVIGATE,70
4,TEST -> WRITE -> NAVIGATE -> BUILD,69
4,SEARCH_FILES -> READ -> READ -> READ,69
4,READ -> READ -> READ -> SEARCH_CONTENT,67
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,66
4,NAVIGATE -> TEST -> READ -> NAVIGATE,64
4,TEST -> NAVIGATE -> TEST -> WRITE,63
4,READ -> SEARCH_CONTENT -> READ -> WRITE,62
