window_size,tool_sequence,frequency
4,NAVIGATE -> TEST -> NAVIGATE -> TEST,126
4,NAVIGATE -> BUILD -> NAVIGATE -> TEST,68
4,TEST -> NAVIGATE -> TEST -> NAVIGATE,62
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,57
4,BUILD -> NAVIGATE -> TEST -> NAVIGATE,56
4,READ -> READ -> READ -> READ,55
4,WRITE -> NAVIGATE -> BUILD -> NAVIGATE,52
4,WRITE -> BUILD -> TEST -> TEST,46
4,WRITE -> WRITE -> WRITE -> WRITE,45
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,44
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,40
4,READ -> SEARCH_CONTENT -> READ -> READ,38
4,READ -> READ -> SEARCH_CONTENT -> READ,37
4,READ -> WRITE -> NAVIGATE -> BUILD,31
4,TEST -> NAVIGATE -> TEST -> READ,31
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,31
4,READ -> WRITE -> BUILD -> TEST,27
4,READ -> TEST -> READ -> TEST,26
4,NAVIGATE -> VCS -> NAVIGATE -> VCS,26
4,WRITE -> WRITE -> NAVIGATE -> BUILD,25
4,READ -> READ -> READ -> SEARCH_CONTENT,25
4,WRITE -> NAVIGATE -> BUILD -> BUILD,24
4,READ -> SEARCH_CONTENT -> READ -> WRITE,24
4,TEST -> NAVIGATE -> TEST -> WRITE,24
4,SEARCH_CONTENT -> READ -> READ -> READ,24
4,READ -> READ -> READ -> WRITE,23
4,SEARCH_CONTENT -> READ -> READ -> SEARCH_CONTENT,23
4,READ -> SEARCH_FILES -> READ -> READ,22
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,21
4,READ -> WRITE -> READ -> WRITE,21
4,READ -> NAVIGATE -> TEST -> NAVIGATE,21
4,NAVIGATE -> SCRIPT -> NAVIGATE -> SCRIPT,21
4,SEARCH_FILES -> READ -> READ -> READ,20
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,20
4,READ -> READ -> WRITE -> READ,19
4,WRITE -> WRITE -> WRITE -> NAVIGATE,19
4,BUILD -> TEST -> TEST -> TEST,17
4,NAVIGATE -> BUILD -> BUILD -> NAVIGATE,17
4,WRITE -> READ -> READ -> WRITE,17
4,BUILD -> WRITE -> NAVIGATE -> BUILD,16
4,READ -> WRITE -> READ -> READ,16
4,TEST -> READ -> READ -> READ,16
4,SCRIPT -> NAVIGATE -> SCRIPT -> NAVIGATE,16
4,NAVIGATE -> BUILD -> BUILD -> WRITE,15
4,VCS -> NAVIGATE -> VCS -> NAVIGATE,15
4,SEARCH_CONTENT -> READ -> READ -> WRITE,15
4,TEST -> READ -> SEARCH_CONTENT -> READ,15
4,WRITE -> READ -> WRITE -> NAVIGATE,15
4,READ -> SEARCH_CONTENT -> READ -> NAVIGATE,15
4,NAVIGATE -> TEST -> WRITE -> NAVIGATE,15
4,READ -> TEST -> TEST -> READ,14
4,READ -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,14
4,NAVIGATE -> TEST -> READ -> WRITE,14
4,NAVIGATE -> TEST -> READ -> SEARCH_CONTENT,14
4,READ -> READ -> WRITE -> WRITE,14
4,WRITE -> WRITE -> BUILD -> TEST,13
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> READ,13
4,TEST -> TEST -> READ -> READ,13
4,NAVIGATE -> BUILD -> NAVIGATE -> BUILD,13
4,READ -> WRITE -> WRITE -> WRITE,13
4,READ -> READ -> READ -> NAVIGATE,13
4,READ -> READ -> WRITE -> NAVIGATE,13
4,WRITE -> NAVIGATE -> TEST -> NAVIGATE,13
4,NAVIGATE -> SCRIPT -> WRITE -> NAVIGATE,13
