issue_id,proximity_class
astropy__astropy-13033,Cluster
astropy__astropy-13579,Cluster
astropy__astropy-14365,Cluster
astropy__astropy-14369,Orbit
astropy__astropy-14598,Cluster
astropy__astropy-7606,Cluster
astropy__astropy-8707,Orbit
astropy__astropy-8872,Cluster
django__django-10554,Orbit
django__django-11138,Sprawl
django__django-11400,Fragment
django__django-11532,Fragment
django__django-11728,Cluster
django__django-11740,Nucleus
django__django-12406,Fragment
django__django-13343,Cluster
django__django-13346,Cluster
django__django-13449,Cluster
django__django-15128,Cluster
django__django-15503,Cluster
django__django-15563,Orbit
django__django-15572,Nucleus
django__django-15732,Cluster
django__django-16631,Orbit
scikit-learn__scikit-learn-10297,Cluster
scikit-learn__scikit-learn-14087,Nucleus
scikit-learn__scikit-learn-25232,Cluster
scikit-learn__scikit-learn-25747,Nucleus
scikit-learn__scikit-learn-25931,Cluster
scikit-learn__scikit-learn-26194,Nucleus
scikit-learn__scikit-learn-26323,Nucleus
sympy__sympy-13877,Fragment
