bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Chart_14,1,4,0,4,0
Chart_15,1,1,0,1,0
Chart_16,1,8,0,8,0
Chart_18,1,4,0,4,0
Chart_19,1,2,0,2,0
Chart_2,1,2,0,2,0
Chart_21,1,1,0,1,0
Chart_22,1,6,0,6,0
Chart_25,1,4,0,4,0
Chart_4,1,22,0,22,0
Cli_1,1,1,0,1,0
Cli_10,1,1,0,1,0
Cli_13,1,1,0,1,0
Cli_14,1,1,0,1,0
Cli_16,1,3,0,3,0
Cli_18,1,1,0,1,0
Cli_21,1,1,0,1,0
Cli_22,1,1,0,1,0
Cli_23,1,2,0,2,0
Cli_26,1,1,0,1,0
Cli_30,1,1,0,1,0
Cli_31,1,1,0,1,0
Cli_33,1,1,0,1,0
Cli_34,1,2,0,2,0
Cli_36,1,1,0,1,0
Cli_39,1,2,0,2,0
Cli_7,1,1,0,1,0
Closure_100,1,9,0,9,0
Closure_103,1,3,0,3,0
Closure_105,1,1,0,1,0
Closure_106,1,4,0,4,0
Closure_108,1,1,0,1,0
Closure_115,1,5,0,5,0
Closure_116,1,8,0,8,0
Closure_117,1,1,0,1,0
Closure_134,1,2,0,2,0
Closure_135,1,2,0,2,0
Closure_136,1,4,0,4,0
Closure_137,0,5,1,4,0
Closure_138,1,5,0,5,0
Closure_139,1,3,0,3,0
Closure_140,1,1,0,1,0
Closure_141,0,8,3,5,0
Closure_142,1,2,0,2,0
Closure_143,1,3,0,3,0
Closure_144,0,84,11,73,0
Closure_147,1,3,0,3,0
Closure_148,1,6,0,6,0
Closure_149,1,1,0,1,0
Closure_151,1,1,0,1,0
Closure_153,1,2,0,2,0
Closure_154,1,1,0,1,0
Closure_155,1,7,0,7,0
Closure_156,1,2,0,2,0
Closure_157,0,12,2,10,0
Closure_158,1,2,0,2,0
Closure_16,1,2,0,2,0
Closure_160,1,1,0,1,0
Closure_162,1,1,0,1,0
Closure_163,1,3,0,3,0
Closure_164,1,3,0,3,0
Closure_165,1,1,0,1,0
Closure_167,1,3,0,3,0
Closure_169,0,2,4,-2,0
Closure_171,0,3,21,-18,0
Closure_173,0,3,1,2,0
Closure_174,1,3,0,3,0
