bug,status,path
Chart_14,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_14,match,source/org/jfree/chart/plot/XYPlot.java
Chart_15,miss,source/org/jfree/chart/plot/PiePlot3D.java
Chart_16,match,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues2D.java
Chart_19,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_2,match,source/org/jfree/data/general/DatasetUtilities.java
Chart_21,match,source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
Chart_22,match,source/org/jfree/data/KeyedObjects2D.java
Chart_25,match,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Chart_4,match,source/org/jfree/chart/plot/XYPlot.java
Cli_1,match,src/java/org/apache/commons/cli/CommandLine.java
Cli_1,miss,src/.DS_Store
Cli_10,miss,src/.DS_Store
Cli_10,miss,src/java/org/apache/commons/cli/Options.java
Cli_13,match,src/java/org/apache/commons/cli2/WriteableCommandLine.java
Cli_13,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_13,match,src/java/org/apache/commons/cli2/option/ArgumentImpl.java
Cli_13,miss,src/.DS_Store
Cli_14,miss,src/.DS_Store
Cli_14,miss,src/java/org/apache/commons/cli2/validation/FileValidator.java
Cli_16,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_16,match,src/java/org/apache/commons/cli2/option/GroupImpl.java
Cli_16,miss,src/.DS_Store
Cli_18,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_18,miss,src/.DS_Store
Cli_21,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_21,miss,src/.DS_Store
Cli_22,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_22,miss,src/.DS_Store
Cli_23,match,src/java/org/apache/commons/cli/HelpFormatter.java
Cli_23,miss,src/.DS_Store
Cli_26,match,src/java/org/apache/commons/cli/OptionBuilder.java
Cli_26,miss,src/.DS_Store
Cli_30,match,src/main/java/org/apache/commons/cli/DefaultParser.java
Cli_30,match,src/main/java/org/apache/commons/cli/Parser.java
Cli_30,miss,src/.DS_Store
Cli_31,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_31,match,src/main/java/org/apache/commons/cli/Option.java
Cli_31,match,src/main/java/org/apache/commons/cli/OptionBuilder.java
Cli_31,miss,src/.DS_Store
Cli_33,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_33,miss,src/.DS_Store
Cli_34,match,src/main/java/org/apache/commons/cli/Option.java
Cli_34,match,src/main/java/org/apache/commons/cli/OptionBuilder.java
Cli_34,miss,src/.DS_Store
Cli_34,miss,src/main/java/org/apache/commons/cli/TypeHandler.java
Cli_36,match,src/main/java/org/apache/commons/cli/OptionGroup.java
Cli_36,miss,src/.DS_Store
Cli_39,match,src/main/java/org/apache/commons/cli/TypeHandler.java
Cli_39,miss,src/.DS_Store
Cli_7,match,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
Cli_7,miss,src/.DS_Store
Closure_100,match,src/com/google/javascript/jscomp/CheckGlobalThis.java
