bug,num_expected,correct_edits,ote,missed_edits
Chart_14,2,2,0,0
Chart_15,1,0,1,1
Chart_16,1,1,0,0
Chart_18,2,2,0,0
Chart_19,1,1,0,0
Chart_2,1,1,0,0
Chart_21,1,1,0,0
Chart_22,1,1,0,0
Chart_25,1,1,0,0
Chart_4,1,1,0,0
Cli_1,1,1,1,0
Cli_10,1,0,2,1
Cli_13,3,3,1,0
Cli_14,1,0,2,1
Cli_16,4,2,1,2
Cli_18,1,1,1,0
Cli_21,3,1,1,2
Cli_22,1,1,1,0
Cli_23,1,1,1,0
Cli_26,1,1,1,0
Cli_30,2,2,1,0
Cli_31,3,3,1,0
Cli_33,1,1,1,0
Cli_34,2,2,2,0
Cli_36,2,1,1,1
Cli_39,1,1,1,0
Cli_7,1,1,1,0
Closure_100,1,1,0,0
Closure_103,2,2,0,0
Closure_105,1,1,0,0
Closure_106,2,2,0,0
Closure_108,1,1,0,0
Closure_110,2,1,0,1
Closure_115,1,1,0,0
Closure_116,1,1,0,0
Closure_117,1,1,0,0
Closure_134,2,2,0,0
Closure_135,2,2,0,0
Closure_136,2,1,1,1
Closure_137,3,1,0,2
Closure_138,2,2,0,0
Closure_139,1,1,0,0
Closure_140,1,1,0,0
Closure_141,2,1,0,1
Closure_142,2,2,0,0
Closure_143,2,1,2,1
Closure_144,4,1,0,3
Closure_147,2,2,0,0
Closure_148,2,2,0,0
Closure_149,4,3,0,1
Closure_151,1,1,0,0
Closure_153,2,1,0,1
Closure_154,2,2,0,0
Closure_155,3,3,0,0
Closure_156,1,1,0,0
Closure_157,3,2,0,1
Closure_158,3,3,0,0
Closure_16,1,1,0,0
Closure_160,1,1,0,0
Closure_162,2,1,0,1
Closure_163,2,1,0,1
Closure_164,1,1,0,0
Closure_165,4,4,0,0
Closure_167,2,2,0,0
Closure_169,6,1,0,5
Closure_171,2,1,0,1
Closure_173,2,1,0,1
Closure_174,3,2,0,1
Closure_175,1,1,0,0
Closure_176,1,1,0,0
Closure_21,1,1,0,0
Closure_24,1,1,0,0
Closure_25,1,1,0,0
Closure_26,1,1,0,0
Closure_27,1,1,0,0
Closure_29,1,1,0,0
Closure_3,1,1,0,0
Closure_30,2,2,0,0
Closure_32,1,1,0,0
Closure_34,2,1,0,1
Closure_37,2,1,0,1
Closure_39,1,1,0,0
Closure_4,1,1,0,0
Closure_41,1,1,0,0
Closure_43,1,1,0,0
Closure_45,1,1,0,0
Closure_47,2,2,0,0
Closure_49,1,1,0,0
Closure_50,1,1,0,0
Closure_51,1,1,0,0
Closure_53,1,1,0,0
Closure_54,2,2,0,0
Closure_6,1,1,0,0
Closure_60,1,1,0,0
Closure_64,1,1,0,0
Closure_68,1,1,0,0
Closure_72,2,1,0,1
Closure_74,1,1,0,0
Closure_75,1,1,0,0
Closure_76,1,1,0,0
Closure_79,2,2,0,0
Closure_80,1,1,0,0
Closure_84,1,1,0,0
Closure_85,1,1,0,0
Closure_89,2,2,0,0
Closure_9,1,1,0,0
Closure_90,2,2,0,0
Closure_98,1,1,0,0
Closure_99,1,1,0,0
Codec_1,3,3,1,0
Codec_11,1,1,1,0
Codec_12,1,1,1,0
Codec_13,3,1,1,2
Codec_14,6,2,1,4
Codec_6,1,1,1,0
Codec_8,2,1,1,1
Collections_25,1,0,2,1
Compress_10,1,1,1,0
Compress_11,1,1,1,0
Compress_2,1,1,1,0
Compress_20,1,1,1,0
Compress_22,1,1,1,0
Compress_29,7,7,1,0
Compress_3,1,1,1,0
Compress_33,2,2,1,0
Compress_34,1,1,1,0
Compress_35,1,1,1,0
Compress_39,1,1,1,0
Compress_4,4,1,1,3
Compress_40,1,1,1,0
Compress_42,2,1,1,1
Compress_43,1,1,1,0
Compress_47,1,1,1,0
Compress_6,1,1,1,0
Compress_9,1,1,1,0
Csv_13,2,2,1,0
Csv_16,1,1,1,0
Csv_7,1,1,1,0
Csv_8,1,1,1,0
Gson_1,1,0,0,1
Gson_14,1,0,0,1
Gson_3,1,0,0,1
Gson_4,2,0,0,2
Gson_7,1,0,0,1
Gson_8,1,0,0,1
Gson_9,3,0,0,3
Jacksoncore_1,0,0,2,0
Jacksoncore_10,0,0,2,0
Jacksoncore_12,0,0,3,0
Jacksoncore_16,0,0,2,0
Jacksoncore_17,0,0,2,0
Jacksoncore_18,0,0,4,0
Jacksoncore_19,0,0,3,0
Jacksoncore_2,0,0,3,0
Jacksoncore_21,0,0,2,0
Jacksoncore_22,0,0,2,0
Jacksoncore_24,0,0,3,0
Jacksoncore_9,0,0,2,0
Jacksondatabind_10,0,0,3,0
Jacksondatabind_103,0,0,3,0
Jacksondatabind_104,0,0,1,0
Jacksondatabind_105,0,0,1,0
Jacksondatabind_108,0,0,1,0
Jacksondatabind_109,0,0,2,0
Jacksondatabind_110,0,0,1,0
Jacksondatabind_111,0,0,4,0
Jacksondatabind_13,0,0,3,0
Jacksondatabind_14,0,0,2,0
Jacksondatabind_15,0,0,2,0
Jacksondatabind_18,0,0,2,0
Jacksondatabind_20,0,0,2,0
Jacksondatabind_21,0,0,2,0
Jacksondatabind_22,0,0,3,0
Jacksondatabind_23,0,0,2,0
Jacksondatabind_25,0,0,2,0
Jacksondatabind_29,0,0,2,0
Jacksondatabind_3,0,0,2,0
Jacksondatabind_30,0,0,2,0
Jacksondatabind_31,0,0,2,0
Jacksondatabind_32,0,0,2,0
Jacksondatabind_36,0,0,2,0
Jacksondatabind_38,0,0,4,0
Jacksondatabind_4,0,0,3,0
Jacksondatabind_41,0,0,1,0
Jacksondatabind_43,0,0,1,0
Jacksondatabind_48,0,0,2,0
Jacksondatabind_50,0,0,3,0
Jacksondatabind_52,0,0,2,0
Jacksondatabind_53,0,0,2,0
Jacksondatabind_54,0,0,1,0
Jacksondatabind_55,0,0,1,0
Jacksondatabind_56,0,0,1,0
Jacksondatabind_59,0,0,1,0
Jacksondatabind_6,0,0,3,0
Jacksondatabind_60,0,0,1,0
Jacksondatabind_61,0,0,1,0
Jacksondatabind_65,0,0,1,0
Jacksondatabind_66,0,0,1,0
Jacksondatabind_68,0,0,1,0
Jacksondatabind_69,0,0,1,0
Jacksondatabind_72,0,0,1,0
Jacksondatabind_73,0,0,1,0
Jacksondatabind_75,0,0,1,0
Jacksondatabind_77,0,0,1,0
Jacksondatabind_78,0,0,1,0
Jacksondatabind_79,0,0,1,0
Jacksondatabind_8,0,0,2,0
Jacksondatabind_80,0,0,1,0
Jacksondatabind_81,0,0,1,0
Jacksondatabind_87,0,0,1,0
Jacksondatabind_90,0,0,1,0
Jacksondatabind_94,0,0,1,0
Jacksondatabind_95,0,0,1,0
Jacksonxml_1,0,0,1,0
Jacksonxml_2,0,0,1,0
Jacksonxml_6,0,0,1,0
Jsoup_11,1,1,0,0
Jsoup_12,1,1,1,0
Jsoup_14,2,2,0,0
Jsoup_16,1,1,0,0
Jsoup_18,1,1,0,0
Jsoup_21,2,1,0,1
Jsoup_22,3,2,0,1
Jsoup_23,2,2,0,0
Jsoup_28,3,2,0,1
Jsoup_29,1,1,0,0
Jsoup_3,3,3,0,0
Jsoup_30,1,1,1,0
Jsoup_31,3,1,1,2
Jsoup_36,1,1,1,0
Jsoup_4,1,1,0,0
Jsoup_42,1,1,1,0
Jsoup_50,1,1,1,0
Jsoup_52,3,2,3,1
Jsoup_56,5,5,1,0
Jsoup_58,3,3,1,0
Jsoup_59,1,1,1,0
Jsoup_60,2,2,1,0
Jsoup_63,2,2,1,0
Jsoup_65,2,2,1,0
Jsoup_66,1,1,1,0
Jsoup_67,1,1,1,0
Jsoup_7,1,1,0,0
Jsoup_71,3,3,2,0
Jsoup_73,1,1,1,0
Jsoup_74,1,1,1,0
Jsoup_78,1,1,2,0
Jsoup_79,1,1,1,0
Jsoup_81,1,1,1,0
Jsoup_83,2,2,1,0
Jsoup_87,4,3,1,1
Jsoup_91,2,2,1,0
Jsoup_92,5,4,1,1
Jxpath_1,0,0,3,0
Jxpath_11,0,0,5,0
Jxpath_13,0,0,2,0
Jxpath_15,0,0,2,0
Jxpath_16,0,0,3,0
Jxpath_17,0,0,3,0
Jxpath_18,0,0,2,0
Jxpath_19,0,0,3,0
Jxpath_2,0,0,2,0
Jxpath_20,0,0,2,0
Jxpath_3,0,0,2,0
Jxpath_4,0,0,3,0
Jxpath_7,0,0,6,0
Jxpath_9,0,0,4,0
Lang_13,1,1,1,0
Lang_15,1,1,1,0
Lang_19,1,1,1,0
Lang_20,1,1,1,0
Lang_23,1,1,1,0
Lang_27,1,1,1,0
Lang_30,1,1,1,0
Lang_32,1,1,1,0
Lang_34,1,1,1,0
Lang_35,1,1,1,0
Lang_36,1,1,1,0
Lang_4,1,1,1,0
Lang_41,1,1,1,0
Lang_46,1,1,1,0
Lang_47,1,1,1,0
Lang_5,1,1,1,0
Lang_50,1,1,1,0
Lang_56,1,1,1,0
Lang_60,1,1,1,0
Lang_62,1,0,1,1
Lang_63,1,1,1,0
Lang_64,1,1,1,0
Lang_65,1,1,1,0
Lang_7,1,1,1,0
Lang_8,1,1,1,0
Math_1,2,2,1,0
Math_100,1,1,1,0
Math_106,1,1,1,0
Math_12,1,1,1,0
Math_14,2,2,1,0
Math_15,1,1,1,0
Math_16,1,1,1,0
Math_18,1,1,1,0
Math_21,1,1,1,0
Math_22,2,2,1,0
Math_23,1,1,1,0
Math_24,1,1,1,0
Math_26,1,1,1,0
Math_28,1,1,1,0
Math_29,1,1,1,0
Math_31,1,1,1,0
Math_35,1,1,1,0
Math_36,1,1,1,0
Math_37,1,1,1,0
Math_38,1,1,1,0
Math_4,2,2,1,0
Math_44,1,1,1,0
Math_46,1,1,1,0
Math_47,1,1,1,0
Math_49,1,1,1,0
Math_52,1,1,1,0
Math_54,1,1,1,0
Math_55,1,1,1,0
Math_6,7,7,1,0
Math_61,1,1,1,0
Math_62,1,1,1,0
Math_64,1,1,1,0
Math_65,1,1,1,0
Math_66,1,1,1,0
Math_68,1,1,1,0
Math_7,1,1,1,0
Math_71,2,2,1,0
Math_72,1,1,1,0
Math_76,1,1,1,0
Math_77,2,2,1,0
Math_78,1,1,1,0
Math_81,1,1,1,0
Math_83,1,1,1,0
Math_84,1,1,1,0
Math_86,1,1,1,0
Math_90,1,1,1,0
Math_92,1,1,1,0
Math_93,1,1,1,0
Math_98,2,2,1,0
Math_99,1,1,1,0
Mockito_10,1,1,0,0
Mockito_14,2,2,0,0
Mockito_15,1,1,0,0
Mockito_16,2,1,0,1
Mockito_17,2,1,0,1
Mockito_19,5,5,0,0
Mockito_2,1,1,1,0
Mockito_20,1,1,0,0
Mockito_21,1,1,0,0
Mockito_23,1,1,0,0
Mockito_25,1,1,0,0
Mockito_3,1,1,0,0
Mockito_30,2,2,0,0
Mockito_31,1,1,0,0
Mockito_32,1,1,0,0
Mockito_35,1,1,0,0
Mockito_36,1,1,0,0
Mockito_4,1,1,0,0
Mockito_6,1,1,0,0
Mockito_9,1,1,0,0
Time_1,2,1,1,1
Time_10,1,1,1,0
Time_12,2,2,1,0
Time_13,1,1,1,0
Time_2,2,1,1,1
Time_23,1,1,1,0
Time_26,3,2,1,1
Time_3,1,1,1,0
Time_6,1,1,1,0
Time_9,1,1,1,0
