bug_id,total_input_token,total_output_token,cache_creation_tokens,cache_read_tokens,time_duration
Chart-14,249,19650,154705,2385203,217.4
Chart-15,196,16537,125323,2931769,268.5
Chart-16,160,12284,101713,1867114,196.9
Chart-18,337,21747,176232,2959559,232.5
Chart-19,190,12830,74991,1506208,167.7
Chart-2,290,26999,565888,6364124,455.3
Chart-21,148,8513,71928,1175575,176.9
Chart-22,233,28350,174202,5420882,408.7
Chart-25,208,13166,89655,1640405,172.5
Chart-4,158,11151,63122,1959852,224.8
Cli-1,2163,10171,66538,1456580,167.6
Cli-10,211,6970,63455,1147738,110.5
Cli-13,651,11954,75178,2040086,180.6
Cli-14,559,11014,88293,1970721,171.2
Cli-16,9399,23296,132516,3857659,324.9
Cli-18,163,8052,58391,1125237,124.7
Cli-21,1772,9044,78382,1668773,166.2
Cli-22,1161,25079,120411,3399975,348.4
Cli-23,4121,18546,143802,3956286,281.9
Cli-26,189,7874,66306,1054091,124.1
Cli-30,154,11645,125422,3076025,206.4
Cli-31,210,14794,112354,2557242,215.1
Cli-33,161,9239,108318,1793050,160.9
Cli-34,358,14648,110421,2893669,225.2
Cli-36,193,6395,46991,1021063,108.6
Cli-39,225,10794,73621,1804177,188.9
Cli-7,370,10748,58414,1834481,193.0
Closure-100,188,21037,93167,2365921,313.6
Closure-103,292,18161,116323,3275896,338.5
Closure-105,165,12859,156086,3296307,291.1
Closure-106,185,15047,188255,4860111,334.5
Closure-108,137,11612,114919,2784971,336.6
Closure-110,348,2723,755706,20247436,1800.0
Closure-115,164,16829,162066,5126652,484.6
Closure-116,136,31139,173241,4448001,645.9
Closure-117,155,16420,125302,3174438,380.2
Closure-134,457,25800,192515,6452796,474.6
Closure-135,509,41282,337778,11758854,817.2
Closure-136,223,45267,217149,9560685,829.1
Closure-137,275,47789,217861,9849749,778.0
Closure-138,248,24330,237842,6974535,549.0
Closure-139,180,23600,136045,4267974,356.3
Closure-140,162,27627,238663,6097001,495.2
Closure-141,242,20272,242714,4955975,462.6
Closure-142,332,23996,411803,5107475,598.7
Closure-143,216,18384,175499,4570343,368.0
Closure-144,443,57330,451832,14154020,1239.5
Closure-147,185,22984,131281,5709635,481.0
Closure-148,152,18926,216213,6256659,502.5
Closure-149,252,29485,480007,10317301,630.9
Closure-151,152,11600,165526,3840986,266.7
Closure-153,163,24528,221607,5364742,450.3
Closure-154,165,17829,239094,5111673,380.8
Closure-155,163,30647,210077,6309919,428.1
Closure-156,156,17488,238197,4503429,322.6
Closure-157,255,53104,496768,14694796,1036.7
Closure-158,127,21281,232799,7080611,353.8
Closure-16,1646,13535,68895,1938686,253.4
Closure-160,109,14462,265974,5274705,336.0
Closure-162,167,13296,102741,2094523,277.3
Closure-163,139,28824,140460,4310149,580.4
Closure-164,185,12065,102164,2689559,306.2
Closure-165,146,15147,156640,3363297,291.6
Closure-167,963,28887,229611,9677025,833.0
Closure-169,795,43514,261833,10094212,743.4
Closure-171,359,36672,830682,13484963,1333.7
Closure-173,331,39571,459573,7879263,721.1
Closure-174,175,41610,268291,9240237,866.8
Closure-175,196,58628,286152,13698574,1279.7
Closure-176,207,33012,305036,9671437,730.1
Closure-21,127,23741,83097,3244887,415.6
Closure-24,168,16152,113378,2781156,433.2
Closure-25,109,11734,153268,2357852,287.6
Closure-26,180,10640,95359,1859327,265.5
Closure-27,182,11171,76368,1385877,229.5
Closure-29,272,42075,164238,5065384,656.1
Closure-3,137,14121,127005,2273799,308.4
Closure-30,169,38260,225418,8687212,829.1
Closure-32,350,79759,835791,13865489,1426.7
Closure-34,128,30443,232665,9053439,718.1
Closure-37,242,27330,561866,9160332,703.0
Closure-39,169,13162,148128,3187829,354.5
Closure-4,178,17724,82214,3118802,391.4
Closure-41,145,16427,278669,4374820,361.2
Closure-43,182,16543,228126,3611745,287.9
Closure-45,187,13174,126639,2128630,296.1
