bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
chart_14,2,0,0,0,0,8,0,2,5,4,0,0,0,0,14
chart_15,11,0,1,0,0,10,0,3,8,6,0,2,1,0,8
chart_16,2,0,0,0,0,6,0,0,3,4,0,0,0,0,11
chart_18,3,0,0,0,0,10,0,0,6,12,0,0,0,0,11
chart_19,2,0,0,0,0,7,0,3,3,7,0,0,0,0,9
chart_2,5,0,0,2,0,15,0,4,9,7,0,0,0,1,12
chart_21,1,0,0,0,0,5,0,0,5,5,0,0,0,0,7
chart_22,25,0,1,0,0,14,0,1,4,8,0,0,0,0,16
chart_25,2,1,0,0,0,4,0,0,5,4,0,0,0,0,11
chart_4,6,1,0,0,0,8,0,1,7,6,0,0,1,0,8
cli_1,3,0,0,0,0,9,0,1,7,5,0,0,1,0,7
cli_10,2,0,0,0,0,5,0,0,6,4,0,0,1,0,6
cli_13,2,1,0,0,0,9,0,0,7,4,0,1,5,0,9
cli_14,3,0,0,0,0,13,0,2,7,6,0,0,1,0,6
cli_16,4,0,0,0,0,14,0,2,5,16,0,1,1,0,10
cli_18,2,0,0,0,0,4,0,0,4,5,0,0,0,0,8
cli_21,2,0,0,0,0,7,0,4,4,4,0,0,0,0,7
cli_22,10,0,0,0,0,15,0,1,6,7,0,0,1,0,13
cli_23,3,0,0,0,0,10,0,4,3,2,0,9,7,0,9
cli_26,2,0,0,0,0,5,0,1,2,4,0,1,1,0,7
cli_30,2,0,0,0,0,10,0,1,6,6,0,1,2,0,8
cli_31,2,0,0,0,0,8,0,1,6,10,0,0,0,0,10
cli_33,1,0,0,0,0,6,0,1,3,5,0,0,2,0,8
cli_34,2,0,0,0,0,12,0,0,11,10,0,0,1,0,9
cli_36,2,0,0,0,0,4,0,0,2,4,0,0,0,0,8
cli_39,2,0,0,0,0,8,0,0,5,6,0,1,1,0,9
cli_7,6,0,0,0,0,8,0,1,7,4,0,0,3,0,10
closure_100,4,0,0,0,0,11,0,0,5,10,0,2,1,0,9
closure_103,2,1,0,0,0,10,0,7,10,12,0,0,0,0,11
closure_105,6,0,0,3,0,14,0,7,7,5,0,0,5,0,7
closure_106,4,1,0,1,0,11,0,2,5,9,0,3,7,0,10
closure_108,5,2,0,2,0,8,0,3,5,5,0,2,4,0,10
closure_110,20,0,0,0,0,58,0,15,8,34,0,2,2,0,39
closure_115,6,0,0,0,0,14,0,16,6,6,0,3,7,0,7
closure_116,3,0,0,0,0,9,0,16,3,7,0,0,0,0,9
closure_117,4,1,0,3,0,12,0,4,9,6,0,0,5,0,9
closure_134,10,2,0,0,0,10,0,8,4,8,0,1,15,0,19
closure_135,8,0,0,0,0,21,0,17,6,19,0,1,22,0,21
closure_136,14,0,0,0,0,16,0,20,8,12,0,0,0,0,14
closure_137,18,0,0,1,2,17,0,18,6,12,0,0,9,0,18
closure_138,5,0,0,1,0,18,0,7,6,10,0,1,5,0,7
closure_139,6,1,0,0,0,14,0,8,9,11,0,3,4,0,13
closure_140,8,0,0,2,0,17,0,6,5,6,0,1,4,0,13
closure_141,3,1,0,0,0,14,0,9,7,10,0,0,0,0,6
closure_142,5,0,0,0,0,15,0,10,5,9,0,2,0,0,11
closure_143,3,0,0,0,0,9,0,7,5,10,0,0,0,0,15
closure_144,18,0,0,7,0,37,0,47,6,32,0,1,0,0,24
closure_147,11,0,0,3,0,14,0,16,5,12,0,0,8,0,10
closure_148,8,1,0,0,0,19,0,7,11,11,0,3,9,0,7
closure_149,16,0,0,0,0,26,0,12,5,13,0,2,0,0,19
closure_151,3,0,0,0,0,14,0,5,5,6,0,0,5,0,8
closure_153,5,0,0,0,0,17,0,7,6,10,0,0,0,0,10
closure_154,7,0,0,3,0,15,0,7,10,5,0,1,2,0,13
closure_155,5,1,0,2,1,17,0,7,4,5,0,1,11,0,18
closure_156,3,1,0,0,1,10,0,0,3,7,0,0,2,0,11
closure_157,14,1,0,0,0,25,0,36,7,16,0,0,10,0,19
closure_158,2,1,0,0,0,11,0,13,4,5,0,0,9,0,15
closure_16,2,1,0,0,0,5,0,7,4,6,0,0,5,0,8
closure_160,2,0,0,0,0,15,0,9,4,6,0,1,0,0,8
closure_162,3,0,0,0,0,9,0,0,4,5,0,0,1,0,9
closure_163,11,2,0,0,0,12,0,2,4,11,0,0,0,0,13
closure_164,2,0,0,4,0,11,0,11,16,7,0,0,1,0,6
closure_165,2,1,0,0,0,8,0,3,3,5,0,0,3,0,12
closure_167,8,2,0,0,0,19,0,7,5,11,0,0,28,0,15
closure_169,8,0,1,0,0,30,0,18,11,10,0,1,13,0,12
closure_171,14,2,0,0,0,32,0,8,5,28,0,0,2,0,15
