bug,Bash,Bash_defects4j_compile,Bash_defects4j_test,Bash_defects4j_other,Bash_test_scripts,Bash_git_all,Bash_build_and_execution,Bash_file_operations,Bash_other,Edit,Glob,Grep,Read,TodoWrite,WebFetch,Write
chart_14,9,2,3,0,1,0,0,1,2,4,4,0,7,10,0,0
chart_15,20,2,5,0,1,1,1,4,6,2,3,1,6,5,0,1
chart_16,7,1,3,0,1,0,1,1,0,6,2,0,4,5,0,0
chart_18,16,3,11,0,1,0,0,1,0,3,5,0,9,7,0,0
chart_19,11,2,6,0,1,0,0,1,1,2,2,2,5,7,0,0
chart_2,19,3,4,0,3,0,1,2,6,8,2,2,11,4,1,0
chart_21,9,1,4,0,1,0,0,2,1,1,2,0,3,6,0,0
chart_22,24,7,5,0,1,0,2,2,7,8,2,0,10,4,0,4
chart_25,9,2,3,1,1,0,0,2,0,4,3,0,3,6,0,0
chart_4,17,2,6,0,1,1,2,2,3,1,3,0,4,6,0,1
cli_1,14,2,4,0,1,1,0,3,3,1,3,0,4,6,0,0
cli_10,9,2,3,0,1,1,0,2,0,1,4,0,4,5,0,0
cli_13,15,2,3,1,1,5,0,2,1,3,4,0,6,6,0,0
cli_14,14,2,5,0,1,1,1,1,3,1,3,1,8,5,0,0
cli_16,25,4,15,0,1,1,0,3,1,4,1,1,9,6,0,0
cli_18,9,2,4,0,1,0,0,2,0,2,2,0,3,6,0,0
cli_21,8,2,3,0,1,0,0,2,0,1,2,4,6,6,0,0
cli_22,21,2,6,0,1,1,0,2,9,5,1,0,9,8,0,0
cli_23,21,2,1,0,1,7,1,1,8,3,1,0,5,6,0,0
cli_26,9,2,3,0,1,1,0,0,2,1,0,0,3,6,0,0
cli_30,14,2,5,0,1,2,0,2,2,3,3,0,8,5,0,0
cli_31,14,2,9,0,1,0,0,1,1,4,4,0,5,6,0,0
cli_33,9,1,4,0,1,2,0,1,0,2,2,1,4,6,0,0
cli_34,17,2,9,0,1,1,0,2,2,3,7,0,9,6,0,0
cli_36,7,2,3,0,1,0,0,0,1,2,2,0,3,6,0,0
cli_39,11,2,5,0,1,1,0,2,0,2,3,0,7,7,0,0
