bug,tool_name,count,command
chart_14,Bash,1,./run_bug_exposing_tests.sh
chart_14,Bash,2,defects4j compile
chart_14,Bash,2,defects4j test
chart_14,Bash,1,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker
chart_14,Bash,1,"grep -n ""public boolean removeDomainMarker\|public boolean removeRangeMarker"" /Users/nashid/repos/claude-cli-automation/prompts/chart_14_buggy/source/org/jfree/chart/plot/CategoryPlot.java"
chart_14,Bash,1,"grep -n ""public boolean removeDomainMarker\|public boolean removeRangeMarker"" /Users/nashid/repos/claude-cli-automation/prompts/chart_14_buggy/source/org/jfree/chart/plot/XYPlot.java"
chart_14,Bash,1,ls -la bug_triggering_tests.*.log | tail -1
chart_14,Edit,4,
chart_14,Glob,4,
chart_14,Read,7,
chart_14,TodoWrite,10,
chart_15,Bash,1,./run_bug_exposing_tests.sh
chart_15,Bash,1,"ant test -Dtest.entry.class=org.jfree.chart.plot.junit.PiePlot3DTests -Dtest.entry.method=testDrawWithNullDataset 2>&1 | grep -A 50 ""testDrawWithNullDataset"""
chart_15,Bash,2,defects4j compile
chart_15,Bash,2,defects4j test
chart_15,Bash,2,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset
chart_15,Bash,1,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset 2>&1 | tail -100
chart_15,Bash,1,"find . -name ""*.txt"" -path ""*/test-reports/*"" -type f | xargs ls -lt | head -5"
chart_15,Bash,1,"find . -name ""*.xml"" -o -name ""*.txt"" | grep -i test | head -10"
chart_15,Bash,1,git diff source/org/jfree/chart/plot/PiePlot3D.java
chart_15,Bash,2,"javac -cp ""lib/*:build"" TestNullDataset.java && java -cp ""lib/*:build:."" TestNullDataset"
chart_15,Bash,1,"javac -cp ""lib/*:build/classes"" TestNullDataset.java && java -cp ""lib/*:build/classes:."" TestNullDataset"
chart_15,Bash,1,"javac -cp ""lib/*:build/classes:build-tests/classes"" tests/org/jfree/chart/plot/junit/PiePlot3DTests.java 2>&1 && java -cp ""lib/*:build/classes:build-tests/classes:tests"" org.junit.runner.JUnitCore org.jfree.chart.plot.junit.PiePlot3DTests 2>&1"
chart_15,Bash,1,ls -la build/
chart_15,Bash,1,ls -la lib/
chart_15,Bash,1,ls -lt bug_triggering_tests.*.log | head -1
chart_15,Bash,1,"rm TestNullDataset.java TestNullDataset.class 2>/dev/null; echo ""Cleaned up test files"""
chart_15,Edit,2,
chart_15,Glob,3,
chart_15,Grep,1,
chart_15,Read,6,
chart_15,TodoWrite,5,
chart_15,Write,1,
chart_16,Bash,1,./run_bug_exposing_tests.sh
chart_16,Bash,1,ant -Dtest.entry.class=org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests -Dtest.entry.method=testGetRowCount run-single-test 2>&1 | tail -50
chart_16,Bash,1,defects4j compile
chart_16,Bash,2,defects4j test
chart_16,Bash,1,defects4j test -t org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount
chart_16,Bash,1,ls -lt bug_triggering_tests.*.log | head -1
chart_16,Edit,6,
chart_16,Glob,2,
chart_16,Read,4,
chart_16,TodoWrite,5,
chart_18,Bash,1,./run_bug_exposing_tests.sh
chart_18,Bash,3,defects4j compile
chart_18,Bash,2,defects4j test
chart_18,Bash,2,defects4j test -t org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955
chart_18,Bash,2,defects4j test -t org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey
chart_18,Bash,2,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2
chart_18,Bash,3,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue
chart_18,Bash,1,ls -lt bug_triggering_tests*.log | head -1 | awk '{print $NF}'
chart_18,Edit,3,
chart_18,Glob,5,
chart_18,Read,9,
chart_18,TodoWrite,7,
chart_19,Bash,1,./run_bug_exposing_tests.sh
chart_19,Bash,2,defects4j compile
chart_19,Bash,2,defects4j test
chart_19,Bash,2,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex
chart_19,Bash,2,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex
chart_19,Bash,1,"grep -n ""IllegalArgumentException"" /Users/nashid/repos/claude-cli-automation/prompts/chart_19_buggy/source/org/jfree/chart/plot/CategoryPlot.java | head -10"
chart_19,Bash,1,ls -lt bug_triggering_tests*.log | head -1
chart_19,Edit,2,
chart_19,Glob,2,
chart_19,Grep,2,
chart_19,Read,5,
chart_19,TodoWrite,7,
chart_2,Bash,3,./run_bug_exposing_tests.sh
chart_2,Bash,1,"ant test-class -Dtest.entry=org.jfree.data.general.junit.DatasetUtilitiesTests 2>&1 | grep -A 30 ""testBug2849731"""
chart_2,Bash,1,"cd /Users/nashid/repos/claude-cli-automation/prompts/chart_2_buggy && find . -name ""DatasetUtilities.java"" -type f"
chart_2,Bash,1,"cd build && find . -name ""TEST-*.txt"" 2>/dev/null | head -5"
chart_2,Bash,3,defects4j compile
chart_2,Bash,2,defects4j test
chart_2,Bash,1,defects4j test -t org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2
chart_2,Bash,1,defects4j test -t org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2 2>&1
chart_2,Bash,1,"find . -name ""*.txt"" -path ""*/test-results/*"" -o -name ""*.xml"" -path ""*/test-results/*"" 2>/dev/null | head -5"
chart_2,Bash,1,"find . -name ""DatasetUtilities.java"" -type f"
chart_2,Bash,1,"find source -type f -name ""*.java"" | grep -i dataset | head -10"
chart_2,Bash,1,javac -version 2>&1
chart_2,Bash,1,ls -la
chart_2,Bash,1,ls -ltr *.log | tail -5
chart_2,Edit,8,
chart_2,Glob,2,
chart_2,Grep,2,
chart_2,Read,11,
chart_2,TodoWrite,4,
chart_2,WebFetch,1,Extract the bug description and the issue being reported
chart_21,Bash,1,./run_bug_exposing_tests.sh
chart_21,Bash,1,defects4j compile
chart_21,Bash,2,defects4j test
chart_21,Bash,2,defects4j test -t org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds
chart_21,Bash,1,"find . -name ""*.java"" -type f | head -20"
chart_21,Bash,1,ls -la
chart_21,Bash,1,ls -la bug_triggering_tests.*.log | head -1
chart_21,Edit,1,
chart_21,Glob,2,
chart_21,Read,3,
chart_21,TodoWrite,6,
chart_22,Bash,1,./run_bug_exposing_tests.sh
chart_22,Bash,1,"ant test -Dtest.entry=org.jfree.data.junit.KeyedObjects2DTests 2>&1 | grep -A 20 ""testRemoveValue\|FAILED\|Error\|Exception"""
chart_22,Bash,2,defects4j compile
chart_22,Bash,2,defects4j compile && defects4j test
chart_22,Bash,2,defects4j compile && javac -cp build TestDebug2.java && java -cp .:build TestDebug2
chart_22,Bash,1,defects4j compile 2>&1
chart_22,Bash,3,defects4j test
chart_22,Bash,1,defects4j test -t org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey 2>&1 | tail -20
chart_22,Bash,1,defects4j test -t org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue 2>&1 | tail -50
chart_22,Bash,1,"find . -name ""*.txt"" -path ""*/test-results/*"" 2>/dev/null | head -5"
chart_22,Bash,1,"java -cp ""build:build-tests:lib/junit.jar:lib/servlet.jar"" org.junit.runner.JUnitCore org.jfree.data.junit.KeyedObjects2DTests 2>&1"
chart_22,Bash,2,javac -cp build TestDebug.java && java -cp .:build TestDebug
chart_22,Bash,2,javac -cp build TestDebug2.java && java -cp .:build TestDebug2
chart_22,Bash,1,javac -cp build TestDebug3.java && java -cp .:build TestDebug3
chart_22,Bash,1,javac -cp build TestDebug4.java && java -cp .:build TestDebug4
chart_22,Bash,1,ls -la bug_triggering_tests.*.log | tail -1
chart_22,Bash,1,rm -f TestDebug*.java TestDebug*.class
chart_22,Edit,8,
chart_22,Glob,2,
chart_22,Read,10,
chart_22,TodoWrite,4,
chart_22,Write,4,
chart_25,Bash,1,./run_bug_exposing_tests.sh
chart_25,Bash,2,defects4j compile
chart_25,Bash,1,defects4j info -p Chart -b 25
chart_25,Bash,1,defects4j test
chart_25,Bash,1,defects4j test -t org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical
chart_25,Bash,1,defects4j test -t org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical && defects4j test -t org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical && defects4j test -t org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal && defects4j test -t org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal
chart_25,Bash,1,ls -la
chart_25,Bash,1,ls -la bug_triggering_tests*.log | head -1 | awk '{print $NF}'
chart_25,Edit,4,
chart_25,Glob,3,
chart_25,Read,3,
chart_25,TodoWrite,6,
chart_4,Bash,1,./run_bug_exposing_tests.sh
chart_4,Bash,1,ant -Dtest.entry.class=org.jfree.chart.axis.junit.LogAxisTests -Dtest.entry.method=testXYAutoRange1 run.dev.test 2>&1 | tail -100
chart_4,Bash,2,defects4j compile
chart_4,Bash,1,defects4j export -p tests.trigger 2>&1
chart_4,Bash,2,defects4j test
chart_4,Bash,1,defects4j test -t org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1
chart_4,Bash,1,defects4j test -t org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1 2>&1
chart_4,Bash,1,defects4j test -t org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1 && defects4j test -t org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines
chart_4,Bash,1,"find . -name ""TEST-*.xml"" -type f 2>/dev/null | head -5"
chart_4,Bash,1,"find . -type d -name ""build*"" | head -10"
chart_4,Bash,1,git diff source/org/jfree/chart/plot/XYPlot.java
chart_4,Bash,1,"java -cp ""$(find lib -name 'junit*.jar' | head -1):build:build-tests"" junit.textui.TestRunner org.jfree.chart.axis.junit.LogAxisTests 2>&1 | grep -A 20 testXYAutoRange1"
chart_4,Bash,1,"javac -cp ""$(find lib -name 'junit*.jar' | head -1):build:build-tests"" TestRunner.java && java -cp "".:$(find lib -name 'junit*.jar' | head -1):build:build-tests"" TestRunner"
chart_4,Bash,1,ls -la
chart_4,Bash,1,ls -lt *.log | head -5
chart_4,Edit,1,
chart_4,Glob,3,
chart_4,Read,4,
chart_4,TodoWrite,6,
chart_4,Write,1,
cli_1,Bash,1,./run_bug_exposing_tests.sh
cli_1,Bash,2,defects4j compile
cli_1,Bash,2,defects4j test
cli_1,Bash,2,defects4j test -t org.apache.commons.cli.bug.BugCLI13Test::testCLI13
cli_1,Bash,1,"find . -type f -name ""*.java"" | head -20"
cli_1,Bash,1,git diff src/java/org/apache/commons/cli/CommandLine.java
cli_1,Bash,1,"grep -n ""getKey\|getLongOpt"" /Users/nashid/repos/claude-cli-automation/prompts/cli_1_buggy/src/java/org/apache/commons/cli/Option.java | head -20"
