bug,tool,command,parsed_command,category
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Bash,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_14,Bash,ls -la bug_triggering_tests.*.log | tail -1,ls,SEARCH_FILES
chart_14,Bash,ls -la bug_triggering_tests.*.log | tail -1,tail,READ
chart_14,Read,,Read,READ
chart_14,Bash,defects4j compile,defects4j compile,BUILD
chart_14,Bash,defects4j test,defects4j test,TEST
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Glob,,Glob,SEARCH_FILES
chart_14,Glob,,Glob,SEARCH_FILES
chart_14,Bash,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker,defects4j test,TEST
chart_14,Read,,Read,READ
chart_14,Read,,Read,READ
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Glob,,Glob,SEARCH_FILES
chart_14,Glob,,Glob,SEARCH_FILES
chart_14,Bash,"grep -n ""public boolean removeDomainMarker\|public boolean removeRangeMarker"" /Users/nashid/repos/claude-cli-automation/prompts/chart_14_buggy/source/org/jfree/chart/plot/CategoryPlot.java",grep,SEARCH_CONTENT
chart_14,Read,,Read,READ
chart_14,Read,,Read,READ
chart_14,Bash,"grep -n ""public boolean removeDomainMarker\|public boolean removeRangeMarker"" /Users/nashid/repos/claude-cli-automation/prompts/chart_14_buggy/source/org/jfree/chart/plot/XYPlot.java",grep,SEARCH_CONTENT
chart_14,Read,,Read,READ
chart_14,Read,,Read,READ
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Edit,,Edit,WRITE
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Edit,,Edit,WRITE
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Edit,,Edit,WRITE
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Edit,,Edit,WRITE
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Bash,defects4j compile,defects4j compile,BUILD
chart_14,TodoWrite,,TodoWrite,WRITE
chart_14,Bash,defects4j test,defects4j test,TEST
chart_14,TodoWrite,,TodoWrite,WRITE
chart_15,TodoWrite,,TodoWrite,WRITE
chart_15,Bash,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,Bash,ls -lt bug_triggering_tests.*.log | head -1,ls,SEARCH_FILES
chart_15,Bash,ls -lt bug_triggering_tests.*.log | head -1,head,READ
chart_15,Read,,Read,READ
chart_15,Bash,defects4j compile,defects4j compile,BUILD
chart_15,Bash,defects4j test,defects4j test,TEST
chart_15,TodoWrite,,TodoWrite,WRITE
chart_15,Bash,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset,defects4j test,TEST
chart_15,Glob,,Glob,SEARCH_FILES
chart_15,Read,,Read,READ
chart_15,Bash,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset 2>&1 | tail -100,defects4j test,TEST
chart_15,Bash,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset 2>&1 | tail -100,tail,READ
chart_15,Bash,"find . -name ""*.txt"" -path ""*/test-reports/*"" -type f | xargs ls -lt | head -5",find,SEARCH_FILES
chart_15,Bash,"find . -name ""*.txt"" -path ""*/test-reports/*"" -type f | xargs ls -lt | head -5",xargs,UTIL
chart_15,Bash,"find . -name ""*.txt"" -path ""*/test-reports/*"" -type f | xargs ls -lt | head -5",head,READ
chart_15,Bash,"find . -name ""*.xml"" -o -name ""*.txt"" | grep -i test | head -10",find,SEARCH_FILES
chart_15,Bash,"find . -name ""*.xml"" -o -name ""*.txt"" | grep -i test | head -10",grep,SEARCH_CONTENT
chart_15,Bash,"find . -name ""*.xml"" -o -name ""*.txt"" | grep -i test | head -10",head,READ
chart_15,Glob,,Glob,SEARCH_FILES
chart_15,Read,,Read,READ
chart_15,Bash,"ant test -Dtest.entry.class=org.jfree.chart.plot.junit.PiePlot3DTests -Dtest.entry.method=testDrawWithNullDataset 2>&1 | grep -A 50 ""testDrawWithNullDataset""",ant,BUILD
chart_15,Bash,"ant test -Dtest.entry.class=org.jfree.chart.plot.junit.PiePlot3DTests -Dtest.entry.method=testDrawWithNullDataset 2>&1 | grep -A 50 ""testDrawWithNullDataset""",grep,SEARCH_CONTENT
chart_15,Glob,,Glob,SEARCH_FILES
chart_15,Bash,"javac -cp ""lib/*:build/classes:build-tests/classes"" tests/org/jfree/chart/plot/junit/PiePlot3DTests.java 2>&1 && java -cp ""lib/*:build/classes:build-tests/classes:tests"" org.junit.runner.JUnitCore org.jfree.chart.plot.junit.PiePlot3DTests 2>&1",javac,BUILD
chart_15,Bash,"javac -cp ""lib/*:build/classes:build-tests/classes"" tests/org/jfree/chart/plot/junit/PiePlot3DTests.java 2>&1 && java -cp ""lib/*:build/classes:build-tests/classes:tests"" org.junit.runner.JUnitCore org.jfree.chart.plot.junit.PiePlot3DTests 2>&1",java,BUILD
chart_15,Write,,Write,WRITE
chart_15,Bash,"javac -cp ""lib/*:build/classes"" TestNullDataset.java && java -cp ""lib/*:build/classes:."" TestNullDataset",javac,BUILD
chart_15,Bash,"javac -cp ""lib/*:build/classes"" TestNullDataset.java && java -cp ""lib/*:build/classes:."" TestNullDataset",java,BUILD
chart_15,Bash,ls -la lib/,ls,SEARCH_FILES
chart_15,Bash,ls -la build/,ls,SEARCH_FILES
chart_15,Bash,"javac -cp ""lib/*:build"" TestNullDataset.java && java -cp ""lib/*:build:."" TestNullDataset",javac,BUILD
chart_15,Bash,"javac -cp ""lib/*:build"" TestNullDataset.java && java -cp ""lib/*:build:."" TestNullDataset",java,BUILD
chart_15,Read,,Read,READ
chart_15,Grep,,Grep,SEARCH_CONTENT
chart_15,Read,,Read,READ
chart_15,TodoWrite,,TodoWrite,WRITE
chart_15,Edit,,Edit,WRITE
chart_15,Read,,Read,READ
chart_15,Edit,,Edit,WRITE
chart_15,Bash,defects4j compile,defects4j compile,BUILD
chart_15,Bash,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset,defects4j test,TEST
chart_15,Bash,"javac -cp ""lib/*:build"" TestNullDataset.java && java -cp ""lib/*:build:."" TestNullDataset",javac,BUILD
chart_15,Bash,"javac -cp ""lib/*:build"" TestNullDataset.java && java -cp ""lib/*:build:."" TestNullDataset",java,BUILD
chart_15,TodoWrite,,TodoWrite,WRITE
chart_15,Bash,defects4j test,defects4j test,TEST
chart_15,TodoWrite,,TodoWrite,WRITE
chart_15,Bash,"rm TestNullDataset.java TestNullDataset.class 2>/dev/null; echo ""Cleaned up test files""",rm,FILE_OPS
chart_15,Bash,"rm TestNullDataset.java TestNullDataset.class 2>/dev/null; echo ""Cleaned up test files""",echo,UTIL
chart_15,Bash,git diff source/org/jfree/chart/plot/PiePlot3D.java,git diff,VCS
chart_16,TodoWrite,,TodoWrite,WRITE
chart_16,Bash,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_16,Bash,ls -lt bug_triggering_tests.*.log | head -1,ls,SEARCH_FILES
chart_16,Bash,ls -lt bug_triggering_tests.*.log | head -1,head,READ
chart_16,Read,,Read,READ
chart_16,Glob,,Glob,SEARCH_FILES
chart_16,Read,,Read,READ
chart_16,Bash,defects4j test,defects4j test,TEST
chart_16,TodoWrite,,TodoWrite,WRITE
chart_16,Glob,,Glob,SEARCH_FILES
chart_16,Read,,Read,READ
chart_16,Bash,defects4j test -t org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests::testGetRowCount,defects4j test,TEST
chart_16,Bash,ant -Dtest.entry.class=org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests -Dtest.entry.method=testGetRowCount run-single-test 2>&1 | tail -50,ant,BUILD
chart_16,Bash,ant -Dtest.entry.class=org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests -Dtest.entry.method=testGetRowCount run-single-test 2>&1 | tail -50,tail,READ
chart_16,TodoWrite,,TodoWrite,WRITE
chart_16,Edit,,Edit,WRITE
chart_16,Edit,,Edit,WRITE
chart_16,Edit,,Edit,WRITE
chart_16,Edit,,Edit,WRITE
chart_16,Edit,,Edit,WRITE
chart_16,Read,,Read,READ
chart_16,Edit,,Edit,WRITE
chart_16,Bash,defects4j compile,defects4j compile,BUILD
chart_16,TodoWrite,,TodoWrite,WRITE
chart_16,Bash,defects4j test,defects4j test,TEST
chart_16,TodoWrite,,TodoWrite,WRITE
chart_18,TodoWrite,,TodoWrite,WRITE
chart_18,Bash,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_18,Bash,ls -lt bug_triggering_tests*.log | head -1 | awk '{print $NF}',ls,SEARCH_FILES
chart_18,Bash,ls -lt bug_triggering_tests*.log | head -1 | awk '{print $NF}',head,READ
chart_18,Bash,ls -lt bug_triggering_tests*.log | head -1 | awk '{print $NF}',awk,WRITE
chart_18,Read,,Read,READ
chart_18,Bash,defects4j compile,defects4j compile,BUILD
chart_18,Bash,defects4j test,defects4j test,TEST
chart_18,TodoWrite,,TodoWrite,WRITE
chart_18,Bash,defects4j test -t org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2,defects4j test,TEST
chart_18,Glob,,Glob,SEARCH_FILES
chart_18,Glob,,Glob,SEARCH_FILES
chart_18,Glob,,Glob,SEARCH_FILES
chart_18,Read,,Read,READ
chart_18,Read,,Read,READ
chart_18,Read,,Read,READ
chart_18,Glob,,Glob,SEARCH_FILES
chart_18,Glob,,Glob,SEARCH_FILES
chart_18,Read,,Read,READ
chart_18,Read,,Read,READ
chart_18,TodoWrite,,TodoWrite,WRITE
chart_18,Edit,,Edit,WRITE
chart_18,Edit,,Edit,WRITE
chart_18,TodoWrite,,TodoWrite,WRITE
chart_18,Bash,defects4j compile,defects4j compile,BUILD
chart_18,TodoWrite,,TodoWrite,WRITE
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey,defects4j test,TEST
chart_18,Bash,defects4j test -t org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955,defects4j test,TEST
chart_18,Read,,Read,READ
chart_18,Read,,Read,READ
chart_18,Edit,,Edit,WRITE
chart_18,Read,,Read,READ
chart_18,Bash,defects4j compile,defects4j compile,BUILD
