window_size,tool_sequence,frequency
4,WRITE -> WRITE -> BUILD -> TEST,278
4,WRITE -> WRITE -> WRITE -> WRITE,264
4,WRITE -> WRITE -> WRITE -> BUILD,256
4,WRITE -> TEST -> SEARCH_FILES -> READ,246
4,TEST -> WRITE -> TEST -> WRITE,230
4,TEST -> SEARCH_FILES -> READ -> READ,218
4,READ -> WRITE -> WRITE -> WRITE,197
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,188
4,WRITE -> BUILD -> TEST -> TEST,175
4,WRITE -> BUILD -> TEST -> WRITE,174
4,BUILD -> TEST -> WRITE -> TEST,173
4,SEARCH_FILES -> READ -> READ -> BUILD,162
4,READ -> WRITE -> BUILD -> TEST,141
4,READ -> READ -> BUILD -> TEST,139
4,READ -> WRITE -> WRITE -> BUILD,139
4,WRITE -> BUILD -> WRITE -> TEST,137
4,READ -> BUILD -> TEST -> WRITE,124
4,WRITE -> TEST -> WRITE -> VCS,114
4,WRITE -> WRITE -> BUILD -> WRITE,113
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,112
4,READ -> READ -> WRITE -> WRITE,111
4,TEST -> TEST -> WRITE -> TEST,105
4,WRITE -> BUILD -> BUILD -> BUILD,84
4,SEARCH_CONTENT -> READ -> WRITE -> WRITE,83
4,TEST -> TEST -> TEST -> TEST,83
4,BUILD -> TEST -> WRITE -> SEARCH_FILES,82
4,BUILD -> TEST -> TEST -> TEST,79
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,79
4,READ -> WRITE -> BUILD -> BUILD,77
4,READ -> VCS -> READ -> VCS,77
4,BUILD -> WRITE -> TEST -> TEST,74
4,SEARCH_FILES -> TEST -> SEARCH_FILES -> READ,74
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,74
4,WRITE -> READ -> WRITE -> WRITE,71
4,WRITE -> WRITE -> READ -> WRITE,70
4,TEST -> SEARCH_FILES -> READ -> SEARCH_FILES,70
4,TEST -> WRITE -> SEARCH_FILES -> READ,69
4,READ -> SEARCH_FILES -> READ -> WRITE,68
4,READ -> SEARCH_FILES -> SEARCH_CONTENT -> READ,67
4,SEARCH_FILES -> READ -> WRITE -> WRITE,67
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,67
4,BUILD -> WRITE -> TEST -> WRITE,66
4,WRITE -> BUILD -> BUILD -> WRITE,66
4,BUILD -> TEST -> TEST -> WRITE,65
4,SEARCH_FILES -> SEARCH_FILES -> READ -> READ,64
4,WRITE -> READ -> WRITE -> BUILD,63
4,READ -> WRITE -> READ -> WRITE,63
4,WRITE -> BUILD -> TEST -> READ,63
4,TEST -> SEARCH_FILES -> READ -> UTIL,63
4,TEST -> SEARCH_FILES -> READ -> WRITE,61
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,61
4,WRITE -> SEARCH_FILES -> TEST -> SEARCH_FILES,59
4,TEST -> TEST -> TEST -> WRITE,57
4,READ -> TEST -> SEARCH_FILES -> READ,54
4,VCS -> READ -> VCS -> READ,54
4,SEARCH_CONTENT -> READ -> READ -> WRITE,53
4,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_CONTENT,53
4,TEST -> READ -> SEARCH_FILES -> READ,53
4,BUILD -> WRITE -> BUILD -> BUILD,52
4,READ -> READ -> WRITE -> BUILD,52
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,52
4,BUILD -> BUILD -> WRITE -> BUILD,51
4,READ -> SEARCH_CONTENT -> READ -> WRITE,51
4,READ -> WRITE -> SEARCH_FILES -> READ,51
4,SEARCH_FILES -> READ -> READ -> TEST,50
4,WRITE -> TEST -> WRITE -> TEST,50
4,WRITE -> WRITE -> BUILD -> BUILD,50
4,READ -> READ -> SEARCH_CONTENT -> READ,49
4,WRITE -> SEARCH_FILES -> READ -> SEARCH_FILES,49
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,49
4,WRITE -> TEST -> TEST -> TEST,48
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,48
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,48
4,READ -> READ -> READ -> WRITE,47
4,BUILD -> READ -> WRITE -> BUILD,47
4,SEARCH_FILES -> READ -> READ -> WRITE,46
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> WRITE,46
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> SEARCH_FILES,45
4,SEARCH_CONTENT -> WRITE -> WRITE -> BUILD,44
4,WRITE -> SEARCH_FILES -> READ -> TEST,43
4,VCS -> READ -> VCS -> VCS,43
4,SEARCH_CONTENT -> READ -> SEARCH_FILES -> READ,42
4,READ -> SEARCH_FILES -> READ -> READ,42
4,SEARCH_FILES -> READ -> WRITE -> READ,41
4,READ -> SEARCH_FILES -> READ -> SEARCH_CONTENT,41
4,TEST -> WRITE -> TEST -> TEST,40
4,WRITE -> SEARCH_FILES -> SEARCH_FILES -> READ,40
4,BUILD -> TEST -> TEST -> READ,40
4,READ -> WRITE -> WRITE -> READ,39
4,READ -> READ -> SEARCH_FILES -> READ,39
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> READ,39
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> READ,38
4,BUILD -> READ -> BUILD -> READ,38
4,SEARCH_CONTENT -> READ -> WRITE -> BUILD,38
4,BUILD -> TEST -> READ -> WRITE,37
4,SEARCH_CONTENT -> WRITE -> WRITE -> WRITE,37
4,SEARCH_CONTENT -> WRITE -> BUILD -> TEST,37
4,TEST -> WRITE -> SEARCH_FILES -> SEARCH_FILES,36
4,TEST -> READ -> READ -> WRITE,36
4,READ -> SEARCH_FILES -> READ -> BUILD,36
4,BUILD -> BUILD -> BUILD -> WRITE,36
4,SEARCH_FILES -> READ -> READ -> SEARCH_FILES,35
4,READ -> SEARCH_CONTENT -> READ -> READ,34
4,READ -> SEARCH_FILES -> SEARCH_FILES -> READ,34
4,READ -> BUILD -> READ -> BUILD,34
4,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_FILES,33
4,VCS -> SEARCH_CONTENT -> VCS -> SEARCH_CONTENT,33
4,SEARCH_FILES -> READ -> UTIL -> BUILD,33
4,TEST -> READ -> TEST -> READ,33
4,TEST -> TEST -> READ -> READ,32
4,TEST -> WRITE -> TEST -> SEARCH_FILES,31
4,READ -> SEARCH_FILES -> READ -> TEST,31
4,WRITE -> WRITE -> WRITE -> READ,31
4,SEARCH_FILES -> READ -> TEST -> SEARCH_FILES,31
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,31
4,VCS -> SEARCH_CONTENT -> READ -> VCS,31
4,WRITE -> BUILD -> TEST -> BUILD,30
4,TEST -> TEST -> TEST -> READ,30
4,TEST -> TEST -> SEARCH_FILES -> READ,30
4,VCS -> WRITE -> WRITE -> WRITE,30
4,SEARCH_FILES -> READ -> WRITE -> BUILD,29
4,TEST -> READ -> WRITE -> BUILD,29
4,BUILD -> READ -> BUILD -> SEARCH_CONTENT,29
4,READ -> BUILD -> READ -> WRITE,29
4,READ -> VCS -> VCS -> VCS,29
4,BUILD -> BUILD -> BUILD -> BUILD,29
4,VCS -> READ -> VCS -> WRITE,29
4,WRITE -> BUILD -> TEST -> SEARCH_CONTENT,29
4,VCS -> VCS -> VCS -> VCS,29
4,READ -> SEARCH_CONTENT -> WRITE -> WRITE,29
4,SEARCH_CONTENT -> READ -> SEARCH_FILES -> SEARCH_CONTENT,29
4,SEARCH_CONTENT -> READ -> READ -> SEARCH_CONTENT,28
4,TEST -> READ -> WRITE -> SEARCH_FILES,28
4,READ -> READ -> READ -> READ,28
4,TEST -> WRITE -> BUILD -> TEST,28
4,SEARCH_FILES -> READ -> BUILD -> READ,28
4,SEARCH_FILES -> READ -> TEST -> READ,27
4,WRITE -> SEARCH_FILES -> READ -> WRITE,27
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> READ,26
4,READ -> WRITE -> BUILD -> WRITE,26
4,READ -> TEST -> READ -> READ,26
4,TEST -> READ -> READ -> READ,26
4,READ -> BUILD -> TEST -> TEST,26
4,WRITE -> TEST -> READ -> READ,26
4,READ -> WRITE -> READ -> BUILD,25
4,WRITE -> READ -> BUILD -> TEST,25
4,BUILD -> BUILD -> WRITE -> WRITE,25
4,BUILD -> BUILD -> READ -> WRITE,25
4,BUILD -> READ -> SEARCH_FILES -> READ,25
4,READ -> BUILD -> TEST -> READ,25
4,WRITE -> TEST -> TEST -> READ,25
4,BUILD -> TEST -> WRITE -> BUILD,25
4,SEARCH_CONTENT -> READ -> READ -> READ,25
4,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,25
4,READ -> READ -> WRITE -> READ,24
4,WRITE -> TEST -> TEST -> WRITE,24
4,BUILD -> BUILD -> SEARCH_FILES -> READ,24
4,WRITE -> BUILD -> BUILD -> READ,24
4,READ -> TEST -> READ -> WRITE,24
4,VCS -> READ -> VCS -> SEARCH_CONTENT,24
4,READ -> VCS -> SEARCH_CONTENT -> READ,24
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> WRITE,24
4,BUILD -> BUILD -> WRITE -> TEST,23
4,BUILD -> TEST -> SEARCH_FILES -> READ,23
4,SEARCH_CONTENT -> READ -> VCS -> READ,23
4,SEARCH_FILES -> READ -> READ -> SEARCH_CONTENT,23
4,SEARCH_FILES -> READ -> READ -> READ,22
4,READ -> READ -> BUILD -> SEARCH_FILES,22
4,READ -> READ -> TEST -> WRITE,22
4,BUILD -> SEARCH_CONTENT -> WRITE -> BUILD,22
4,READ -> TEST -> READ -> SEARCH_FILES,21
4,BUILD -> READ -> WRITE -> WRITE,21
4,WRITE -> READ -> WRITE -> READ,21
4,TEST -> SEARCH_FILES -> SEARCH_FILES -> READ,21
4,SEARCH_FILES -> READ -> WRITE -> SEARCH_FILES,21
4,TEST -> WRITE -> READ -> READ,21
4,READ -> VCS -> SEARCH_CONTENT -> VCS,21
4,READ -> UTIL -> BUILD -> TEST,21
4,SEARCH_CONTENT -> VCS -> READ -> VCS,21
4,READ -> READ -> TEST -> SEARCH_FILES,21
4,READ -> READ -> WRITE -> TEST,21
4,VCS -> READ -> WRITE -> WRITE,21
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_FILES,21
4,SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,21
4,SEARCH_CONTENT -> WRITE -> BUILD -> BUILD,21
4,WRITE -> BUILD -> BUILD -> SEARCH_FILES,20
4,SEARCH_FILES -> READ -> TEST -> BUILD,20
4,READ -> READ -> TEST -> READ,20
4,TEST -> READ -> BUILD -> SEARCH_CONTENT,20
4,BUILD -> TEST -> WRITE -> READ,20
4,TEST -> WRITE -> TEST -> READ,20
4,BUILD -> READ -> TEST -> READ,20
4,WRITE -> BUILD -> TEST -> VCS,20
4,READ -> WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT,20
4,VCS -> VCS -> VCS -> READ,20
4,READ -> SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,20
4,READ -> TEST -> WRITE -> SEARCH_FILES,19
4,BUILD -> WRITE -> TEST -> READ,19
4,SEARCH_FILES -> READ -> BUILD -> BUILD,19
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT -> SEARCH_CONTENT,19
4,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE -> WRITE,19
4,READ -> WRITE -> SEARCH_CONTENT -> READ,19
4,BUILD -> TEST -> READ -> READ,19
4,SEARCH_CONTENT -> READ -> BUILD -> READ,19
4,SEARCH_CONTENT -> READ -> WRITE -> READ,19
4,SEARCH_FILES -> SEARCH_FILES -> READ -> SEARCH_FILES,19
4,TEST -> TEST -> TEST -> SEARCH_FILES,18
4,VCS -> SEARCH_CONTENT -> WRITE -> WRITE,18
4,READ -> WRITE -> TEST -> SEARCH_FILES,18
4,READ -> READ -> READ -> SEARCH_CONTENT,18
4,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE -> BUILD,18
4,TEST -> READ -> WRITE -> TEST,18
4,VCS -> VCS -> READ -> WRITE,18
4,WRITE -> TEST -> READ -> WRITE,18
4,WRITE -> READ -> READ -> WRITE,18
4,BUILD -> BUILD -> BUILD -> TEST,18
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT -> READ,17
4,WRITE -> TEST -> TEST -> SEARCH_FILES,17
4,READ -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,17
4,TEST -> WRITE -> BUILD -> BUILD,17
4,BUILD -> BUILD -> BUILD -> READ,17
4,SEARCH_CONTENT -> SEARCH_FILES -> READ -> WRITE,17
4,BUILD -> SEARCH_FILES -> SEARCH_FILES -> READ,17
4,READ -> BUILD -> BUILD -> READ,17
4,SEARCH_CONTENT -> VCS -> SEARCH_CONTENT -> VCS,17
4,READ -> VCS -> WRITE -> WRITE,17
4,READ -> SEARCH_FILES -> READ -> UTIL,17
4,READ -> SEARCH_CONTENT -> SEARCH_FILES -> READ,17
4,SEARCH_FILES -> READ -> UTIL -> SEARCH_FILES,17
4,READ -> VCS -> READ -> READ,17
4,WRITE -> TEST -> WRITE -> FILE_OPS,16
4,BUILD -> TEST -> READ -> TEST,16
4,READ -> BUILD -> SEARCH_CONTENT -> BUILD,16
4,BUILD -> BUILD -> BUILD -> SEARCH_FILES,16
4,BUILD -> SEARCH_CONTENT -> SEARCH_FILES -> READ,16
4,READ -> BUILD -> SEARCH_FILES -> TEST,16
4,VCS -> VCS -> WRITE -> WRITE,16
4,WRITE -> SEARCH_FILES -> SEARCH_CONTENT -> READ,16
4,BUILD -> SEARCH_FILES -> READ -> SEARCH_FILES,16
4,TEST -> WRITE -> VCS -> TEST,16
4,READ -> BUILD -> TEST -> SEARCH_FILES,16
4,TEST -> SEARCH_CONTENT -> SEARCH_FILES -> READ,16
4,VCS -> VCS -> READ -> VCS,16
4,READ -> VCS -> VCS -> WRITE,16
4,WRITE -> SEARCH_FILES -> READ -> SEARCH_CONTENT,16
4,READ -> WRITE -> TEST -> READ,16
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> WRITE,16
4,TEST -> WRITE -> WRITE -> BUILD,16
4,WRITE -> WRITE -> BUILD -> READ,16
4,BUILD -> WRITE -> WRITE -> WRITE,16
4,READ -> WRITE -> SEARCH_FILES -> SEARCH_FILES,15
4,READ -> TEST -> BUILD -> READ,15
4,TEST -> TEST -> SEARCH_FILES -> SEARCH_FILES,15
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> READ,15
4,READ -> READ -> VCS -> READ,15
4,TEST -> READ -> BUILD -> READ,15
4,READ -> BUILD -> READ -> SEARCH_FILES,15
4,READ -> WRITE -> BUILD -> READ,15
4,WRITE -> BUILD -> READ -> WRITE,15
4,TEST -> TEST -> READ -> SEARCH_FILES,15
4,TEST -> TEST -> READ -> WRITE,15
4,VCS -> READ -> READ -> WRITE,15
4,BUILD -> SEARCH_CONTENT -> BUILD -> SEARCH_CONTENT,15
4,READ -> VCS -> READ -> WRITE,15
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,15
4,READ -> BUILD -> SEARCH_CONTENT -> WRITE,15
4,BUILD -> TEST -> BUILD -> SEARCH_CONTENT,15
4,TEST -> BUILD -> SEARCH_CONTENT -> WRITE,15
4,READ -> UTIL -> SEARCH_FILES -> READ,15
4,WRITE -> SEARCH_CONTENT -> READ -> WRITE,15
4,BUILD -> BUILD -> TEST -> WRITE,15
4,SEARCH_CONTENT -> READ -> VCS -> SEARCH_CONTENT,15
4,BUILD -> SEARCH_CONTENT -> BUILD -> READ,15
4,SEARCH_FILES -> UTIL -> READ -> SEARCH_FILES,14
4,SEARCH_FILES -> SEARCH_FILES -> READ -> TEST,14
4,TEST -> READ -> READ -> TEST,14
4,BUILD -> READ -> READ -> WRITE,14
4,WRITE -> BUILD -> BUILD -> TEST,14
4,WRITE -> TEST -> READ -> TEST,14
4,BUILD -> SEARCH_FILES -> TEST -> READ,14
4,SEARCH_FILES -> SEARCH_FILES -> READ -> BUILD,14
4,SEARCH_FILES -> READ -> WRITE -> TEST,14
4,WRITE -> BUILD -> READ -> BUILD,14
4,SEARCH_FILES -> READ -> UTIL -> TEST,14
4,SEARCH_FILES -> READ -> WRITE -> SEARCH_CONTENT,14
4,READ -> READ -> SEARCH_CONTENT -> WRITE,14
4,BUILD -> TEST -> VCS -> VCS,14
4,SEARCH_FILES -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,14
4,TEST -> SEARCH_CONTENT -> BUILD -> READ,14
4,READ -> TEST -> READ -> TEST,14
4,READ -> BUILD -> READ -> TEST,14
4,BUILD -> READ -> BUILD -> BUILD,14
4,WRITE -> SEARCH_FILES -> SEARCH_FILES -> TEST,13
4,READ -> READ -> WRITE -> SEARCH_FILES,13
4,TEST -> SEARCH_FILES -> READ -> TEST,13
4,READ -> BUILD -> SEARCH_CONTENT -> SEARCH_FILES,13
4,BUILD -> WRITE -> WRITE -> BUILD,13
4,BUILD -> BUILD -> READ -> READ,13
4,WRITE -> TEST -> SEARCH_FILES -> SEARCH_FILES,13
4,READ -> READ -> BUILD -> READ,13
4,TEST -> READ -> READ -> SEARCH_CONTENT,13
4,WRITE -> TEST -> READ -> BUILD,13
4,SEARCH_CONTENT -> VCS -> SEARCH_CONTENT -> WRITE,13
4,TEST -> READ -> SEARCH_CONTENT -> READ,13
4,SEARCH_FILES -> SEARCH_FILES -> READ -> WRITE,13
4,WRITE -> VCS -> READ -> VCS,13
4,TEST -> TEST -> WRITE -> VCS,13
4,READ -> VCS -> VCS -> READ,13
4,BUILD -> TEST -> TEST -> SEARCH_CONTENT,13
4,BUILD -> TEST -> SEARCH_CONTENT -> READ,13
4,VCS -> WRITE -> VCS -> WRITE,13
4,SEARCH_CONTENT -> WRITE -> READ -> WRITE,13
4,TEST -> TEST -> READ -> BUILD,13
4,READ -> WRITE -> READ -> READ,13
4,WRITE -> TEST -> READ -> SEARCH_FILES,13
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_FILES,13
4,VCS -> VCS -> BUILD -> TEST,13
4,SEARCH_CONTENT -> SEARCH_FILES -> SEARCH_CONTENT -> READ,13
4,VCS -> READ -> READ -> VCS,13
4,WRITE -> SEARCH_FILES -> READ -> READ,13
4,WRITE -> BUILD -> READ -> TEST,13
4,TEST -> BUILD -> READ -> SEARCH_FILES,13
4,READ -> SEARCH_FILES -> UTIL -> READ,12
4,SEARCH_FILES -> READ -> BUILD -> SEARCH_CONTENT,12
4,BUILD -> BUILD -> SEARCH_FILES -> SEARCH_FILES,12
4,SEARCH_FILES -> READ -> TEST -> WRITE,12
4,TEST -> BUILD -> READ -> WRITE,12
4,READ -> READ -> SEARCH_FILES -> SEARCH_FILES,12
4,READ -> TEST -> READ -> BUILD,12
4,SEARCH_FILES -> SEARCH_FILES -> TEST -> SEARCH_FILES,12
4,WRITE -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,12
4,WRITE -> READ -> READ -> READ,12
4,TEST -> READ -> WRITE -> WRITE,12
4,WRITE -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,12
4,UTIL -> BUILD -> TEST -> WRITE,12
4,TEST -> READ -> BUILD -> TEST,12
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,12
4,SEARCH_CONTENT -> SEARCH_FILES -> READ -> SEARCH_FILES,12
4,WRITE -> WRITE -> BUILD -> NAVIGATE,12
4,TEST -> READ -> READ -> SEARCH_FILES,12
4,BUILD -> TEST -> READ -> BUILD,12
4,READ -> BUILD -> SEARCH_CONTENT -> READ,12
4,BUILD -> SEARCH_CONTENT -> READ -> READ,12
4,READ -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_CONTENT,12
