window_size,tool_sequence,frequency
5,WRITE -> TEST -> SEARCH_FILES -> READ -> READ,137
5,WRITE -> WRITE -> WRITE -> BUILD -> TEST,136
5,TEST -> SEARCH_FILES -> READ -> READ -> BUILD,135
5,SEARCH_FILES -> READ -> READ -> BUILD -> TEST,117
5,WRITE -> WRITE -> WRITE -> WRITE -> WRITE,117
5,WRITE -> BUILD -> TEST -> WRITE -> TEST,116
5,WRITE -> WRITE -> BUILD -> TEST -> WRITE,109
5,TEST -> WRITE -> TEST -> WRITE -> VCS,106
5,WRITE -> WRITE -> WRITE -> WRITE -> BUILD,102
5,WRITE -> WRITE -> BUILD -> WRITE -> TEST,102
5,BUILD -> TEST -> WRITE -> TEST -> WRITE,102
5,WRITE -> WRITE -> BUILD -> TEST -> TEST,94
5,READ -> WRITE -> WRITE -> WRITE -> BUILD,90
5,READ -> READ -> BUILD -> TEST -> WRITE,86
5,TEST -> TEST -> WRITE -> TEST -> WRITE,85
5,READ -> WRITE -> WRITE -> WRITE -> WRITE,76
5,READ -> WRITE -> WRITE -> BUILD -> TEST,74
5,READ -> BUILD -> TEST -> WRITE -> SEARCH_FILES,66
5,WRITE -> WRITE -> WRITE -> BUILD -> WRITE,64
5,READ -> SEARCH_FILES -> READ -> SEARCH_FILES -> READ,64
5,WRITE -> BUILD -> TEST -> TEST -> TEST,58
5,SEARCH_FILES -> READ -> SEARCH_FILES -> READ -> SEARCH_FILES,58
5,WRITE -> SEARCH_FILES -> TEST -> SEARCH_FILES -> READ,55
5,READ -> READ -> WRITE -> WRITE -> WRITE,54
5,WRITE -> BUILD -> WRITE -> TEST -> TEST,53
5,WRITE -> BUILD -> WRITE -> TEST -> WRITE,49
5,BUILD -> WRITE -> TEST -> WRITE -> TEST,48
5,WRITE -> BUILD -> TEST -> TEST -> WRITE,47
5,BUILD -> TEST -> TEST -> WRITE -> TEST,46
5,TEST -> SEARCH_FILES -> READ -> SEARCH_FILES -> READ,45
5,READ -> WRITE -> BUILD -> TEST -> WRITE,45
5,SEARCH_FILES -> TEST -> SEARCH_FILES -> READ -> READ,43
5,BUILD -> TEST -> WRITE -> SEARCH_FILES -> READ,43
5,BUILD -> BUILD -> WRITE -> BUILD -> BUILD,42
5,WRITE -> TEST -> WRITE -> TEST -> WRITE,39
5,SEARCH_CONTENT -> READ -> WRITE -> WRITE -> WRITE,38
5,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_CONTENT -> READ,36
