window_size,tool_sequence,frequency
5,WRITE -> WRITE -> WRITE -> WRITE -> WRITE,22
5,WRITE -> WRITE -> WRITE -> BUILD -> TEST,13
5,WRITE -> BUILD -> TEST -> TEST -> TEST,12
5,READ -> READ -> WRITE -> BUILD -> TEST,11
5,READ -> WRITE -> WRITE -> WRITE -> BUILD,11
5,WRITE -> TEST -> SEARCH_FILES -> READ -> READ,11
5,READ -> WRITE -> BUILD -> TEST -> READ,10
5,READ -> READ -> WRITE -> WRITE -> WRITE,10
5,READ -> WRITE -> BUILD -> TEST -> TEST,9
5,WRITE -> WRITE -> BUILD -> TEST -> TEST,9
5,WRITE -> WRITE -> WRITE -> WRITE -> BUILD,9
5,TEST -> SEARCH_FILES -> READ -> READ -> BUILD,9
5,SEARCH_FILES -> READ -> READ -> BUILD -> TEST,9
5,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,8
5,READ -> WRITE -> WRITE -> WRITE -> WRITE,8
5,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,7
5,READ -> READ -> BUILD -> TEST -> WRITE,7
5,SEARCH_CONTENT -> READ -> READ -> WRITE -> WRITE,6
5,WRITE -> WRITE -> BUILD -> WRITE -> TEST,6
5,WRITE -> BUILD -> WRITE -> TEST -> TEST,6
5,WRITE -> READ -> WRITE -> BUILD -> TEST,6
5,READ -> WRITE -> WRITE -> BUILD -> TEST,6
5,WRITE -> WRITE -> BUILD -> TEST -> READ,6
5,WRITE -> BUILD -> TEST -> READ -> WRITE,6
5,BUILD -> TEST -> READ -> WRITE -> BUILD,6
5,WRITE -> BUILD -> TEST -> READ -> TEST,6
5,SEARCH_CONTENT -> WRITE -> WRITE -> BUILD -> TEST,6
5,BUILD -> TEST -> TEST -> TEST -> TEST,6
5,READ -> WRITE -> READ -> WRITE -> BUILD,5
5,SEARCH_CONTENT -> READ -> WRITE -> WRITE -> BUILD,5
5,READ -> READ -> READ -> WRITE -> BUILD,5
5,TEST -> READ -> WRITE -> BUILD -> TEST,5
5,TEST -> READ -> TEST -> READ -> READ,5
5,WRITE -> READ -> WRITE -> WRITE -> BUILD,5
5,WRITE -> WRITE -> BUILD -> TEST -> BUILD,5
5,WRITE -> SEARCH_FILES -> READ -> SEARCH_FILES -> READ,5
5,TEST -> TEST -> TEST -> SEARCH_CONTENT -> READ,5
5,READ -> WRITE -> BUILD -> BUILD -> WRITE,5
5,READ -> TEST -> READ -> READ -> WRITE,4
5,BUILD -> WRITE -> TEST -> TEST -> TEST,4
5,TEST -> TEST -> TEST -> READ -> READ,4
5,TEST -> TEST -> READ -> READ -> READ,4
5,TEST -> READ -> READ -> READ -> WRITE,4
5,SEARCH_CONTENT -> READ -> READ -> WRITE -> BUILD,4
5,TEST -> READ -> READ -> WRITE -> BUILD,4
5,BUILD -> TEST -> READ -> TEST -> READ,4
5,WRITE -> TEST -> READ -> TEST -> READ,4
5,BUILD -> SEARCH_CONTENT -> READ -> READ -> WRITE,4
5,SEARCH_FILES -> SEARCH_FILES -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,4
5,WRITE -> BUILD -> TEST -> BUILD -> SEARCH_CONTENT,4
5,SEARCH_CONTENT -> READ -> WRITE -> BUILD -> TEST,4
5,SEARCH_FILES -> READ -> SEARCH_FILES -> READ -> SEARCH_CONTENT,4
5,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,4
5,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,4
5,SEARCH_FILES -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,4
5,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,4
5,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,4
5,READ -> TEST -> READ -> TEST -> READ,4
5,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,4
