bug,pass,test_fail,compile_fail,failed_tests
Chart-2,No,Yes,No,org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2; org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3
Chart-4,No,Yes,No,org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1; org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2; org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins; org.jfree.chart.junit.JFreeChartTests::testSerialization4; org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo; org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset; org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo; org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset; org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset; org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo; org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator; org.jfree.chart.junit.XYStepChartTests::testReplaceDataset; org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines
Chart-14,Yes,No,No,
Chart-15,Yes,No,No,
Chart-16,Yes,No,No,
Chart-18,Yes,No,No,
Chart-19,No,Yes,No,org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex; org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex
Chart-21,Yes,No,No,
Chart-22,Yes,No,No,
Chart-25,No,Yes,No,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal
Cli-1,Yes,No,No,
Cli-7,Yes,No,No,
Cli-10,Yes,No,No,
Cli-13,Yes,No,No,
Cli-14,Yes,No,No,
Cli-16,No,No,Yes,
Cli-18,Yes,No,No,
Cli-21,No,Yes,No,org.apache.commons.cli2.bug.BugCLI150Test::testNegativeNumber
Cli-22,Yes,No,No,
Cli-23,No,Yes,No,org.apache.commons.cli.bug.BugCLI162Test::testInfiniteLoop; org.apache.commons.cli.bug.BugCLI162Test::testPrintHelpLongLines
Cli-26,Yes,No,No,
Cli-30,Yes,No,No,
Cli-31,No,Yes,No,org.apache.commons.cli.HelpFormatterTest::testDefaultArgName
Cli-33,No,Yes,No,org.apache.commons.cli.HelpFormatterTest::testIndentedHeaderAndFooter
Cli-34,Yes,No,No,
Cli-36,No,Yes,No,org.apache.commons.cli.bug.BugCLI266Test::testOptionComparatorInsertedOrder
Cli-39,No,Yes,No,org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePattern; org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePatternFileNotExist
Closure-3,No,Yes,No,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3
Closure-4,No,No,Yes,
Closure-6,Yes,No,No,
Closure-9,No,Yes,No,com.google.javascript.jscomp.ProcessCommonJSModulesTest::testGuessModuleName
Closure-16,No,Yes,No,com.google.javascript.jscomp.IntegrationTest::testIssue772; com.google.javascript.jscomp.ScopedAliasesTest::testIssue772
Closure-21,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode; com.google.javascript.jscomp.CheckSideEffectsTest::testIssue80
Closure-24,No,No,Yes,
Closure-25,Yes,No,No,
