bug_id,localization
Chart_2,0
Chart_4,0
Chart_14,1
Chart_15,1
Chart_16,1
Chart_18,1
Chart_19,0
Chart_21,1
Chart_22,1
Chart_25,0
Cli_1,1
Cli_7,1
Cli_10,1
Cli_13,1
Cli_14,0
Cli_16,1
Cli_18,1
Cli_21,0
Cli_22,1
Cli_23,0
Cli_26,1
Cli_30,1
Cli_31,0
Cli_33,0
Cli_34,0
Cli_36,0
Cli_39,0
Closure_3,0
Closure_4,0
Closure_6,1
Closure_9,0
Closure_16,0
Closure_21,1
Closure_24,1
Closure_25,1
Closure_26,1
Closure_27,1
Closure_29,0
Closure_30,0
Closure_32,0
Closure_34,0
Closure_37,0
Closure_39,0
Closure_41,0
Closure_43,0
Closure_45,1
Closure_47,0
Closure_49,0
Closure_50,0
Closure_51,1
Closure_53,1
Closure_54,0
Closure_60,1
Closure_64,1
Closure_68,0
Closure_72,0
Closure_74,1
Closure_75,1
Closure_76,1
Closure_79,0
Closure_80,1
Closure_84,0
Closure_85,0
Closure_89,0
Closure_90,0
Closure_98,0
Closure_99,1
Closure_100,0
Closure_103,1
Closure_105,1
Closure_106,0
Closure_108,0
Closure_110,0
Closure_115,1
Closure_116,0
Closure_117,1
Closure_134,0
Closure_135,0
Closure_136,0
Closure_137,0
Closure_138,0
Closure_139,0
Closure_140,0
Closure_141,0
Closure_142,0
Closure_143,0
Closure_144,0
Closure_147,0
Closure_148,0
Closure_149,0
Closure_151,0
Closure_153,0
Closure_154,0
Closure_155,0
Closure_156,1
Closure_157,0
Closure_158,0
Closure_160,0
Closure_162,0
Closure_163,0
Closure_164,1
Closure_165,0
Closure_167,0
Closure_169,0
Closure_171,0
Closure_173,0
Closure_174,0
Closure_175,0
Closure_176,0
Codec_1,0
Codec_8,0
Codec_11,1
Codec_12,1
Codec_13,0
Codec_14,0
Collections_25,0
Compress_2,0
Compress_3,0
Compress_4,0
Compress_6,1
Compress_9,0
Compress_10,0
Compress_11,1
Compress_20,0
Compress_22,0
Compress_29,0
Compress_33,0
Compress_34,1
Compress_35,1
Compress_39,0
Compress_40,0
Compress_42,0
Compress_43,0
Compress_47,1
Csv_7,1
Csv_8,1
Csv_13,0
Csv_16,1
Gson_1,0
Gson_3,0
Gson_4,0
Gson_7,0
Gson_8,0
Gson_9,0
Gson_14,0
JacksonCore_1,0
JacksonCore_2,0
JacksonCore_9,0
JacksonCore_10,1
JacksonCore_12,1
JacksonCore_16,1
JacksonCore_17,1
JacksonCore_18,0
JacksonCore_19,0
JacksonCore_21,0
JacksonCore_22,0
JacksonCore_24,1
JacksonDatabind_3,1
JacksonDatabind_4,0
JacksonDatabind_6,1
JacksonDatabind_8,1
JacksonDatabind_10,0
JacksonDatabind_13,0
JacksonDatabind_14,0
JacksonDatabind_15,0
JacksonDatabind_18,1
JacksonDatabind_20,0
JacksonDatabind_21,0
JacksonDatabind_22,1
JacksonDatabind_23,1
JacksonDatabind_25,0
JacksonDatabind_29,1
JacksonDatabind_30,0
JacksonDatabind_31,0
JacksonDatabind_32,0
JacksonDatabind_36,1
JacksonDatabind_38,0
JacksonDatabind_41,1
JacksonDatabind_43,0
JacksonDatabind_48,0
JacksonDatabind_50,0
JacksonDatabind_52,1
JacksonDatabind_53,0
JacksonDatabind_54,0
JacksonDatabind_55,0
JacksonDatabind_56,1
JacksonDatabind_59,0
JacksonDatabind_60,1
JacksonDatabind_61,0
JacksonDatabind_65,0
JacksonDatabind_66,1
JacksonDatabind_68,1
JacksonDatabind_69,0
JacksonDatabind_72,0
JacksonDatabind_73,0
JacksonDatabind_75,1
JacksonDatabind_77,0
JacksonDatabind_78,0
JacksonDatabind_79,0
JacksonDatabind_80,0
JacksonDatabind_81,0
JacksonDatabind_87,1
JacksonDatabind_90,0
JacksonDatabind_94,1
JacksonDatabind_95,0
JacksonDatabind_103,0
JacksonDatabind_104,0
JacksonDatabind_105,0
JacksonDatabind_108,0
JacksonDatabind_109,0
JacksonDatabind_110,1
JacksonDatabind_111,0
JacksonXml_1,1
JacksonXml_2,0
JacksonXml_6,1
Jsoup_3,1
Jsoup_4,0
Jsoup_7,0
Jsoup_11,1
Jsoup_12,1
Jsoup_14,1
Jsoup_16,0
Jsoup_18,0
Jsoup_21,0
Jsoup_22,0
Jsoup_23,1
Jsoup_28,0
Jsoup_29,0
Jsoup_30,0
Jsoup_31,0
Jsoup_36,0
Jsoup_42,1
Jsoup_50,0
Jsoup_52,0
Jsoup_56,0
Jsoup_58,0
Jsoup_59,0
Jsoup_60,1
Jsoup_63,0
Jsoup_65,1
Jsoup_66,0
Jsoup_67,1
Jsoup_71,0
Jsoup_73,1
Jsoup_74,1
Jsoup_78,0
Jsoup_79,0
Jsoup_81,1
Jsoup_83,0
Jsoup_87,0
Jsoup_91,0
Jsoup_92,0
JxPath_1,0
JxPath_2,1
JxPath_3,0
JxPath_4,1
JxPath_7,1
JxPath_9,0
JxPath_11,0
JxPath_13,0
JxPath_15,1
JxPath_16,1
JxPath_17,1
JxPath_18,1
JxPath_19,1
JxPath_20,0
Lang_4,1
Lang_5,0
Lang_7,1
Lang_8,1
Lang_13,1
Lang_15,1
Lang_19,0
Lang_20,1
Lang_23,0
Lang_27,1
Lang_30,1
Lang_32,1
Lang_34,1
Lang_35,1
Lang_36,1
Lang_41,1
Lang_46,1
Lang_47,1
Lang_50,1
Lang_56,1
Lang_60,1
Lang_62,0
Lang_63,1
Lang_64,1
Lang_65,0
Math_1,1
Math_4,1
Math_6,1
Math_7,1
Math_12,1
Math_14,1
Math_15,1
Math_16,1
Math_18,1
Math_21,1
Math_22,1
Math_23,1
Math_24,1
Math_26,1
Math_28,1
Math_29,1
Math_31,0
Math_35,1
Math_36,1
Math_37,1
Math_38,1
Math_44,0
Math_46,0
Math_47,1
Math_49,1
Math_52,0
Math_54,1
Math_55,1
Math_61,1
Math_62,1
Math_64,1
Math_65,1
Math_66,0
Math_68,1
Math_72,1
Math_76,1
Math_77,1
Math_78,0
Math_81,1
Math_83,0
Math_84,1
Math_86,1
Math_90,1
Math_92,1
Math_93,1
Math_98,1
Math_99,1
Math_100,1
Math_106,0
Mockito_2,1
Mockito_3,1
Mockito_4,1
Mockito_6,1
Mockito_9,1
Mockito_10,1
Mockito_14,0
Mockito_15,0
Mockito_16,0
Mockito_17,0
Mockito_19,0
Mockito_20,1
Mockito_21,1
Mockito_23,1
Mockito_25,1
Mockito_30,1
Mockito_31,1
Mockito_32,1
Mockito_35,1
Mockito_36,0
Time_1,0
Time_2,0
Time_3,0
Time_6,1
Time_9,1
Time_10,0
Time_12,1
Time_13,1
Time_23,1
Time_26,0
Codec_6,1
Math_71,0
