bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Chart_2,0,2,2,0,0
Chart_4,0,22,22,0,0
Chart_14,1,4,0,4,0
Chart_15,1,1,0,1,0
Chart_16,1,8,0,8,0
Chart_18,1,4,0,4,0
Chart_19,0,2,2,0,0
Chart_21,1,1,0,1,0
Chart_22,1,6,0,6,0
Chart_25,0,4,4,0,0
Cli_1,1,1,0,1,0
Cli_7,1,1,0,1,0
Cli_10,1,1,0,1,0
Cli_13,1,1,0,1,0
Cli_14,1,1,0,1,0
Cli_16,0,3,0,undefined,1
Cli_18,1,1,0,1,0
Cli_21,0,1,1,0,0
Cli_22,1,1,0,1,0
Cli_23,0,2,2,0,0
Cli_26,1,1,0,1,0
Cli_30,1,1,0,1,0
Cli_31,0,1,1,0,0
Cli_33,0,1,1,0,0
Cli_34,1,2,0,2,0
Cli_36,0,1,1,0,0
Cli_39,0,2,2,0,0
Closure_3,0,3,3,0,0
Closure_4,0,3,0,undefined,1
Closure_6,1,3,0,3,0
Closure_9,0,1,1,0,0
Closure_16,0,2,2,0,0
Closure_21,0,1,2,-1,0
Closure_24,0,1,0,undefined,1
Closure_25,1,1,0,1,0
Closure_26,0,7,315,-308,0
Closure_27,1,3,0,3,0
Closure_29,0,5,5,0,0
Closure_30,0,3,3,0,0
Closure_32,0,4,4,0,0
Closure_34,0,1,2,-1,0
Closure_37,0,1,1,0,0
Closure_39,0,2,2,0,0
Closure_41,0,3,0,undefined,1
Closure_43,0,2,2,0,0
Closure_45,0,1,4,-3,0
Closure_47,0,16,16,0,0
Closure_49,0,66,66,0,0
Closure_50,0,2,2,0,0
Closure_51,1,1,0,1,0
Closure_53,1,1,0,1,0
Closure_54,0,3,3,0,0
Closure_60,1,2,0,2,0
Closure_64,0,1,1,0,0
Closure_68,0,1,1,0,0
Closure_72,0,1,1,0,0
Closure_74,0,3,0,undefined,1
Closure_75,0,1,2,-1,0
Closure_76,0,4,1,3,0
Closure_79,0,5,4,1,0
Closure_80,1,2,0,2,0
Closure_84,0,1,1,0,0
Closure_85,0,2,2,0,0
Closure_89,0,8,8,0,0
Closure_90,0,2,2,0,0
Closure_98,1,1,0,1,0
Closure_99,0,3,2,1,0
Closure_100,0,9,9,0,0
Closure_103,0,3,15,-12,0
Closure_105,1,1,0,1,0
Closure_106,0,4,0,undefined,1
Closure_108,0,1,1,0,0
Closure_110,0,2,0,2,0
Closure_115,1,5,0,5,0
Closure_116,0,8,8,0,0
Closure_117,0,1,1,0,0
Closure_134,0,2,0,undefined,1
Closure_135,0,2,2,0,0
Closure_136,0,4,4,0,0
Closure_137,0,5,5,0,0
Closure_138,0,5,5,0,0
Closure_139,0,3,3,0,0
Closure_140,0,1,1,0,0
Closure_141,0,8,3,5,0
Closure_142,0,2,2,0,0
Closure_143,0,3,3,0,0
Closure_144,0,84,84,0,0
Closure_147,0,3,3,0,0
Closure_148,0,6,6,0,0
Closure_149,0,1,1,0,0
Closure_151,0,1,1,0,0
Closure_153,0,2,1,1,0
Closure_154,0,1,1,0,0
Closure_155,0,7,7,0,0
Closure_156,0,2,2,0,0
Closure_157,0,12,24,-12,0
Closure_158,0,2,0,undefined,1
Closure_160,0,1,0,undefined,1
Closure_162,1,1,0,1,0
Closure_163,0,3,0,undefined,1
Closure_164,0,3,2,1,0
Closure_165,0,1,489,-488,0
Closure_167,0,3,3,0,0
Closure_169,0,2,3,-1,0
Closure_171,0,3,3,0,0
Closure_173,0,3,3,0,0
Closure_174,0,3,5,-2,0
Closure_175,0,5,5,0,0
Closure_176,0,1,1,0,0
Codec_1,0,0,5,-5,0
Codec_8,1,1,0,1,0
Codec_11,0,5,0,undefined,1
Codec_12,1,12,0,12,0
Codec_13,1,2,0,2,0
Codec_14,0,1,1,0,0
Collections_25,0,1,1,0,0
Compress_2,0,1,1,0,0
Compress_3,0,1,1,0,0
Compress_4,0,10,10,0,0
Compress_6,1,1,0,1,0
Compress_9,0,1,1,0,0
Compress_10,0,1,1,0,0
Compress_11,1,1,0,1,0
Compress_20,0,1,1,0,0
Compress_22,0,1,1,0,0
Compress_29,0,3,3,0,0
Compress_33,0,1,1,0,0
Compress_34,1,1,0,1,0
Compress_35,1,1,0,1,0
Compress_39,0,1,1,0,0
Compress_40,0,2,2,0,0
Compress_42,0,1,1,0,0
Compress_43,0,1,1,0,0
Compress_47,1,1,0,1,0
Csv_7,1,1,0,1,0
Csv_8,1,1,0,1,0
Csv_13,0,2,2,0,0
Csv_16,1,1,0,1,0
Gson_1,1,1,0,1,0
Gson_3,0,2,2,0,0
Gson_4,0,3,3,0,0
Gson_7,1,3,0,3,0
Gson_8,1,2,0,2,0
Gson_9,0,1,0,undefined,1
Gson_14,1,7,0,7,0
JacksonCore_1,0,1,1,0,0
JacksonCore_2,0,2,2,0,0
JacksonCore_9,0,2,2,0,0
JacksonCore_10,1,4,0,4,0
JacksonCore_12,1,1,0,1,0
JacksonCore_16,1,1,0,1,0
JacksonCore_17,1,1,0,1,0
JacksonCore_18,0,1,1,0,0
JacksonCore_19,0,1,1,0,0
JacksonCore_21,0,3,3,0,0
JacksonCore_22,0,12,12,0,0
JacksonCore_24,1,8,0,8,0
JacksonDatabind_3,1,1,0,1,0
JacksonDatabind_4,0,1,1,0,0
JacksonDatabind_6,1,2,0,2,0
JacksonDatabind_8,1,1,0,1,0
JacksonDatabind_10,0,1,1,0,0
JacksonDatabind_13,1,1,0,1,0
JacksonDatabind_14,1,1,0,1,0
JacksonDatabind_15,0,1,0,undefined,1
JacksonDatabind_18,0,3,5,-2,0
JacksonDatabind_20,1,1,0,1,0
JacksonDatabind_21,0,1,1,0,0
JacksonDatabind_22,1,1,0,1,0
JacksonDatabind_23,1,1,0,1,0
JacksonDatabind_25,0,1,1,0,0
JacksonDatabind_29,1,1,0,1,0
JacksonDatabind_30,0,1,3,-2,0
JacksonDatabind_31,0,1,1,0,0
JacksonDatabind_32,0,1,1,0,0
JacksonDatabind_36,0,1,0,undefined,1
JacksonDatabind_38,0,3,3,0,0
JacksonDatabind_41,1,1,0,1,0
JacksonDatabind_43,1,1,0,1,0
JacksonDatabind_48,0,1,1,0,0
JacksonDatabind_50,0,1,1,0,0
JacksonDatabind_52,1,1,0,1,0
JacksonDatabind_53,1,1,0,1,0
JacksonDatabind_54,0,1,1,0,0
JacksonDatabind_55,0,1,1,0,0
JacksonDatabind_56,1,1,0,1,0
JacksonDatabind_59,0,1,2,-1,0
JacksonDatabind_60,1,2,0,2,0
JacksonDatabind_61,1,1,0,1,0
JacksonDatabind_65,1,1,0,1,0
JacksonDatabind_66,1,1,0,1,0
JacksonDatabind_68,0,2,3,-1,0
JacksonDatabind_69,0,1,2,-1,0
JacksonDatabind_72,0,1,1,0,0
JacksonDatabind_73,0,2,0,undefined,1
JacksonDatabind_75,0,1,1,0,0
JacksonDatabind_77,0,1,1,0,0
JacksonDatabind_78,0,1,1,0,0
JacksonDatabind_79,1,1,0,1,0
JacksonDatabind_80,0,1,1,0,0
JacksonDatabind_81,0,1,1,0,0
JacksonDatabind_87,1,1,0,1,0
JacksonDatabind_90,0,1,0,undefined,1
JacksonDatabind_94,1,1,0,1,0
JacksonDatabind_95,1,1,0,1,0
JacksonDatabind_103,0,1,1,0,0
JacksonDatabind_104,0,2,2,0,0
JacksonDatabind_105,0,1,1,0,0
JacksonDatabind_108,0,1,1,0,0
JacksonDatabind_109,0,1,1,0,0
JacksonDatabind_110,0,1,0,undefined,1
JacksonDatabind_111,1,1,0,1,0
JacksonXml_1,0,3,0,undefined,1
JacksonXml_2,0,1,1,0,0
JacksonXml_6,0,5,1,4,0
Jsoup_3,0,3,3,0,0
Jsoup_4,0,2,2,0,0
Jsoup_7,0,1,1,0,0
Jsoup_11,1,4,0,4,0
Jsoup_12,1,1,0,1,0
Jsoup_14,0,2,41,-39,0
Jsoup_16,0,2,2,0,0
Jsoup_18,0,3,4,-1,0
Jsoup_21,0,2,2,0,0
Jsoup_22,1,3,0,3,0
Jsoup_23,1,1,0,1,0
Jsoup_28,0,6,6,0,0
Jsoup_29,0,1,1,0,0
Jsoup_30,0,1,1,0,0
Jsoup_31,0,1,1,0,0
Jsoup_36,0,6,6,0,0
Jsoup_42,1,2,0,2,0
Jsoup_50,0,1,1,0,0
Jsoup_52,0,7,7,0,0
Jsoup_56,0,1,0,undefined,1
Jsoup_58,1,2,0,2,0
Jsoup_59,0,2,2,0,0
Jsoup_60,1,2,0,2,0
Jsoup_63,0,3,3,0,0
Jsoup_65,0,1,1,0,0
Jsoup_66,0,1,1,0,0
Jsoup_67,0,1,1,0,0
Jsoup_71,0,2,2,0,0
Jsoup_73,1,1,0,1,0
Jsoup_74,1,1,0,1,0
Jsoup_78,0,1,1,0,0
Jsoup_79,0,1,1,0,0
Jsoup_81,0,1,1,0,0
Jsoup_83,0,2,0,undefined,1
Jsoup_87,0,1,0,undefined,1
Jsoup_91,0,3,3,0,0
Jsoup_92,0,3,3,0,0
