bug_id,localization
Math_93,1
Closure_75,0
Chart_25,1
JacksonDatabind_20,0
JacksonCore_10,1
Gson_1,0
Closure_108,0
Closure_68,1
Mockito_21,1
Lang_62,0
Lang_27,1
JacksonCore_21,1
Cli_23,1
Cli_14,0
Time_23,1
Closure_53,1
Closure_99,1
Jsoup_42,1
Lang_65,1
Cli_31,0
Closure_162,0
Jsoup_31,1
Closure_169,0
Math_77,1
Gson_4,0
Closure_143,1
Jsoup_21,0
Jsoup_65,0
Chart_14,1
Time_2,0
Gson_9,0
Math_6,0
Jsoup_22,0
JacksonDatabind_65,0
JacksonDatabind_30,0
Compress_33,1
JacksonCore_18,0
Math_14,1
Codec_13,0
Closure_54,0
Closure_144,0
Mockito_30,1
Closure_135,0
Mockito_17,0
Closure_90,0
Closure_110,0
Closure_167,0
Closure_47,0
Mockito_16,0
Closure_21,1
