bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Math_93,1,1,0,1,0
Closure_75,0,1,2,-1,0
Chart_25,1,4,0,4,0
JacksonDatabind_20,0,1,3,-2,0
JacksonCore_10,1,4,0,4,0
Gson_1,1,1,0,1,0
Closure_108,0,1,1,0,0
Closure_68,1,1,0,1,0
Mockito_21,1,1,0,1,0
Lang_62,1,1,1,0,0
Lang_27,1,1,0,1,0
JacksonCore_21,1,3,0,3,0
Cli_23,1,2,0,2,0
Cli_14,1,1,0,1,0
Time_23,0,1,3,-2,0
Closure_53,1,1,0,1,0
Closure_99,0,3,2,1,0
Jsoup_42,1,2,0,2,0
Lang_65,0,1,1,0,0
Cli_31,1,1,0,1,0
Closure_162,0,1,0,undefined,1
Jsoup_31,0,1,2,-1,0
Closure_169,0,2,2,0,0
Math_77,1,2,0,2,0
Gson_4,0,3,3,0,0
Closure_143,1,3,0,3,0
Jsoup_21,0,2,1,1,0
Jsoup_65,1,1,0,1,0
Chart_14,0,4,1,3,0
Time_2,0,1,4,-3,0
Gson_9,1,1,0,1,0
Math_6,0,26,28,-2,0
Jsoup_22,1,3,0,3,0
JacksonDatabind_65,1,1,0,1,0
JacksonDatabind_30,0,1,3,-2,0
Compress_33,1,1,0,1,0
JacksonCore_18,1,1,0,1,0
Math_14,1,1,0,1,0
Codec_13,1,2,0,2,0
Closure_54,0,3,0,undefined,1
Closure_144,0,84,84,0,0
Mockito_30,1,1,0,1,0
Closure_135,0,2,0,undefined,1
Mockito_17,1,1,0,1,0
Closure_90,0,2,0,undefined,1
Closure_110,0,2,0,2,0
Closure_167,0,3,3,0,0
Closure_47,0,16,34,-18,0
Mockito_16,0,1,0,undefined,1
Closure_21,0,1,2,-1,0
