bug,status,path
Chart_14,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_14,match,source/org/jfree/chart/plot/XYPlot.java
Chart_25,match,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Chart_25,miss,source/org/jfree/data/time/SerialDate.java
Cli_14,miss,src/java/org/apache/commons/cli2/WriteableCommandLine.java
Cli_14,miss,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_14,miss,src/java/org/apache/commons/cli2/option/ArgumentImpl.java
Cli_14,miss,src/java/org/apache/commons/cli2/validation/FileValidator.java
Cli_14,miss,src/test/org/apache/commons/cli2/bug/BugCLI144Test.java
Cli_23,match,src/java/org/apache/commons/cli/HelpFormatter.java
Cli_31,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Closure_108,no_edits,
Closure_110,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_135,miss,src/com/google/javascript/jscomp/FunctionTypeBuilder.java
Closure_135,miss,src/com/google/javascript/jscomp/TypedScopeCreator.java
Closure_143,match,src/com/google/javascript/jscomp/AbstractCommandLineRunner.java
Closure_143,match,src/com/google/javascript/jscomp/RemoveConstantExpressions.java
Closure_144,match,src/com/google/javascript/jscomp/FunctionTypeBuilder.java
Closure_144,match,src/com/google/javascript/jscomp/TypedScopeCreator.java
Closure_162,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_167,miss,src/com/google/javascript/jscomp/TypeCheck.java
Closure_169,match,src/com/google/javascript/rhino/jstype/ArrowType.java
Closure_21,match,src/com/google/javascript/jscomp/CheckSideEffects.java
Closure_47,match,src/com/google/javascript/jscomp/SourceMap.java
Closure_47,miss,src/com/google/debugging/sourcemap/SourceMapGeneratorV3.java
Closure_53,match,src/com/google/javascript/jscomp/InlineObjectLiterals.java
Closure_54,match,src/com/google/javascript/rhino/jstype/FunctionType.java
Closure_68,match,src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java
Closure_75,miss,src/com/google/javascript/jscomp/PeepholeFoldConstants.java
Closure_90,match,src/com/google/javascript/jscomp/FunctionTypeBuilder.java
Closure_99,match,src/com/google/javascript/jscomp/CheckGlobalThis.java
Codec_13,match,src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java
Compress_33,match,src/main/java/org/apache/commons/compress/compressors/CompressorStreamFactory.java
Compress_33,match,src/main/java/org/apache/commons/compress/compressors/deflate/DeflateCompressorInputStream.java
Gson_1,no_edits,
Gson_4,no_edits,
Gson_9,no_edits,
JacksonCore_10,match,src/main/java/com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java
JacksonCore_10,miss,src/test/java/com/fasterxml/jackson/core/sym/TestSymbolTables.java
JacksonCore_18,match,src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java
JacksonCore_18,match,src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java
JacksonCore_21,match,src/main/java/com/fasterxml/jackson/core/filter/FilteringParserDelegate.java
JacksonDatabind_20,miss,src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertiesCollector.java
JacksonDatabind_20,miss,src/main/java/com/fasterxml/jackson/databind/introspect/POJOPropertyBuilder.java
