bug,num_expected,correct_edits,ote,missed_edits
Chart_14,2,2,0,0
Chart_25,1,1,1,0
Cli_14,1,0,5,1
Cli_23,1,1,0,0
Cli_31,3,1,0,2
Closure_108,1,0,0,1
Closure_110,2,1,0,1
Closure_135,2,0,2,2
Closure_143,2,2,0,0
Closure_144,4,2,0,2
Closure_162,2,1,0,1
Closure_167,2,0,1,2
Closure_169,6,1,0,5
Closure_21,1,1,0,0
Closure_47,2,1,1,1
Closure_53,1,1,0,0
Closure_54,2,1,0,1
Closure_68,1,1,0,0
Closure_75,1,0,1,1
Closure_90,2,1,0,1
Closure_99,1,1,0,0
Codec_13,3,1,0,2
Compress_33,2,2,0,0
Gson_1,1,0,0,1
Gson_4,2,0,0,2
Gson_9,3,0,0,3
JacksonCore_10,1,1,1,0
JacksonCore_18,3,2,0,1
JacksonCore_21,1,1,0,0
JacksonDatabind_20,1,0,3,1
JacksonDatabind_30,2,0,3,2
JacksonDatabind_65,2,1,0,1
Jsoup_21,2,1,0,1
Jsoup_22,3,2,0,1
Jsoup_31,3,3,3,0
Jsoup_42,1,1,0,0
Jsoup_65,2,1,0,1
Lang_27,1,1,0,0
Lang_62,1,0,0,1
Lang_65,1,1,0,0
Math_14,2,2,0,0
Math_6,7,0,1,7
Math_77,2,2,0,0
Math_93,1,1,0,0
Mockito_16,2,1,5,1
Mockito_17,2,1,0,1
Mockito_21,1,1,0,0
Mockito_30,2,2,0,0
Time_2,2,1,0,1
Time_23,1,1,0,0
