bug,pass,test_fail,compile_fail,failed_tests
Math-93,Yes,No,No,
Closure-75,No,Yes,No,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIEString; com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIEString
Chart-25,Yes,No,No,
JacksonDatabind-20,No,Yes,No,com.fasterxml.jackson.databind.failing.TestPropertyNamingStrategyIssue20::reproducer; com.fasterxml.jackson.databind.failing.TestPropertyNamingStrategyIssue20::reproducer; com.fasterxml.jackson.databind.introspect.TestNamingStrategyStd::testNamingWithObjectNode
JacksonCore-10,Yes,No,No,
Gson-1,Yes,No,No,
Closure-108,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testIssue1144
Closure-68,Yes,No,No,
Mockito-21,Yes,No,No,
Lang-62,Yes,No,No,Closure-21,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode; com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCodeInFor
Lang-27,Yes,No,No,
JacksonCore-21,Yes,No,No,
Cli-23,Yes,No,No,
Cli-14,Yes,No,No,
Time-23,No,Yes,No,org.joda.time.TestDateTimeZone::testForID_String_old; org.joda.time.TestMonthDay_Properties::testPropertyGetMonthOfYear; org.joda.time.convert.TestCalendarConverter::testGetChronology_Object_nullChronology
Closure-53,Yes,No,No,
Closure-99,No,Yes,No,com.google.javascript.jscomp.CheckGlobalThisTest::testPropertyOfMethod; com.google.javascript.jscomp.CheckGlobalThisTest::testMethod4
Jsoup-42,Yes,No,No,
Lang-65,No,Yes,No,org.apache.commons.lang.time.DateUtilsTest::testTruncateLang59
Cli-31,Yes,No,No,
Closure-162,No,No,Yes,
Jsoup-31,No,Yes,No,org.jsoup.parser.HtmlParserTest::handlesXmlDeclarationAsBogusComment; org.jsoup.parser.XmlTreeBuilderTest::handlesXmlDeclarationAsDeclaration
