bug_id,total_input_token,total_output_token,time_duration
Chart-14,1712426,5413,414340
Chart-25,1606897,7152,134908
Cli-14,1506235,5948,201557
Cli-23,712697,2693,100318
Cli-31,1794077,4372,173677
Closure-108,171284,2941,292135
Closure-110,5091487,24534,704181
Closure-135,23368284,21433,956187
Closure-143,2883268,2931,146179
Closure-144,23525222,31796,978995
Closure-162,6293496,88559,739597
Closure-167,22927749,12245,400961
Closure-169,18108019,8621,772600
Closure-21,7663270,15520,757086
Closure-47,26707272,14421,713364
Closure-53,441607,2105,60204
Closure-54,7846722,12382,743019
Closure-68,11484342,3974,761919
Closure-75,20574367,27575,1498616
Closure-90,23830072,20146,623604
Closure-99,12382398,38824,851429
Codec-13,313320,1060,45238
Compress-33,2176324,5387,149077
Gson-1,2823183,5527,162969
Gson-4,25911589,24094,1373933
Gson-9,572752,2128,77878
JacksonCore-10,3555789,14220,339380
JacksonCore-18,4892381,10121,317456
JacksonCore-21,401087,1624,68577
JacksonDatabind-20,18546010,50368,1699607
JacksonDatabind-30,24852205,32303,1100029
JacksonDatabind-65,478475,1055,42728
Jsoup-21,4015055,8254,265623
Jsoup-22,975095,2604,81577
Jsoup-31,13881280,30182,1802686
Jsoup-42,342521,1766,48464
Jsoup-65,3687088,8807,287679
Lang-27,526240,1167,52959
Lang-62,636081,4451,99466
Lang-65,11697634,74287,1741731
Math-14,540809,1919,77097
Math-6,25518668,17011,973102
Math-77,190214,1213,35380
Math-93,832406,2188,76545
Mockito-16,19776886,35485,981598
Mockito-17,572104,1266,63032
Mockito-21,401807,2115,71063
Mockito-30,383025,1493,55155
Time-23,22831540,20176,1300663
Time-2,3423479,34408,387598
