window_size,tool_sequence,frequency
3,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,51
3,read_file -> replace -> run_shell_command_defects4j_compile,32
3,replace -> replace -> run_shell_command_defects4j_compile,27
3,read_file -> run_shell_command_test_scripts -> read_file,26
3,replace -> replace -> replace,21
3,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,17
3,read_file -> read_file -> replace,16
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,15
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,14
3,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile,13
3,read_file -> replace -> replace,13
3,run_shell_command_defects4j_test -> replace -> replace,13
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git,12
3,read_file -> read_file -> read_file,12
3,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,11
3,run_shell_command_defects4j_test -> read_file -> replace,10
3,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_git,9
3,read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,8
3,read_file -> maple_find_class -> read_file,8
3,read_file -> replace -> run_shell_command_defects4j_test,8
3,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test,8
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,7
3,replace -> run_shell_command_defects4j_test -> replace,7
3,run_shell_command_test_scripts -> read_file -> replace,7
3,maple_find_class -> read_file -> replace,6
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file,6
3,list_directory -> list_directory -> list_directory,6
3,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile,5
3,read_file -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,5
3,run_shell_command_test_scripts -> read_file -> read_file,5
3,run_shell_command_defects4j_test -> maple_find_class -> read_file,4
3,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test,4
3,maple_find_method_in_class -> replace -> run_shell_command_defects4j_compile,4
3,maple_find_method_in_class -> maple_find_method_in_class -> maple_find_method_in_class,4
3,read_file -> maple_find_method -> maple_find_method,4
3,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> read_file,4
3,maple_find_class -> read_file -> maple_find_class,4
3,maple_find_class -> glob -> read_file,3
3,maple_find_class -> maple_find_method_in_class -> replace,3
3,run_shell_command_defects4j_test -> maple_find_class -> maple_find_method_in_class,3
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class,3
3,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file,3
3,read_file -> run_shell_command_defects4j_test -> maple_find_class,3
3,maple_find_method_in_class -> read_file -> replace,3
3,replace -> run_shell_command_test_scripts -> read_file,3
3,run_shell_command_test_scripts -> read_file -> maple_find_class,3
3,read_file -> maple_find_method_in_class -> maple_find_method_in_class,3
3,maple_find_method -> read_file -> read_file,3
3,maple_find_method_in_class -> maple_find_class -> read_file,3
3,glob -> maple_find_method_in_file -> read_file,3
3,maple_find_class -> read_file -> read_file,3
3,run_shell_command_defects4j_test -> run_shell_command_git -> read_file,3
3,run_shell_command_test_scripts -> read_file -> list_directory,3
3,maple_find_method -> maple_find_method -> maple_find_method,3
3,maple_find_method -> maple_find_method -> replace,3
3,replace -> read_file -> replace,3
3,run_shell_command_build_exec -> read_file -> replace,3
3,replace -> run_shell_command_defects4j_compile -> run_shell_command_build_exec,3
3,run_shell_command_test_scripts -> read_file -> glob,3
3,read_file -> run_shell_command_defects4j_test -> read_file,3
3,replace -> replace -> run_shell_command_defects4j_test,3
3,replace -> run_shell_command_defects4j_test -> read_file,3
3,run_shell_command_defects4j_test -> maple_find_class -> glob,2
3,maple_find_class -> read_file -> maple_find_method,2
3,read_file -> maple_find_method -> read_file,2
3,maple_find_method -> read_file -> replace,2
3,replace -> run_shell_command_defects4j_compile -> replace,2
3,read_file -> maple_find_class -> maple_find_method_in_class,2
3,run_shell_command_defects4j_test -> run_shell_command_git -> replace,2
3,maple_find_method_in_class -> maple_find_method_in_class -> read_file,2
3,read_file -> replace -> run_shell_command_test_scripts,2
3,maple_find_class -> maple_find_method_in_class -> maple_find_code_in_file,2
3,maple_find_class -> maple_find_code_in_file -> read_file,2
3,read_file -> maple_find_method_in_class -> read_file,2
3,run_shell_command_test_scripts -> read_file -> run_shell_command_git,2
3,run_shell_command_test_scripts -> read_file -> maple_find_method,2
3,read_file -> run_shell_command_defects4j_test -> run_shell_command_git,2
3,read_file -> read_file -> run_shell_command_defects4j_test,2
3,run_shell_command_test_scripts -> read_file -> maple_find_method_in_class,2
3,maple_find_method_in_class -> maple_find_method_in_class -> maple_find_class,2
3,run_shell_command_defects4j_test -> maple_find_method_in_class -> glob,2
3,maple_find_method_in_class -> glob -> maple_find_method_in_file,2
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> glob,2
3,run_shell_command_defects4j_test -> read_file -> read_file,2
3,read_file -> read_file -> maple_find_method,2
