window_size,tool_sequence,frequency
3,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,257
3,replace -> replace -> replace,233
3,replace -> replace -> run_shell_command_defects4j_compile,172
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,167
3,run_shell_command_defects4j_test -> replace -> replace,99
3,read_file -> replace -> replace,97
3,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile,86
3,read_file -> replace -> run_shell_command_defects4j_compile,68
3,replace -> read_file -> replace,61
3,replace -> run_shell_command_defects4j_compile -> replace,58
3,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,42
3,replace -> run_shell_command_defects4j_test -> replace,41
3,run_shell_command_test_scripts -> read_file -> replace,40
3,read_file -> replace -> read_file,37
3,read_file -> read_file -> read_file,36
3,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,35
3,run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile,33
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file,31
3,replace -> replace -> run_shell_command_defects4j_test,30
3,run_shell_command_defects4j_test -> read_file -> replace,26
3,replace -> replace -> read_file,24
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_file_ops,24
3,run_shell_command_defects4j_test -> run_shell_command_file_ops -> read_file,23
3,run_shell_command_file_ops -> read_file -> replace,23
3,read_file -> read_file -> replace,22
3,read_file -> run_shell_command_test_scripts -> read_file,22
3,run_shell_command_defects4j_compile -> replace -> replace,21
3,read_file -> maple_find_class -> read_file,15
3,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test,14
3,read_file -> glob -> read_file,13
3,read_file -> replace -> run_shell_command_defects4j_test,13
3,replace -> run_shell_command_defects4j_compile -> read_file,12
3,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file,12
3,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile,12
3,maple_find_class -> read_file -> replace,12
3,run_shell_command_defects4j_test -> run_shell_command_git -> replace,12
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git,11
3,run_shell_command_defects4j_compile -> run_shell_command_git -> write_file,10
3,read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,9
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,9
3,run_shell_command_defects4j_test -> replace -> read_file,9
3,run_shell_command_git -> write_file -> run_shell_command_defects4j_compile,9
3,maple_find_class -> glob -> read_file,8
3,write_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,8
3,run_shell_command_git -> replace -> run_shell_command_defects4j_compile,8
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,8
3,run_shell_command_defects4j_compile -> read_file -> replace,7
3,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test,7
3,glob -> read_file -> read_file,7
3,maple_find_class -> read_file -> maple_find_class,7
3,run_shell_command_defects4j_test -> read_file -> read_file,7
3,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class,7
3,glob -> read_file -> replace,7
