window_size,tool_sequence,frequency
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile,87
5,replace -> replace -> replace -> replace -> replace,85
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,78
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> replace,77
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,76
5,replace -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,74
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,61
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_compile,41
5,read_file -> replace -> replace -> replace -> run_shell_command_defects4j_compile,37
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> replace,35
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> replace -> replace,35
5,replace -> replace -> replace -> replace -> run_shell_command_defects4j_compile,34
5,run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,31
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,27
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> replace,26
5,read_file -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,24
5,replace -> read_file -> replace -> read_file -> replace,23
5,run_shell_command_defects4j_test -> replace -> replace -> replace -> run_shell_command_defects4j_compile,23
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_file_ops -> read_file,23
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_file_ops -> read_file -> replace,23
5,run_shell_command_defects4j_test -> run_shell_command_file_ops -> read_file -> replace -> replace,23
5,replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,21
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,20
5,run_shell_command_file_ops -> read_file -> replace -> replace -> replace,20
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_file_ops,20
5,read_file -> replace -> read_file -> replace -> read_file,18
5,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> replace -> run_shell_command_defects4j_compile,18
5,run_shell_command_test_scripts -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,18
5,replace -> replace -> run_shell_command_defects4j_test -> replace -> replace,18
5,read_file -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,17
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,17
5,replace -> run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_test,17
5,run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,15
5,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> replace -> replace,15
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file,15
5,read_file -> replace -> replace -> replace -> replace,14
5,replace -> replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile,14
5,run_shell_command_defects4j_test -> replace -> replace -> replace -> replace,14
5,run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_test -> replace,14
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git -> replace,13
5,replace -> replace -> replace -> run_shell_command_defects4j_compile -> replace,13
5,replace -> run_shell_command_defects4j_compile -> replace -> replace -> replace,13
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file,13
5,run_shell_command_test_scripts -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,12
5,read_file -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,12
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> replace -> replace,12
5,read_file -> replace -> read_file -> replace -> replace,12
5,replace -> replace -> run_shell_command_defects4j_compile -> replace -> replace,11
5,replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> replace,11
5,replace -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,11
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> replace,10
5,replace -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,10
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> replace -> run_shell_command_defects4j_compile,10
5,replace -> replace -> read_file -> replace -> replace,10
5,replace -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test -> replace,10
5,read_file -> read_file -> read_file -> replace -> run_shell_command_defects4j_compile,10
5,run_shell_command_defects4j_test -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,10
5,replace -> run_shell_command_defects4j_test -> replace -> replace -> replace,9
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file,9
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,9
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> read_file,9
5,replace -> read_file -> replace -> replace -> replace,9
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git,9
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_git,8
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> read_file -> replace,8
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git -> replace -> run_shell_command_defects4j_compile,8
5,read_file -> read_file -> read_file -> replace -> replace,8
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test -> replace -> replace,7
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile,7
5,read_file -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,7
5,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,7
5,run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_compile -> replace,7
5,replace -> replace -> replace -> read_file -> replace,7
5,read_file -> read_file -> replace -> replace -> replace,7
5,run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile,7
5,read_file -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,7
5,run_shell_command_defects4j_test -> run_shell_command_git -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,7
5,run_shell_command_test_scripts -> read_file -> replace -> replace -> replace,7
5,replace -> replace -> replace -> run_shell_command_defects4j_test -> replace,7
5,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,6
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file -> replace,6
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git,6
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file,6
5,replace -> run_shell_command_defects4j_compile -> read_file -> replace -> run_shell_command_defects4j_compile,6
5,replace -> run_shell_command_defects4j_compile -> replace -> replace -> run_shell_command_defects4j_compile,6
5,run_shell_command_defects4j_compile -> replace -> replace -> replace -> run_shell_command_defects4j_compile,6
5,run_shell_command_defects4j_compile -> replace -> replace -> replace -> replace,6
5,read_file -> maple_find_class -> read_file -> maple_find_class -> read_file,6
5,read_file -> replace -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test,6
5,run_shell_command_git -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git,6
5,read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,6
5,run_shell_command_git -> replace -> replace -> replace -> replace,6
5,read_file -> read_file -> read_file -> read_file -> replace,6
5,run_shell_command_git -> write_file -> run_shell_command_defects4j_compile -> run_shell_command_git -> write_file,6
5,read_file -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test,5
5,run_shell_command_test_scripts -> read_file -> read_file -> read_file -> replace,5
5,read_file -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,5
5,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> read_file -> read_file,5
5,run_shell_command_defects4j_compile -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,5
5,maple_find_class -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,5
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> read_file,5
5,run_shell_command_defects4j_compile -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,5
5,read_file -> glob -> read_file -> glob -> read_file,5
5,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class,5
5,read_file -> replace -> replace -> read_file -> replace,5
5,replace -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,5
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test,5
5,run_shell_command_defects4j_test -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,5
5,replace -> run_shell_command_defects4j_test -> read_file -> replace -> run_shell_command_defects4j_test,5
5,run_shell_command_defects4j_test -> replace -> replace -> replace -> run_shell_command_defects4j_test,5
5,run_shell_command_defects4j_test -> read_file -> replace -> replace -> replace,5
5,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file -> replace -> replace,5
5,replace -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_git,5
5,replace -> replace -> read_file -> replace -> read_file,5
5,read_file -> replace -> read_file -> replace -> run_shell_command_defects4j_compile,4
5,read_file -> replace -> run_shell_command_defects4j_test -> replace -> replace,4
5,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file -> replace -> run_shell_command_defects4j_compile,4
5,read_file -> maple_find_class -> read_file -> replace -> run_shell_command_defects4j_compile,4
5,read_file -> replace -> run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile,4
5,run_shell_command_defects4j_test -> replace -> read_file -> replace -> run_shell_command_defects4j_compile,4
5,read_file -> replace -> replace -> run_shell_command_defects4j_compile -> replace,4
5,maple_find_class -> read_file -> maple_find_class -> read_file -> replace,4
5,read_file -> replace -> run_shell_command_defects4j_compile -> replace -> replace,4
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class,4
5,read_file -> maple_find_class -> read_file -> replace -> replace,4
5,maple_find_class -> read_file -> maple_find_class -> read_file -> maple_find_class,4
5,glob -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,4
5,replace -> replace -> run_shell_command_defects4j_compile -> read_file -> replace,4
5,run_shell_command_defects4j_test -> read_file -> read_file -> read_file -> replace,4
5,replace -> replace -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_test,4
5,maple_find_method -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,4
5,run_shell_command_defects4j_test -> replace -> replace -> read_file -> replace,4
5,replace -> replace -> replace -> run_shell_command_defects4j_compile -> read_file,4
5,run_shell_command_defects4j_test -> read_file -> replace -> read_file -> replace,4
5,read_file -> read_file -> read_file -> read_file -> read_file,4
5,replace -> replace -> replace -> replace -> read_file,4
5,replace -> replace -> read_file -> replace -> run_shell_command_defects4j_compile,4
5,list_directory -> list_directory -> list_directory -> list_directory -> list_directory,4
5,maple_find_class -> maple_find_method_in_class -> maple_find_class -> maple_find_method_in_class -> maple_find_class,4
5,maple_find_method_in_class -> maple_find_class -> maple_find_method_in_class -> maple_find_class -> maple_find_method_in_class,4
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_git -> write_file,4
5,run_shell_command_defects4j_compile -> run_shell_command_git -> write_file -> run_shell_command_defects4j_compile -> run_shell_command_git,4
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_file_ops,4
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> read_file -> replace,3
5,maple_find_class -> read_file -> replace -> replace -> replace,3
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,3
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> glob -> read_file,3
5,run_shell_command_defects4j_test -> maple_find_class -> glob -> read_file -> maple_find_class,3
5,maple_find_class -> glob -> read_file -> maple_find_class -> read_file,3
5,maple_find_class -> maple_find_method_in_class -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> maple_find_method_in_class,3
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,3
5,maple_find_method_in_class -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,3
5,read_file -> run_shell_command_test_scripts -> read_file -> read_file -> read_file,3
5,glob -> read_file -> read_file -> read_file -> read_file,3
5,maple_find_class -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,3
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> read_file -> maple_find_class,3
5,run_shell_command_defects4j_test -> maple_find_class -> read_file -> maple_find_class -> read_file,3
5,run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> replace -> replace,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test,3
5,replace -> run_shell_command_defects4j_compile -> replace -> replace -> read_file,3
5,run_shell_command_defects4j_compile -> replace -> replace -> read_file -> replace,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> read_file,3
5,glob -> read_file -> glob -> read_file -> glob,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> read_file,3
5,read_file -> read_file -> replace -> run_shell_command_defects4j_test -> replace,3
5,read_file -> run_shell_command_test_scripts -> read_file -> glob -> run_shell_command_defects4j_compile,3
5,run_shell_command_test_scripts -> read_file -> glob -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,3
5,read_file -> glob -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,3
5,read_file -> glob -> read_file -> replace -> run_shell_command_defects4j_compile,3
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> replace -> read_file,3
5,glob -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,3
5,replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,3
5,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> read_file -> read_file -> read_file,3
5,read_file -> read_file -> replace -> replace -> run_shell_command_defects4j_compile,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git -> read_file,3
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> replace -> replace,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_build_exec -> read_file -> replace,3
5,read_file -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test -> read_file,3
5,read_file -> run_shell_command_git -> replace -> replace -> replace,3
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_git -> replace -> replace,3
5,run_shell_command_defects4j_test -> run_shell_command_git -> replace -> replace -> replace,3
5,replace -> run_shell_command_defects4j_compile -> read_file -> read_file -> read_file,3
5,run_shell_command_defects4j_compile -> read_file -> read_file -> read_file -> replace,3
5,run_shell_command_defects4j_test -> maple_extract_class_skeleton -> glob -> maple_extract_class_skeleton -> read_file,3
5,maple_extract_class_skeleton -> glob -> maple_extract_class_skeleton -> read_file -> run_shell_command_defects4j_test,3
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> replace -> read_file,3
5,read_file -> read_file -> read_file -> replace -> run_shell_command_defects4j_test,3
5,write_file -> replace -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,3
5,read_file -> replace -> run_shell_command_defects4j_test -> read_file -> replace,3
5,run_shell_command_defects4j_test -> read_file -> replace -> replace -> read_file,3
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_git -> write_file -> run_shell_command_defects4j_compile,3
5,run_shell_command_defects4j_compile -> run_shell_command_git -> write_file -> run_shell_command_git -> write_file,3
5,run_shell_command_git -> write_file -> run_shell_command_git -> write_file -> run_shell_command_defects4j_compile,3
5,run_shell_command_git -> write_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace,3
5,write_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> replace,3
5,write_file -> run_shell_command_defects4j_compile -> run_shell_command_git -> write_file -> run_shell_command_defects4j_compile,3
5,replace -> maple_find_method_in_file -> replace -> maple_find_method_in_file -> replace,2
5,read_file -> read_file -> replace -> read_file -> replace,2
5,replace -> read_file -> replace -> run_shell_command_defects4j_compile -> read_file,2
5,read_file -> replace -> run_shell_command_defects4j_compile -> read_file -> replace,2
5,read_file -> replace -> read_file -> read_file -> read_file,2
5,run_shell_command_defects4j_test -> maple_find_class -> read_file -> replace -> replace,2
5,glob -> read_file -> maple_find_class -> read_file -> maple_find_method,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> maple_find_method_in_class -> read_file,2
5,maple_find_method_in_class -> maple_find_method_in_class -> maple_find_method_in_class -> maple_find_method_in_class -> replace,2
5,maple_find_method_in_class -> maple_find_method_in_class -> maple_find_method_in_class -> replace -> replace,2
5,maple_find_method_in_class -> maple_find_method_in_class -> replace -> replace -> replace,2
5,run_shell_command_test_scripts -> read_file -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,2
5,read_file -> read_file -> replace -> run_shell_command_test_scripts -> read_file,2
5,maple_find_code_in_file -> read_file -> read_file -> maple_find_method_in_class -> maple_find_method_in_class,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> maple_find_class,2
5,read_file -> run_shell_command_test_scripts -> read_file -> list_directory -> run_shell_command_defects4j_compile,2
5,run_shell_command_test_scripts -> read_file -> list_directory -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,2
5,read_file -> list_directory -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file,2
5,list_directory -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> read_file,2
5,read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> glob,2
5,glob -> read_file -> maple_find_class -> read_file -> replace,2
5,maple_find_class -> read_file -> replace -> run_shell_command_defects4j_compile -> replace,2
5,maple_find_code -> glob -> read_file -> read_file -> read_file,2
5,read_file -> read_file -> read_file -> read_file -> glob,2
5,read_file -> read_file -> read_file -> glob -> read_file,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file,2
5,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> read_file -> replace,2
5,run_shell_command_test_scripts -> read_file -> replace -> run_shell_command_defects4j_compile -> replace,2
5,run_shell_command_defects4j_compile -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,2
5,run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class,2
5,maple_find_method -> read_file -> read_file -> replace -> run_shell_command_defects4j_compile,2
5,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test -> run_shell_command_git,2
5,glob -> read_file -> glob -> read_file -> maple_find_code_in_file,2
5,read_file -> glob -> read_file -> maple_find_code_in_file -> replace,2
5,glob -> read_file -> maple_find_code_in_file -> replace -> replace,2
5,read_file -> replace -> replace -> replace -> read_file,2
5,replace -> read_file -> replace -> replace -> read_file,2
5,replace -> replace -> maple_find_method_in_class -> replace -> run_shell_command_defects4j_compile,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class -> glob,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class -> glob -> read_file,2
5,replace -> replace -> replace -> replace -> run_shell_command_defects4j_test,2
5,run_shell_command_defects4j_test -> glob -> read_file -> replace -> replace,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile -> read_file,2
5,replace -> run_shell_command_defects4j_compile -> read_file -> write_file -> run_shell_command_defects4j_compile,2
5,run_shell_command_defects4j_compile -> read_file -> write_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,2
5,run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_compile -> read_file,2
5,replace -> replace -> run_shell_command_defects4j_compile -> read_file -> write_file,2
5,run_shell_command_test_scripts -> read_file -> replace -> replace -> read_file,2
5,read_file -> read_file -> maple_find_class -> read_file -> maple_find_class,2
5,read_file -> maple_find_class -> read_file -> replace -> run_shell_command_defects4j_test,2
5,maple_find_class -> read_file -> replace -> run_shell_command_defects4j_test -> replace,2
5,run_shell_command_defects4j_test -> replace -> replace -> run_shell_command_defects4j_test -> search_file_content,2
5,maple_find_class -> glob -> read_file -> read_file -> replace,2
5,search_file_content -> read_file -> replace -> run_shell_command_defects4j_test -> replace,2
5,maple_find_method_in_class -> read_file -> maple_find_method_in_class -> read_file -> replace,2
5,read_file -> maple_find_method_in_class -> read_file -> replace -> run_shell_command_defects4j_compile,2
5,read_file -> glob -> read_file -> replace -> replace,2
5,read_file -> maple_find_method_in_class -> maple_find_method_in_class -> maple_find_class -> read_file,2
5,maple_find_method_in_class -> maple_find_method_in_class -> maple_find_class -> read_file -> replace,2
5,maple_find_method_in_class -> maple_find_class -> read_file -> replace -> run_shell_command_defects4j_compile,2
5,read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_class -> maple_find_class,2
5,search_file_content -> read_file -> search_file_content -> read_file -> maple_find_class,2
5,read_file -> search_file_content -> read_file -> maple_find_class -> read_file,2
5,search_file_content -> read_file -> maple_find_class -> read_file -> replace,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> read_file -> run_shell_command_git,2
5,read_file -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class -> glob,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> maple_find_method_in_class -> glob -> maple_find_method_in_file,2
5,run_shell_command_defects4j_test -> maple_find_method_in_class -> glob -> maple_find_method_in_file -> read_file,2
5,run_shell_command_defects4j_test -> search_file_content -> search_file_content -> search_file_content -> read_file,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> read_file,2
5,run_shell_command_defects4j_test -> replace -> replace -> replace -> read_file,2
5,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test -> maple_find_class,2
5,run_shell_command_test_scripts -> read_file -> run_shell_command_defects4j_test -> maple_find_class -> glob,2
5,read_file -> run_shell_command_defects4j_test -> maple_find_class -> glob -> read_file,2
5,search_file_content -> search_file_content -> search_file_content -> read_file -> replace,2
5,read_file -> replace -> replace -> replace -> run_shell_command_defects4j_test,2
5,replace -> read_file -> replace -> run_shell_command_defects4j_test -> replace,2
5,replace -> replace -> run_shell_command_defects4j_test -> read_file -> replace,2
5,replace -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> replace,2
5,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> replace -> run_shell_command_defects4j_compile,2
