bug,glob,google_web_search,list_directory,maple_extract_class_skeleton,maple_find_class,maple_find_class_in_file,maple_find_code,maple_find_code_in_file,maple_find_method,maple_find_method_in_class,maple_find_method_in_file,read_file,read_many_files,replace,run_shell_command,search_file_content,write_file
Chart-14,0,0,0,0,0,0,0,0,0,0,3,16,0,10,10,0,0
Chart-25,1,0,0,0,3,0,0,0,1,0,0,6,0,14,15,0,0
Cli-14,2,0,0,0,5,0,0,0,0,10,0,3,1,12,14,0,1
Cli-23,1,0,0,1,1,2,0,0,0,4,0,6,0,2,10,0,0
Cli-31,0,0,0,0,3,0,0,4,0,5,0,17,0,6,15,0,0
Closure-108,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0
Closure-110,1,0,0,0,2,0,0,0,0,0,0,9,0,17,33,0,0
Closure-135,2,0,0,0,6,0,1,1,2,1,3,15,0,42,44,0,0
Closure-143,0,0,0,0,1,0,0,0,3,0,0,11,0,3,11,0,0
Closure-144,10,0,0,0,0,0,1,6,1,6,0,18,0,71,23,0,0
Closure-162,1,0,0,0,2,0,0,0,0,0,0,6,0,33,38,0,4
Closure-167,1,0,0,0,2,0,0,0,0,1,0,20,0,23,24,0,0
Closure-169,2,0,0,0,9,0,1,0,0,1,0,17,0,25,18,2,0
Closure-21,3,0,0,0,0,0,0,0,1,2,1,16,0,23,48,0,0
Closure-47,3,0,0,0,0,0,0,0,0,0,0,32,0,48,45,1,0
Closure-53,0,0,0,0,1,0,0,0,0,2,0,6,0,1,8,0,1
Closure-54,2,0,0,0,7,0,0,0,0,0,0,12,0,21,36,2,0
Closure-68,2,0,0,0,2,0,0,0,0,1,1,14,0,10,17,4,0
Closure-75,1,0,0,0,1,0,0,0,1,1,0,6,0,62,63,0,0
Closure-90,2,0,0,0,1,0,0,0,0,0,0,16,0,43,25,10,0
Closure-99,1,0,0,0,1,0,0,0,0,0,0,11,0,80,98,0,0
Codec-13,0,0,1,0,0,0,0,0,3,0,0,5,0,1,7,0,0
Compress-33,4,1,0,0,3,0,0,0,1,1,0,11,0,5,17,1,0
Gson-1,1,0,0,0,4,0,1,0,0,3,0,11,0,10,18,0,0
Gson-4,0,0,0,0,0,0,2,0,6,0,0,26,0,87,43,2,0
Gson-9,1,0,0,0,1,0,0,0,0,1,2,4,0,5,12,0,0
JacksonCore-10,0,3,0,0,0,0,2,0,6,0,0,15,0,14,36,0,1
JacksonCore-18,0,0,0,1,3,0,0,0,1,0,1,20,0,12,21,0,0
JacksonCore-21,1,0,0,2,1,0,0,0,0,0,0,5,0,1,8,0,0
JacksonDatabind-20,1,0,0,0,1,0,2,0,0,0,0,29,0,46,25,0,1
JacksonDatabind-30,0,0,0,1,1,0,3,0,0,0,0,33,0,54,35,9,1
JacksonDatabind-65,1,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,0
Jsoup-21,0,0,0,0,0,0,0,0,0,0,0,15,0,18,31,3,0
Jsoup-22,0,0,0,0,0,0,0,0,0,0,0,5,0,11,8,0,0
Jsoup-31,1,0,0,0,0,0,0,0,0,2,0,26,0,55,41,0,1
Jsoup-42,1,0,0,2,0,0,0,0,0,0,0,4,0,1,9,0,0
Jsoup-65,4,0,0,0,0,0,0,0,0,1,1,8,0,19,24,0,0
Lang-27,1,0,0,0,0,0,0,1,1,0,0,4,0,1,9,0,0
Lang-62,0,0,8,0,1,0,0,1,0,1,0,4,0,2,9,0,0
Lang-65,1,0,0,0,1,0,0,0,0,1,3,5,0,31,35,0,3
Math-14,0,0,1,0,0,0,0,0,1,0,2,8,0,2,7,0,0
Math-6,1,0,0,0,7,0,0,0,0,8,0,37,0,63,30,0,0
Math-77,0,0,0,0,3,0,0,0,0,0,3,2,0,2,6,0,0
Math-93,1,0,0,0,2,0,0,0,0,0,0,4,0,6,7,0,0
Mockito-16,4,0,0,2,2,0,2,0,1,6,0,10,0,51,68,0,15
Mockito-17,1,0,0,0,1,0,1,0,0,1,0,6,0,2,8,0,0
Mockito-21,0,0,0,0,1,0,0,0,0,0,0,8,0,4,8,0,0
Mockito-30,0,0,0,0,3,0,0,0,0,0,0,5,0,2,9,0,0
Time-2,0,0,2,0,5,0,2,1,0,4,0,15,0,15,12,1,0
Time-23,1,0,0,0,3,0,0,2,1,9,0,31,0,83,95,1,0
