bug,function_name,count,command
Chart-14,maple_find_method_in_file,3,
Chart-14,read_file,16,
Chart-14,replace,10,
Chart-14,run_shell_command,1,./run_all_tests_trace.sh
Chart-14,run_shell_command,2,./run_bug_exposing_tests.sh
Chart-14,run_shell_command,4,defects4j compile
Chart-14,run_shell_command,1,defects4j test
Chart-14,run_shell_command,1,defects4j test -t org.jfree.data.time.junit.MonthTests::testParseMonth
Chart-14,run_shell_command,1,git diff > /Users/danielding/Desktop/example_dir/Chart_14/fix.patch
Chart-25,glob,1,
Chart-25,maple_find_class,3,
Chart-25,maple_find_method,1,
Chart-25,read_file,6,
Chart-25,replace,14,
Chart-25,run_shell_command,1,./run_bug_exposing_tests.sh
Chart-25,run_shell_command,6,defects4j compile
Chart-25,run_shell_command,5,defects4j test
Chart-25,run_shell_command,2,defects4j test -t org.jfree.data.time.junit.MonthTests::testParseMonth
Chart-25,run_shell_command,1,git diff
Cli-14,glob,2,
Cli-14,maple_find_class,5,
Cli-14,maple_find_method_in_class,10,
Cli-14,read_file,3,
Cli-14,read_many_files,1,
Cli-14,replace,12,
Cli-14,run_shell_command,1,./run_bug_exposing_tests.sh
Cli-14,run_shell_command,5,defects4j compile
Cli-14,run_shell_command,1,defects4j export -p cp.compile
Cli-14,run_shell_command,5,defects4j test
Cli-14,run_shell_command,1,git diff
Cli-14,run_shell_command,1,java -cp /Users/danielding/Desktop/example_dir/Cli_14/target/classes:/Users/danielding/Desktop/example_dir/Cli_14/target/lib/commons-lang/jars/commons-lang-2.1.jar:/Users/danielding/Desktop/example_dir/Cli_14/target/lib/junit/jars/junit-3.8.1.jar:/Users/danielding/Desktop/example_dir/Cli_14/target/lib/jdepend/jars/jdepend-2.5.jar org.apache.commons.cli2.issues.CLI2Sample --file-name path-to-an-existing-file
Cli-14,write_file,1,
Cli-23,glob,1,
Cli-23,maple_extract_class_skeleton,1,
Cli-23,maple_find_class,1,
Cli-23,maple_find_class_in_file,2,
Cli-23,maple_find_method_in_class,4,
Cli-23,read_file,6,
Cli-23,replace,2,
Cli-23,run_shell_command,2,./run_bug_exposing_tests.sh
Cli-23,run_shell_command,3,defects4j compile
Cli-23,run_shell_command,1,defects4j test
Cli-23,run_shell_command,1,defects4j test -t org.apache.commons.cli.bug.BugCLI162Test
Cli-23,run_shell_command,2,defects4j test -t org.apache.commons.cli.bug.BugCLI162Test::testInfiniteLoop
Cli-23,run_shell_command,1,git diff
Cli-31,maple_find_class,3,
Cli-31,maple_find_code_in_file,4,
Cli-31,maple_find_method_in_class,5,
Cli-31,read_file,17,
Cli-31,replace,6,
Cli-31,run_shell_command,2,./run_all_tests_trace.sh
Cli-31,run_shell_command,7,./run_bug_exposing_tests.sh
Cli-31,run_shell_command,5,defects4j compile
Cli-31,run_shell_command,1,git diff
Closure-108,list_directory,1,
Closure-108,read_file,5,
Closure-108,run_shell_command,2,./run_bug_exposing_tests.sh
Closure-108,run_shell_command,1,defects4j compile
Closure-110,glob,1,
Closure-110,maple_find_class,2,
Closure-110,read_file,9,
Closure-110,replace,17,
Closure-110,run_shell_command,1,./run_bug_exposing_tests.sh
Closure-110,run_shell_command,1,ant clean
Closure-110,run_shell_command,1,defects4j clean
Closure-110,run_shell_command,16,defects4j compile
Closure-110,run_shell_command,13,defects4j test
Closure-110,run_shell_command,1,rm -rf /Users/danielding/Desktop/example_dir/Closure_110/build
Closure-135,glob,2,
Closure-135,maple_find_class,6,
Closure-135,maple_find_code,1,
Closure-135,maple_find_code_in_file,1,
Closure-135,maple_find_method,2,
Closure-135,maple_find_method_in_class,1,
Closure-135,maple_find_method_in_file,3,
Closure-135,read_file,15,
Closure-135,replace,42,
Closure-135,run_shell_command,2,./run_bug_exposing_tests.sh
Closure-135,run_shell_command,28,defects4j compile
Closure-135,run_shell_command,13,defects4j test
Closure-135,run_shell_command,1,defects4j test -t com.google.javascript.jscomp.TypeCheckTest::testGoodExtends9
Closure-143,maple_find_class,1,
Closure-143,maple_find_method,3,
Closure-143,read_file,11,
Closure-143,replace,3,
Closure-143,run_shell_command,5,./run_bug_exposing_tests.sh
Closure-143,run_shell_command,4,defects4j compile
Closure-143,run_shell_command,1,defects4j test
Closure-143,run_shell_command,1,git diff
Closure-144,glob,10,
Closure-144,maple_find_code,1,
Closure-144,maple_find_code_in_file,6,
Closure-144,maple_find_method,1,
Closure-144,maple_find_method_in_class,6,
Closure-144,read_file,18,
Closure-144,replace,71,
Closure-144,run_shell_command,1,./run_bug_exposing_tests.sh
Closure-144,run_shell_command,12,defects4j compile
Closure-144,run_shell_command,6,defects4j test
Closure-144,run_shell_command,4,defects4j test -t com.google.javascript.jscomp.TypedScopeCreatorTest::testReturnTypeInference1
Closure-162,glob,1,
Closure-162,maple_find_class,2,
Closure-162,read_file,6,
Closure-162,replace,33,
Closure-162,run_shell_command,1,./run_bug_exposing_tests.sh
Closure-162,run_shell_command,21,defects4j compile
Closure-162,run_shell_command,16,defects4j test
Closure-162,write_file,4,
Closure-167,glob,1,
Closure-167,maple_find_class,2,
Closure-167,maple_find_method_in_class,1,
Closure-167,read_file,20,
Closure-167,replace,23,
Closure-167,run_shell_command,11,./run_bug_exposing_tests.sh
Closure-167,run_shell_command,12,defects4j compile
Closure-167,run_shell_command,1,defects4j test
Closure-169,glob,2,
Closure-169,maple_find_class,9,
Closure-169,maple_find_code,1,
Closure-169,maple_find_method_in_class,1,
Closure-169,read_file,17,
Closure-169,replace,25,
Closure-169,run_shell_command,1,./run_bug_exposing_tests.sh
Closure-169,run_shell_command,1,defects4j compile
Closure-169,run_shell_command,10,defects4j test
Closure-169,run_shell_command,2,defects4j test -t com.google.javascript.jscomp.TypeCheckTest::testFunctionReturnUndefinedToUnknown
Closure-169,run_shell_command,4,defects4j test -t com.google.javascript.jscomp.TypeCheckTest::testIssue791
Closure-169,search_file_content,2,
Closure-21,glob,3,
Closure-21,maple_find_method,1,
Closure-21,maple_find_method_in_class,2,
Closure-21,maple_find_method_in_file,1,
Closure-21,read_file,16,
Closure-21,replace,23,
Closure-21,run_shell_command,1,./run_bug_exposing_tests.sh
Closure-21,run_shell_command,20,defects4j compile
Closure-21,run_shell_command,18,defects4j test
Closure-21,run_shell_command,1,defects4j test -t com.google.javascript.jscomp.CheckSideEffectsTest
Closure-21,run_shell_command,8,git checkout /Users/danielding/Desktop/example_dir/Closure_21/src/com/google/javascript/jscomp/CheckSideEffects.java
Closure-47,glob,3,
Closure-47,read_file,32,
Closure-47,replace,48,
Closure-47,run_shell_command,22,./run_bug_exposing_tests.sh
Closure-47,run_shell_command,22,defects4j compile
Closure-47,run_shell_command,1,defects4j export -p cp.test
Closure-47,search_file_content,1,
Closure-53,maple_find_class,1,
Closure-53,maple_find_method_in_class,2,
Closure-53,read_file,6,
Closure-53,replace,1,
Closure-53,run_shell_command,2,./run_bug_exposing_tests.sh
Closure-53,run_shell_command,2,defects4j compile
Closure-53,run_shell_command,1,defects4j export -p cp.test
Closure-53,run_shell_command,1,defects4j test
