bug,status,path
Chart_14,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_14,match,source/org/jfree/chart/plot/XYPlot.java
Chart_15,match,source/org/jfree/chart/plot/PiePlot.java
Chart_15,miss,source/org/jfree/chart/plot/PiePlot3D.java
Chart_16,match,source/org/jfree/data/category/DefaultIntervalCategoryDataset.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues2D.java
Chart_19,no_edits,
Chart_2,no_edits,
Chart_21,match,source/org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java
Chart_22,match,source/org/jfree/data/KeyedObjects2D.java
Chart_25,no_edits,
Chart_4,no_edits,
Cli_1,match,src/java/org/apache/commons/cli/CommandLine.java
Cli_10,match,src/java/org/apache/commons/cli/Parser.java
Cli_13,match,src/java/org/apache/commons/cli2/WriteableCommandLine.java
Cli_13,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_13,match,src/java/org/apache/commons/cli2/option/ArgumentImpl.java
Cli_14,miss,src/java/org/apache/commons/cli2/validation/FileValidator.java
Cli_16,match,src/java/org/apache/commons/cli2/Option.java
Cli_16,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_16,match,src/java/org/apache/commons/cli2/option/GroupImpl.java
Cli_16,match,src/java/org/apache/commons/cli2/option/OptionImpl.java
Cli_16,miss,src/java/org/apache/commons/cli2/Group.java
Cli_16,miss,src/java/org/apache/commons/cli2/builder/GroupBuilder.java
Cli_18,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_21,no_edits,
Cli_22,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_23,no_edits,
Cli_26,match,src/java/org/apache/commons/cli/OptionBuilder.java
Cli_30,match,src/main/java/org/apache/commons/cli/DefaultParser.java
Cli_30,match,src/main/java/org/apache/commons/cli/Parser.java
Cli_31,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_33,no_edits,
Cli_34,match,src/main/java/org/apache/commons/cli/OptionBuilder.java
Cli_36,no_edits,
Cli_39,no_edits,
Cli_7,match,src/java/org/apache/commons/cli2/builder/PatternBuilder.java
Closure_100,no_edits,
Closure_103,match,src/com/google/javascript/jscomp/ControlFlowAnalysis.java
Closure_103,match,src/com/google/javascript/jscomp/DisambiguateProperties.java
Closure_105,match,src/com/google/javascript/jscomp/FoldConstants.java
Closure_106,miss,src/com/google/javascript/jscomp/CollapseProperties.java
Closure_110,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_115,match,src/com/google/javascript/jscomp/FunctionInjector.java
Closure_116,no_edits,
Closure_117,match,src/com/google/javascript/jscomp/TypeValidator.java
Closure_134,match,src/com/google/javascript/jscomp/TypedScopeCreator.java
Closure_135,miss,src/com/google/javascript/jscomp/TypedScopeCreator.java
Closure_136,no_edits,
Closure_137,no_edits,
Closure_138,no_edits,
Closure_139,no_edits,
Closure_140,no_edits,
Closure_141,match,src/com/google/javascript/jscomp/PureFunctionIdentifier.java
Closure_142,no_edits,
Closure_143,no_edits,
Closure_144,no_edits,
Closure_147,no_edits,
Closure_148,no_edits,
Closure_149,no_edits,
Closure_151,no_edits,
