bug,num_expected,correct_edits,ote,missed_edits
Chart_14,2,2,0,0
Chart_15,1,1,1,0
Chart_16,1,1,0,0
Chart_18,2,2,0,0
Chart_19,1,0,0,1
Chart_2,1,0,0,1
Chart_21,1,1,0,0
Chart_22,1,1,0,0
Chart_25,1,0,0,1
Chart_4,1,0,0,1
Cli_1,1,1,0,0
Cli_10,1,1,0,0
Cli_13,3,3,0,0
Cli_14,1,0,1,1
Cli_16,4,4,2,0
Cli_18,1,1,0,0
Cli_21,3,0,0,3
Cli_22,1,1,0,0
Cli_23,1,0,0,1
Cli_26,1,1,0,0
Cli_30,2,2,0,0
Cli_31,3,1,0,2
Cli_33,1,0,0,1
Cli_34,2,1,0,1
Cli_36,2,0,0,2
Cli_39,1,0,0,1
Cli_7,1,1,0,0
Closure_100,1,0,0,1
Closure_103,2,2,0,0
Closure_105,1,1,0,0
Closure_106,2,0,1,2
Closure_108,1,0,0,1
Closure_110,2,1,0,1
Closure_115,1,1,0,0
Closure_116,1,0,0,1
Closure_117,1,1,0,0
Closure_134,2,1,0,1
Closure_135,2,0,1,2
Closure_136,2,0,0,2
Closure_137,3,0,0,3
Closure_138,2,0,0,2
Closure_139,1,0,0,1
Closure_140,1,0,0,1
Closure_141,2,1,0,1
Closure_142,2,0,0,2
Closure_143,2,0,0,2
Closure_144,4,0,0,4
Closure_147,2,0,0,2
Closure_148,2,0,0,2
Closure_149,4,0,0,4
Closure_151,1,0,0,1
Closure_153,2,1,1,1
Closure_154,2,0,0,2
Closure_155,3,0,0,3
Closure_156,1,1,0,0
Closure_157,3,1,0,2
Closure_158,3,1,0,2
Closure_16,1,0,0,1
Closure_160,1,0,4,1
Closure_162,2,1,0,1
Closure_163,2,1,0,1
Closure_164,1,1,1,0
Closure_165,4,1,0,3
Closure_167,2,0,0,2
Closure_169,6,2,0,4
Closure_171,2,0,0,2
Closure_173,2,0,0,2
Closure_174,3,1,0,2
Closure_175,1,0,0,1
Closure_176,1,0,0,1
Closure_21,1,1,0,0
Closure_24,1,1,0,0
Closure_25,1,1,0,0
Closure_26,1,1,0,0
Closure_27,1,1,0,0
Closure_29,1,0,0,1
Closure_3,1,0,0,1
Closure_30,2,1,0,1
Closure_32,1,0,0,1
Closure_34,2,1,0,1
Closure_37,2,1,0,1
Closure_39,1,0,0,1
Closure_4,1,0,3,1
Closure_41,1,0,1,1
Closure_43,1,0,0,1
Closure_45,1,1,0,0
Closure_47,2,0,0,2
Closure_49,1,0,0,1
Closure_50,1,0,0,1
Closure_51,1,1,0,0
Closure_53,1,1,0,0
Closure_54,2,0,0,2
Closure_6,1,1,0,0
Closure_60,1,1,1,0
Closure_64,1,1,2,0
Closure_68,1,0,0,1
Closure_72,2,0,0,2
Closure_74,1,1,0,0
Closure_75,1,1,1,0
Closure_76,1,1,0,0
Closure_79,2,1,0,1
Closure_80,1,1,0,0
Closure_84,1,0,0,1
Closure_85,1,0,0,1
Closure_89,2,0,0,2
Closure_9,1,0,0,1
Closure_90,2,0,0,2
Closure_98,1,0,1,1
Closure_99,1,1,0,0
Codec_1,3,0,0,3
Codec_11,1,1,0,0
Codec_12,1,1,0,0
Codec_13,3,1,0,2
Codec_14,6,0,0,6
Codec_6,1,1,0,0
Codec_8,2,1,0,1
Collections_25,1,0,0,1
Compress_10,1,0,0,1
Compress_11,1,1,0,0
Compress_2,1,0,0,1
Compress_20,1,0,0,1
Compress_22,1,0,0,1
Compress_29,7,1,1,6
Compress_3,1,0,0,1
Compress_33,2,0,0,2
Compress_34,1,1,0,0
Compress_35,1,1,0,0
Compress_39,1,0,0,1
Compress_4,4,0,0,4
Compress_40,1,0,0,1
Compress_42,2,0,0,2
Compress_43,1,0,0,1
Compress_47,1,1,0,0
Compress_6,1,1,0,0
Compress_9,1,0,0,1
Csv_13,2,0,0,2
Csv_16,1,1,0,0
Csv_7,1,1,0,0
Csv_8,1,1,1,0
Gson_1,1,0,0,1
Gson_14,1,0,0,1
Gson_3,1,0,0,1
Gson_4,2,0,0,2
Gson_7,1,0,0,1
Gson_8,1,0,0,1
Gson_9,3,0,0,3
JacksonCore_1,2,0,0,2
JacksonCore_10,1,1,0,0
JacksonCore_12,2,2,0,0
