bug,pass,test_fail,compile_fail,failed_tests
Math-93,Yes,No,No,
Closure-75,Yes,No,No,
Chart-25,Yes,No,No,
JacksonDatabind-20,No,Yes,No,com.fasterxml.jackson.databind.TestPropertyNamingStrategyIssue::reproducer; com.fasterxml.jackson.databind.introspect.TestNamingStrategyStd::testNamingWithObjectNode
JacksonCore-10,No,Yes,No,com.fasterxml.jackson.core.UTF8ByteStreamTest; com.fasterxml.jackson.core.sym.TestByteBasedSymbols::testIssue207; com.fasterxml.jackson.core.sym.TestSymbolTables::testCollisionsWithBytesNew187b; com.fasterxml.jackson.core.sym.TestSymbolTables::testSyntheticWithBytesNew; com.fasterxml.jackson.core.sym.TestSymbolTables::testShortNameCollisionsDirectNew
Closure-99,Yes,No,No,
Closure-29,No,No,Yes,
Math-44,No,No,Yes,
Closure-24,Yes,No,No,
Math-26,Yes,No,No,
Closure-103,No,Yes,No,com.google.javascript.jscomp.DisambiguatePropertiesTest::testTwoSeparateFieldsTwoTypes; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnresolvedType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testSupertypeReferenceOfSubtypeProperty; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTwoTypes; com.google.javascript.jscomp.DisambiguatePropertiesTest::testObjectLiteral; com.google.javascript.jscomp.DisambiguatePropertiesTest::testStringFunction; com.google.javascript.jscomp.DisambiguatePropertiesTest::testCast; com.google.javascript.jscomp.DisambiguatePropertiesTest::testEnum; com.google.javascript.jscomp.DisambiguatePropertiesTest::testScopedType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testConstructorFields; com.google.javascript.jscomp.DisambiguatePropertiesTest::testDeterministicNaming; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTypedExterns; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnknownType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUntypedExterns; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnusedTypeInExterns; com.google.javascript.jscomp.DisambiguatePropertiesTest::testSupertypeWithSameField; com.google.javascript.jscomp.DisambiguatePropertiesTest::testNamedType
Jsoup-63,No,Yes,No,org.jsoup.parser.HtmlParserTest::selfClosingOnNonvoidIsError; org.jsoup.parser.HtmlParserTest::selfClosingVoidIsNotAnError; org.jsoup.parser.HtmlParserTest::tracksErrorsWhenRequested
Cli-34,No,Yes,No,org.apache.commons.cli.CommandLineTest::testGetParsedOptionValue; org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions
Cli-31,Yes,No,No,
Closure-165,No,No,Yes,
JacksonDatabind-13,Yes,No,No,
Jsoup-60,No,No,Yes,
JxPath-11,No,Yes,No,org.apache.commons.jxpath.ri.model.dom.DOMModelTest::testNamespaceMapping; org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest::testNamespaceMapping
Cli-16,No,No,Yes,
Jsoup-92,No,Yes,No,org.jsoup.nodes.ElementTest::testClassNames; org.jsoup.nodes.ElementTest::testHasClassDomMethods; org.jsoup.nodes.ElementTest::testClassUpdates; org.jsoup.nodes.ElementTest::dataset; org.jsoup.parser.HtmlParserTest::dropsDuplicateAttributes; org.jsoup.select.ElementsTest::classes
Closure-106,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testJSDocComments; com.google.javascript.jscomp.CollapsePropertiesTest::testTwinReferenceCancelsChildCollapsing; com.google.javascript.jscomp.CollapsePropertiesTest::testCrashInNestedAssign; com.google.javascript.jscomp.CollapsePropertiesTest::testCrashInCommaOperator; com.google.javascript.jscomp.NormalizeTest::testRenamingConstantProperties
Mockito-16,No,No,Yes,
Closure-144,No,No,Yes,
Mockito-30,Yes,No,No,
Closure-167,No,Yes,No,com.google.javascript.jscomp.AmbiguatePropertiesTest::testExtends; com.google.javascript.jscomp.AmbiguatePropertiesTest::testReadPropertyOfGlobalThis; com.google.javascript.jscomp.AmbiguatePropertiesTest::testInline; com.google.javascript.jscomp.CheckAccessControlsTest::testDeprecatedObjLitKey; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForProperty1; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForProperty2; com.google.javascript.jscomp.CheckAccessControlsTest::testWarningForPrototypeProperty; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTwoSeparateFieldsTwoTypes; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnionAndExternTypes; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnresolvedType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testOneType1; com.google.javascript.jscomp.DisambiguatePropertiesTest::testSuperInterface; com.google.javascript.jscomp.DisambiguatePropertiesTest::testCast; com.google.javascript.jscomp.DisambiguatePropertiesTest::testEnum; com.google.javascript.jscomp.DisambiguatePropertiesTest::testScopedType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testConstructorFields; com.google.javascript.jscomp.DisambiguatePropertiesTest::testPrototypeAndInstance; com.google.javascript.jscomp.DisambiguatePropertiesTest::testIgnoreUnknownType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testStaticProperty; com.google.javascript.jscomp.DisambiguatePropertiesTest::testIgnoreUnknownType1; com.google.javascript.jscomp.DisambiguatePropertiesTest::testIgnoreUnknownType2; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnionType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTwoFields; com.google.javascript.jscomp.DisambiguatePropertiesTest::testCustomInherits; com.google.javascript.jscomp.DisambiguatePropertiesTest::testMultipleInterfaces; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnionTypeInvalidation; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTypedExterns; com.google.javascript.jscomp.DisambiguatePropertiesTest::testTwoTypes1; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnknownType; com.google.javascript.jscomp.DisambiguatePropertiesTest::testObjectLiteralReflected; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUntypedExterns; com.google.javascript.jscomp.DisambiguatePropertiesTest::testPrototypeAndInstance2; com.google.javascript.jscomp.DisambiguatePropertiesTest::testSupertypeWithSameField; com.google.javascript.jscomp.DisambiguatePropertiesTest::testUnionTypeTwoFields; com.google.javascript.jscomp.DisambiguatePropertiesTest::testNamedType; com.google.javascript.jscomp.InlinePropertiesTest::testConstPrototypeProp1; com.google.javascript.jscomp.InlinePropertiesTest::testNonConstructorClassProp1; com.google.javascript.jscomp.IntegrationTest::testDisambiguateProperties; com.google.javascript.jscomp.IntegrationTest::testIssue598; com.google.javascript.jscomp.LooseTypeCheckTest::testAddMethodsPrototypeTwoWays; com.google.javascript.jscomp.LooseTypeCheckTest::testAssignToUntypedProperty; com.google.javascript.jscomp.LooseTypeCheckTest::testGlobalThis2; com.google.javascript.jscomp.LooseTypeCheckTest::testInheritanceCheck8; com.google.javascript.jscomp.LooseTypeCheckTest::testNoPersistentTypeInferenceForFunctionProperties; com.google.javascript.jscomp.LooseTypeCheckTest::testAdd10; com.google.javascript.jscomp.LooseTypeCheckTest::testAdd11; com.google.javascript.jscomp.LooseTypeCheckTest::testThis9; com.google.javascript.jscomp.LooseTypeCheckTest::testComplexNamespace; com.google.javascript.jscomp.LooseTypeCheckTest::testAnnotatedPropertyOnInterface4; com.google.javascript.jscomp.LooseTypeCheckTest::testDirectPrototypeAssignment1; com.google.javascript.jscomp.LooseTypeCheckTest::testDirectPrototypeAssignment2; com.google.javascript.jscomp.LooseTypeCheckTest::testQualifiedNameReduction4; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty1; com.google.javascript.jscomp.LooseTypeCheckTest::testMissingProperty3; com.google.javascript.jscomp.LooseTypeCheckTest::testInnerFunction6; com.google.javascript.jscomp.LooseTypeCheckTest::testInnerFunction7; com.google.javascript.jscomp.LooseTypeCheckTest::testInnerFunction8; com.google.javascript.jscomp.LooseTypeCheckTest::testInheritanceCheck12; com.google.javascript.jscomp.LooseTypeCheckTest::testPropertyInference3; com.google.javascript.jscomp.LooseTypeCheckTest::testPropertyInference4; com.google.javascript.jscomp.LooseTypeCheckTest::testPropertyInference6; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction8; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction9; com.google.javascript.jscomp.LooseTypeCheckTest::testPropertyTypeOfUnionType; com.google.javascript.jscomp.LooseTypeCheckTest::testAddingMethodsUsingPrototypeIdiomSimpleNamespace; com.google.javascript.jscomp.LooseTypeCheckTest::testGoodExtends6; com.google.javascript.jscomp.LooseTypeCheckTest::testThis10; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure1; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure2; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure3; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure4; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure5; com.google.javascript.jscomp.LooseTypeCheckTest::testClosure6; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction10; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction11; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction13; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction14; com.google.javascript.jscomp.LooseTypeCheckTest::testTypeOfReduction15; com.google.javascript.jscomp.LooseTypeCheckTest::testLateExtends; com.google.javascript.jscomp.LooseTypeCheckTest::testNoPersistentTypeInferenceForObjectProperties; com.google.javascript.jscomp.PureFunctionIdentifierTest::testInheritance1; com.google.javascript.jscomp.PureFunctionIdentifierTest::testInheritance2; com.google.javascript.jscomp.PureFunctionIdentifierTest::testNoSideEffectsSimple; com.google.javascript.jscomp.PureFunctionIdentifierTest::testResultLocalitySimple; com.google.javascript.jscomp.ReplaceStringsTest::testLoggerOnObject1; com.google.javascript.jscomp.SymbolTableTest::testMethodInAnonObject1; com.google.javascript.jscomp.SymbolTableTest::testLocalQualifiedNamesInLocalScopes; com.google.javascript.jscomp.TightenTypesTest::testCallFunction; com.google.javascript.jscomp.TightenTypesTest::testCallPrototypeFunctionWithArgs; com.google.javascript.jscomp.TightenTypesTest::testSheqDiscovery; com.google.javascript.jscomp.TightenTypesTest::testUntypedImplicitCallFromProperty; com.google.javascript.jscomp.TightenTypesTest::testFunctionToString; com.google.javascript.jscomp.TightenTypesTest::testNamespacedVariables; com.google.javascript.jscomp.TightenTypesTest::testCallFunctionWithArgs; com.google.javascript.jscomp.TightenTypesTest::testCallPrototypeFunction; com.google.javascript.jscomp.TightenTypesTest::testGetPrototypeProperty; com.google.javascript.jscomp.TypeCheckFunctionCheckTest::testMethodCalls; com.google.javascript.jscomp.TypeCheckTest::testAddMethodsPrototypeTwoWays; com.google.javascript.jscomp.TypeCheckTest::testAssignToUntypedProperty; com.google.javascript.jscomp.TypeCheckTest::testTypeInferenceWithNoEntry2; com.google.javascript.jscomp.TypeCheckTest::testGlobalThis2; com.google.javascript.jscomp.TypeCheckTest::testBackwardsInferenceGoogArrayFilter2; com.google.javascript.jscomp.TypeCheckTest::testBackwardsInferenceGoogArrayFilter3; com.google.javascript.jscomp.TypeCheckTest::testBackwardsInferenceGoogArrayFilter4; com.google.javascript.jscomp.TypeCheckTest::testInheritanceCheck8; com.google.javascript.jscomp.TypeCheckTest::testNoPersistentTypeInferenceForFunctionProperties; com.google.javascript.jscomp.TypeCheckTest::testAdd10; com.google.javascript.jscomp.TypeCheckTest::testAdd11; com.google.javascript.jscomp.TypeCheckTest::testNew17; com.google.javascript.jscomp.TypeCheckTest::testThis9; com.google.javascript.jscomp.TypeCheckTest::testComplexNamespace; com.google.javascript.jscomp.TypeCheckTest::testAnnotatedPropertyOnInterface4; com.google.javascript.jscomp.TypeCheckTest::testUndeclaredGlobalProperty1; com.google.javascript.jscomp.TypeCheckTest::testUndeclaredGlobalProperty2; com.google.javascript.jscomp.TypeCheckTest::testDirectPrototypeAssignment1; com.google.javascript.jscomp.TypeCheckTest::testDirectPrototypeAssignment2; com.google.javascript.jscomp.TypeCheckTest::testQualifiedNameReduction4; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty1; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty3; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends14; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends15; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends16; com.google.javascript.jscomp.TypeCheckTest::testReflectObject1; com.google.javascript.jscomp.TypeCheckTest::testReflectObject2; com.google.javascript.jscomp.TypeCheckTest::testFunctionInference23; com.google.javascript.jscomp.TypeCheckTest::testInnerFunction6; com.google.javascript.jscomp.TypeCheckTest::testInnerFunction7; com.google.javascript.jscomp.TypeCheckTest::testInnerFunction8; com.google.javascript.jscomp.TypeCheckTest::testInheritanceCheck12; com.google.javascript.jscomp.TypeCheckTest::testQualifiedNameInference10; com.google.javascript.jscomp.TypeCheckTest::testQualifiedNameInference9; com.google.javascript.jscomp.TypeCheckTest::testPropertyInference3; com.google.javascript.jscomp.TypeCheckTest::testPropertyInference4; com.google.javascript.jscomp.TypeCheckTest::testPropertyInference6; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction8; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction9; com.google.javascript.jscomp.TypeCheckTest::testPropertyTypeOfUnionType; com.google.javascript.jscomp.TypeCheckTest::testGoodImplements4; com.google.javascript.jscomp.TypeCheckTest::testDataPropertyOnInterface2; com.google.javascript.jscomp.TypeCheckTest::testDataPropertyOnInterface3; com.google.javascript.jscomp.TypeCheckTest::testComparison15; com.google.javascript.jscomp.TypeCheckTest::testAddingMethodsUsingPrototypeIdiomSimpleNamespace; com.google.javascript.jscomp.TypeCheckTest::testGoodExtends6; com.google.javascript.jscomp.TypeCheckTest::testIssue783; com.google.javascript.jscomp.TypeCheckTest::testBadImplements3; com.google.javascript.jscomp.TypeCheckTest::testThis10; com.google.javascript.jscomp.TypeCheckTest::testClosure1; com.google.javascript.jscomp.TypeCheckTest::testClosure2; com.google.javascript.jscomp.TypeCheckTest::testClosure3; com.google.javascript.jscomp.TypeCheckTest::testClosure4; com.google.javascript.jscomp.TypeCheckTest::testClosure5; com.google.javascript.jscomp.TypeCheckTest::testClosure6; com.google.javascript.jscomp.TypeCheckTest::testClosure7; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction10; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction11; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction13; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction14; com.google.javascript.jscomp.TypeCheckTest::testTypeOfReduction15; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty20; com.google.javascript.jscomp.TypeCheckTest::testMissingProperty36; com.google.javascript.jscomp.TypeCheckTest::testLateExtends; com.google.javascript.jscomp.TypeCheckTest::testNoPersistentTypeInferenceForObjectProperties; com.google.javascript.jscomp.TypeCheckTest::testOverriddenProperty5; com.google.javascript.jscomp.TypedScopeCreatorTest::testAddMethodsPrototypeTwoWays; com.google.javascript.jscomp.TypedScopeCreatorTest::testObjectLiteralCast; com.google.javascript.jscomp.TypedScopeCreatorTest::testInferredPrototypeProperty1; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertyOnUnknownSuperClass1; com.google.javascript.jscomp.TypedScopeCreatorTest::testInferredProperty1; com.google.javascript.rhino.jstype.JSTypeTest::testRestrictedTypeGivenToBoolean
