bug_id,total_input_token,total_output_token,time_duration,unread_instruction
Chart-14,1245055,2334,259321,0
Chart-15,3275227,68439,344759,0
Chart-16,754153,2120,180801,0
Chart-18,2443447,6093,718297,0
Chart-19,9830,11,2908,1
Chart-21,444278,16290,227154,0
Chart-22,898839,3372,123366,0
Chart-25,20232,75,3118,0
Chart-2,9845,6,2667,1
Chart-4,9839,6,2116,1
Cli-10,200275,828,41891,0
Cli-13,1047003,3222,144292,0
Cli-14,517623,2381,80405,0
Cli-16,26414400,22000,1264655,0
Cli-18,166671,679,38970,0
Cli-1,434777,1458,114119,0
Cli-21,10000,6,3815,1
Cli-22,545356,3124,123893,0
Cli-23,8708,6,2578,1
Cli-26,188250,1095,41652,0
Cli-30,2152886,9082,239433,0
Cli-31,183448,603,40521,0
Cli-33,66326,318,18882,0
Cli-34,490115,1732,77251,0
Cli-36,19081,74,4690,0
Cli-39,9242,6,3020,1
Cli-7,172795,841,33884,0
Closure-100,10216,6,3699,1
Closure-103,23822969,17289,1503296,0
Closure-105,1301085,3877,167122,0
Closure-106,6127037,6646,755441,0
Closure-108,518285,6916,1407009,0
Closure-110,10775054,37599,856592,0
Closure-115,3280540,2701,227054,0
Closure-116,64862,203,14999,0
Closure-117,3603577,11608,261163,0
Closure-134,24175000,23534,1660655,0
Closure-135,1161034,1123,90034,0
Closure-136,1699578,4722,234188,0
Closure-137,10233,6,2692,1
Closure-138,10233,6,2882,1
Closure-139,26705231,25747,1582367,0
Closure-140,10233,15,3051,1
Closure-141,1423171,6145,141544,0
Closure-142,10226,6,2759,1
Closure-143,10226,11,2628,1
Closure-144,3950131,2789,223919,0
Closure-147,10228,7,2763,1
Closure-148,10218,11,3746,1
Closure-149,10202,6,3089,1
Closure-151,10214,6,3522,1
Closure-153,26125491,25288,1485923,0
Closure-154,10192,6,3670,1
Closure-155,10143,15,2483,1
Closure-156,23997825,17689,1508660,0
Closure-157,16843710,24128,684973,0
Closure-158,25450364,21385,1544372,0
Closure-160,12220780,60650,763995,0
Closure-162,341519,2310,57851,0
Closure-163,372694,1560,67797,0
Closure-164,1579323,7711,148915,0
Closure-165,17408201,7194,832927,0
Closure-167,29658,11,5106,1
Closure-169,11309668,6736,524010,0
Closure-16,9883,11,2592,1
Closure-171,9959,6,2236,1
Closure-173,9972,10,2715,1
Closure-174,8598167,35517,522811,0
Closure-175,9974,6,2893,1
Closure-176,9978,6,2784,1
Closure-21,3696114,25198,370884,0
Closure-24,24217310,23830,1408624,0
Closure-25,534070,1527,389309,0
Closure-26,7309733,14887,416473,0
Closure-27,1042839,2891,90830,0
Closure-29,9881,6,2775,1
Closure-30,181823,1390,96801,0
Closure-32,522781,4088,480122,0
Closure-34,18238865,23667,1152156,0
Closure-37,3906210,5353,205701,0
Closure-39,9872,10,3733,1
Closure-3,9928,11,2625,1
Closure-41,10298295,80844,2653277,0
Closure-43,9866,11,2494,1
Closure-45,18708308,28164,1445095,0
Closure-47,6464077,6706,486449,0
Closure-49,3706788,3157,394125,0
Closure-4,24244637,14196,1470544,0
Closure-50,10045,10,4772,1
Closure-51,657212,2173,71909,0
Closure-53,252165,1500,65809,0
Closure-54,10080,6,3420,1
Closure-60,10529631,8806,506125,0
Closure-64,3460765,4038,150438,0
Closure-68,10135,6,3752,1
Closure-6,1967753,2053,109753,0
Closure-72,10140,8,2994,1
Closure-74,25093756,21428,1575346,0
