bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,READ,SEARCH_CONTENT,SEARCH_FILES,TEST,VCS,WEB,WRITE
Chart-14,2,0,0,10,2,2,4,1,0,4
Chart-15,6,0,0,14,0,5,8,1,0,9
Chart-16,3,0,0,8,0,1,5,1,0,8
Chart-18,7,0,0,15,0,3,9,1,0,7
Chart-21,2,1,0,6,0,2,4,1,0,2
Chart-22,4,0,0,10,0,1,6,1,0,6
Chart-25,0,0,0,1,0,0,0,0,0,0
Cli-10,1,0,0,4,0,0,5,1,0,1
Cli-13,6,0,0,10,0,0,9,1,0,11
Cli-14,5,0,1,6,0,2,1,1,0,4
Cli-16,25,0,1,42,0,0,10,5,0,65
Cli-18,1,0,0,4,0,0,4,1,0,1
Cli-1,2,0,0,9,0,1,5,1,0,1
Cli-22,1,0,0,8,0,0,9,1,0,5
Cli-26,1,0,0,4,0,0,5,1,0,1
Cli-30,1,0,0,8,0,0,11,1,0,30
Cli-31,1,0,0,7,0,0,3,0,0,1
Cli-33,0,0,0,4,0,0,1,0,0,1
Cli-34,3,0,0,6,0,4,5,1,0,5
Cli-36,0,0,0,1,0,0,0,0,0,0
Cli-7,0,0,0,3,1,0,4,1,0,2
Closure-103,0,0,0,36,1,6,20,0,0,29
Closure-105,1,0,0,6,0,2,6,1,0,4
Closure-106,16,0,0,14,0,0,12,0,0,18
Closure-108,2,0,0,6,0,1,3,0,0,1
Closure-110,13,1,0,22,0,2,10,6,0,36
Closure-115,7,0,0,10,0,0,9,1,0,8
Closure-116,1,0,0,3,0,0,1,0,0,0
Closure-117,1,1,0,15,3,1,9,0,0,14
Closure-134,1,1,0,38,4,6,5,0,0,31
Closure-135,2,0,0,8,5,2,3,0,0,1
Closure-136,6,0,0,6,11,0,7,0,0,10
Closure-139,33,0,0,44,1,0,28,14,0,32
Closure-141,0,0,0,7,0,2,9,0,0,11
Closure-144,2,0,0,18,0,9,3,0,0,5
Closure-153,11,4,0,36,0,2,18,0,0,46
Closure-156,1,0,0,22,0,3,15,0,0,45
Closure-157,21,0,0,8,5,0,24,21,0,53
