bug,glob,google_web_search,list_directory,read_file,read_many_files,replace,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,web_fetch,write_file
Chart-14,2,0,0,10,0,4,7,2,3,0,1,1,0,0,0,2,0,0
Chart-15,5,0,0,14,0,9,15,6,4,0,4,1,0,0,0,0,0,0
Chart-16,1,0,0,8,0,8,9,3,1,0,4,1,0,0,0,0,0,0
Chart-18,3,0,0,15,0,7,17,7,0,0,9,1,0,0,0,0,0,0
Chart-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart-21,1,0,1,6,0,2,8,2,4,0,1,1,0,0,0,0,0,0
Chart-22,1,0,0,10,0,6,11,4,1,0,5,1,0,0,0,0,0,0
Chart-25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli-1,1,0,0,9,0,1,8,2,4,0,1,1,0,0,0,0,0,0
Cli-10,0,0,0,4,0,1,7,1,4,0,1,1,0,0,0,0,0,0
Cli-13,0,0,0,10,0,11,16,6,7,0,2,1,0,0,0,0,0,0
Cli-14,0,0,1,6,0,2,9,3,0,0,1,1,2,1,1,0,0,2
Cli-16,0,0,0,42,0,65,41,25,0,0,10,5,0,1,0,0,0,0
Cli-18,0,0,0,4,0,1,6,1,2,0,2,1,0,0,0,0,0,0
Cli-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli-22,0,0,0,8,0,5,11,1,7,0,2,1,0,0,0,0,0,0
Cli-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli-26,0,0,0,4,0,1,7,1,4,0,1,1,0,0,0,0,0,0
Cli-30,0,0,0,7,1,30,13,1,9,0,2,1,0,0,0,0,0,0
Cli-31,0,0,0,7,0,1,4,1,0,0,3,0,0,0,0,0,0,0
Cli-33,0,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Cli-34,4,0,0,6,0,5,9,3,3,0,2,1,0,0,0,0,0,0
Cli-36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli-7,0,0,0,3,0,2,5,0,4,0,0,1,0,0,0,1,0,0
Closure-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-103,6,0,0,36,0,29,20,0,1,0,19,0,0,0,0,1,0,0
Closure-105,2,0,0,6,0,4,8,1,4,0,2,1,0,0,0,0,0,0
Closure-106,0,0,0,14,0,18,28,16,10,0,2,0,0,0,0,0,0,0
Closure-108,1,0,0,6,0,1,5,2,0,0,3,0,0,0,0,0,0,0
Closure-110,2,0,0,22,0,36,30,13,9,1,1,6,0,0,0,0,0,0
Closure-115,0,0,0,10,0,8,17,7,7,0,2,1,0,0,0,0,0,0
Closure-116,0,0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0
Closure-117,0,0,1,15,0,14,11,1,9,0,1,0,0,0,0,3,0,0
Closure-134,6,0,0,38,0,31,7,1,2,0,4,0,0,0,0,4,0,0
Closure-135,2,0,0,8,0,1,5,2,2,0,1,0,0,0,0,5,0,0
Closure-136,0,0,0,6,0,10,13,6,6,0,1,0,0,0,0,11,0,0
Closure-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure-139,0,0,0,44,0,32,75,33,0,0,28,14,0,0,0,1,0,0
Closure-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
