bug,tool,command,parsed_command,category
chart_14,read_file,,read_file,READ
chart_14,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_14,read_file,,read_file,READ
chart_14,glob,,glob,SEARCH_FILES
chart_14,read_file,,read_file,READ
chart_14,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_14,glob,,glob,SEARCH_FILES
chart_14,read_file,,read_file,READ
chart_14,run_shell_command,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker,defects4j test,TEST
chart_14,run_shell_command,defects4j test,defects4j test,TEST
chart_14,read_file,,read_file,READ
chart_14,search_file_content,,search_file_content,SEARCH_CONTENT
chart_14,read_file,,read_file,READ
chart_14,replace,,replace,WRITE
chart_14,read_file,,read_file,READ
chart_14,replace,,replace,WRITE
chart_14,read_file,,read_file,READ
chart_14,search_file_content,,search_file_content,SEARCH_CONTENT
chart_14,read_file,,read_file,READ
chart_14,replace,,replace,WRITE
chart_14,read_file,,read_file,READ
chart_14,replace,,replace,WRITE
chart_14,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_14,run_shell_command,defects4j test,defects4j test,TEST
chart_14,run_shell_command,git diff,git diff,VCS
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,defects4j test,defects4j test,TEST
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,defects4j test,defects4j test,TEST
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,defects4j test,defects4j test,TEST
chart_15,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,replace,,replace,WRITE
chart_15,read_file,,read_file,READ
chart_15,replace,,replace,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,run_shell_command,defects4j test,defects4j test,TEST
chart_15,run_shell_command,git diff,git diff,VCS
chart_16,read_file,,read_file,READ
chart_16,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_16,read_file,,read_file,READ
chart_16,glob,,glob,SEARCH_FILES
chart_16,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_16,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_16,read_file,,read_file,READ
chart_16,read_file,,read_file,READ
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,replace,,replace,WRITE
chart_16,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_16,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_16,read_file,,read_file,READ
chart_16,read_file,,read_file,READ
chart_16,replace,,replace,WRITE
chart_16,run_shell_command,defects4j compile,defects4j compile,BUILD
