bug,function_name,count,command
Chart-14,glob,2,
Chart-14,read_file,10,
Chart-14,replace,4,
Chart-14,run_shell_command,1,./run_bug_exposing_tests.sh
Chart-14,run_shell_command,2,defects4j compile
Chart-14,run_shell_command,2,defects4j test
Chart-14,run_shell_command,1,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testRemoveRangeMarker
Chart-14,run_shell_command,1,git diff
Chart-14,search_file_content,2,
Chart-15,glob,5,
Chart-15,read_file,14,
Chart-15,replace,9,
Chart-15,run_shell_command,4,./run_bug_exposing_tests.sh
Chart-15,run_shell_command,6,defects4j compile
Chart-15,run_shell_command,4,defects4j test
Chart-15,run_shell_command,1,git diff
Chart-16,glob,1,
Chart-16,read_file,8,
Chart-16,replace,8,
Chart-16,run_shell_command,4,./run_bug_exposing_tests.sh
Chart-16,run_shell_command,3,defects4j compile
Chart-16,run_shell_command,1,defects4j test
Chart-16,run_shell_command,1,git diff > fix.patch
Chart-18,glob,3,
Chart-18,read_file,15,
Chart-18,replace,7,
Chart-18,run_shell_command,1,./run_all_tests_trace.sh
Chart-18,run_shell_command,8,./run_bug_exposing_tests.sh
Chart-18,run_shell_command,7,defects4j compile
Chart-18,run_shell_command,1,git diff
Chart-21,glob,1,
Chart-21,list_directory,1,
Chart-21,read_file,6,
Chart-21,replace,2,
Chart-21,run_shell_command,1,./run_bug_exposing_tests.sh
Chart-21,run_shell_command,2,defects4j compile
Chart-21,run_shell_command,1,defects4j export -p cp.test
Chart-21,run_shell_command,1,defects4j test
Chart-21,run_shell_command,2,defects4j test -t org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds
Chart-21,run_shell_command,1,git diff
Chart-22,glob,1,
Chart-22,read_file,10,
Chart-22,replace,6,
Chart-22,run_shell_command,5,./run_bug_exposing_tests.sh
Chart-22,run_shell_command,4,defects4j compile
Chart-22,run_shell_command,1,defects4j test
Chart-22,run_shell_command,1,git diff > /Users/danielding/Desktop/example_dir/Chart_22/fix.patch
Chart-25,read_file,1,
Cli-10,read_file,4,
Cli-10,replace,1,
Cli-10,run_shell_command,1,./run_bug_exposing_tests.sh
Cli-10,run_shell_command,1,defects4j compile
Cli-10,run_shell_command,1,defects4j test
Cli-10,run_shell_command,1,defects4j test -t org.apache.commons.cli.ParseRequiredTest
