window_size,tool_sequence,frequency
3,WRITE -> WRITE -> WRITE,1103
3,WRITE -> BUILD -> TEST,1092
3,WRITE -> READ -> WRITE,618
3,WRITE -> WRITE -> BUILD,565
3,READ -> WRITE -> BUILD,522
3,BUILD -> TEST -> READ,501
3,READ -> WRITE -> WRITE,448
3,TEST -> READ -> WRITE,440
3,TEST -> WRITE -> WRITE,420
3,READ -> WRITE -> READ,419
3,BUILD -> TEST -> WRITE,383
3,WRITE -> TEST -> WRITE,318
3,READ -> READ -> WRITE,285
3,WRITE -> WRITE -> TEST,253
3,TEST -> READ -> READ,251
3,READ -> TEST -> READ,231
3,READ -> READ -> READ,213
3,WRITE -> WRITE -> READ,188
3,WRITE -> BUILD -> WRITE,182
3,WRITE -> TEST -> READ,180
3,READ -> WRITE -> TEST,176
3,BUILD -> TEST -> VCS,140
3,BUILD -> TEST -> TEST,132
3,READ -> SEARCH_FILES -> READ,128
3,TEST -> WRITE -> BUILD,127
3,TEST -> READ -> TEST,125
3,TEST -> WRITE -> TEST,125
3,BUILD -> WRITE -> BUILD,103
3,READ -> SEARCH_CONTENT -> READ,98
3,SEARCH_FILES -> READ -> WRITE,94
3,TEST -> VCS -> WRITE,94
3,TEST -> READ -> SEARCH_FILES,93
3,READ -> BUILD -> TEST,90
3,TEST -> TEST -> READ,84
3,TEST -> READ -> BUILD,81
3,VCS -> WRITE -> WRITE,78
3,BUILD -> WRITE -> WRITE,70
3,TEST -> SEARCH_FILES -> READ,65
3,SEARCH_FILES -> READ -> SEARCH_FILES,65
3,SEARCH_CONTENT -> READ -> WRITE,61
3,WRITE -> BUILD -> READ,58
3,TEST -> WRITE -> READ,58
3,TEST -> TEST -> VCS,56
3,BUILD -> READ -> WRITE,56
3,VCS -> WRITE -> BUILD,55
3,TEST -> READ -> SEARCH_CONTENT,50
3,WRITE -> READ -> READ,42
3,SEARCH_FILES -> READ -> READ,41
3,TEST -> READ -> VCS,41
3,SEARCH_CONTENT -> READ -> READ,40
3,BUILD -> TEST -> SEARCH_FILES,38
3,VCS -> READ -> WRITE,34
3,TEST -> TEST -> TEST,34
3,VCS -> VCS -> VCS,34
3,WRITE -> TEST -> TEST,32
3,TEST -> TEST -> WRITE,32
3,SEARCH_FILES -> BUILD -> TEST,30
3,SEARCH_CONTENT -> READ -> SEARCH_CONTENT,30
3,READ -> SEARCH_FILES -> BUILD,29
3,READ -> READ -> SEARCH_CONTENT,29
3,WRITE -> BUILD -> VCS,27
3,READ -> TEST -> SEARCH_FILES,26
3,SEARCH_FILES -> SEARCH_FILES -> READ,26
3,READ -> READ -> SEARCH_FILES,25
3,READ -> TEST -> VCS,24
3,READ -> SEARCH_FILES -> SEARCH_FILES,22
3,READ -> VCS -> WRITE,21
3,READ -> SEARCH_CONTENT -> SEARCH_CONTENT,21
3,SEARCH_CONTENT -> SEARCH_CONTENT -> READ,21
3,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,19
3,TEST -> SEARCH_CONTENT -> READ,19
3,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,19
3,READ -> TEST -> TEST,18
3,WRITE -> TEST -> VCS,18
3,BUILD -> WRITE -> READ,18
3,BUILD -> VCS -> WRITE,18
3,BUILD -> TEST -> SEARCH_CONTENT,18
3,READ -> WRITE -> VCS,17
3,TEST -> VCS -> READ,16
3,SEARCH_FILES -> READ -> BUILD,15
3,SEARCH_FILES -> READ -> SEARCH_CONTENT,15
3,BUILD -> VCS -> BUILD,14
