window_size,tool_sequence,frequency
4,WRITE -> WRITE -> WRITE -> WRITE,666
4,READ -> WRITE -> READ -> WRITE,355
4,WRITE -> BUILD -> TEST -> WRITE,309
4,WRITE -> READ -> WRITE -> READ,305
4,WRITE -> WRITE -> BUILD -> TEST,298
4,WRITE -> BUILD -> TEST -> READ,275
4,READ -> WRITE -> BUILD -> TEST,268
4,BUILD -> TEST -> READ -> WRITE,192
4,BUILD -> TEST -> WRITE -> WRITE,190
4,WRITE -> WRITE -> WRITE -> BUILD,167
4,WRITE -> TEST -> WRITE -> WRITE,164
4,WRITE -> WRITE -> TEST -> WRITE,155
4,TEST -> WRITE -> WRITE -> TEST,141
4,WRITE -> WRITE -> READ -> WRITE,134
4,TEST -> READ -> WRITE -> BUILD,118
4,WRITE -> READ -> WRITE -> WRITE,115
4,READ -> WRITE -> WRITE -> WRITE,104
4,TEST -> WRITE -> WRITE -> WRITE,102
4,WRITE -> TEST -> READ -> WRITE,101
4,WRITE -> TEST -> WRITE -> TEST,101
4,TEST -> WRITE -> WRITE -> BUILD,99
4,WRITE -> READ -> WRITE -> BUILD,93
4,BUILD -> TEST -> WRITE -> BUILD,93
4,TEST -> WRITE -> TEST -> WRITE,93
4,BUILD -> TEST -> READ -> READ,92
4,TEST -> READ -> WRITE -> WRITE,91
4,TEST -> WRITE -> BUILD -> TEST,88
4,WRITE -> BUILD -> TEST -> VCS,87
4,READ -> WRITE -> WRITE -> BUILD,85
4,READ -> WRITE -> TEST -> READ,84
4,TEST -> READ -> READ -> WRITE,80
4,WRITE -> BUILD -> WRITE -> BUILD,77
4,READ -> READ -> WRITE -> BUILD,76
4,READ -> WRITE -> WRITE -> READ,73
4,WRITE -> WRITE -> BUILD -> WRITE,72
4,BUILD -> TEST -> VCS -> WRITE,69
4,TEST -> READ -> WRITE -> TEST,66
4,READ -> READ -> READ -> WRITE,58
4,READ -> READ -> READ -> READ,58
4,WRITE -> WRITE -> WRITE -> READ,57
4,WRITE -> BUILD -> TEST -> TEST,56
4,READ -> READ -> WRITE -> WRITE,53
4,BUILD -> WRITE -> BUILD -> TEST,52
4,WRITE -> BUILD -> WRITE -> WRITE,51
4,VCS -> WRITE -> BUILD -> TEST,48
4,WRITE -> WRITE -> TEST -> READ,44
4,READ -> WRITE -> BUILD -> WRITE,43
4,TEST -> READ -> READ -> READ,43
4,VCS -> WRITE -> WRITE -> WRITE,42
4,TEST -> VCS -> WRITE -> WRITE,42
4,READ -> WRITE -> WRITE -> TEST,42
4,TEST -> VCS -> WRITE -> BUILD,42
4,TEST -> WRITE -> READ -> WRITE,40
4,WRITE -> BUILD -> READ -> WRITE,36
4,TEST -> READ -> WRITE -> READ,36
4,SEARCH_FILES -> READ -> SEARCH_FILES -> READ,35
4,WRITE -> WRITE -> WRITE -> TEST,32
4,READ -> WRITE -> TEST -> WRITE,30
4,READ -> SEARCH_CONTENT -> READ -> WRITE,29
4,READ -> SEARCH_FILES -> READ -> WRITE,28
4,TEST -> READ -> BUILD -> TEST,27
4,READ -> TEST -> READ -> READ,27
4,TEST -> READ -> TEST -> READ,27
4,READ -> BUILD -> TEST -> READ,26
4,READ -> SEARCH_FILES -> READ -> SEARCH_FILES,26
4,BUILD -> TEST -> TEST -> READ,26
4,READ -> TEST -> READ -> BUILD,25
4,BUILD -> WRITE -> WRITE -> BUILD,25
4,WRITE -> READ -> READ -> WRITE,25
4,READ -> READ -> WRITE -> READ,25
4,VCS -> WRITE -> WRITE -> BUILD,25
4,TEST -> READ -> SEARCH_CONTENT -> READ,25
4,VCS -> VCS -> VCS -> VCS,24
4,WRITE -> READ -> WRITE -> TEST,23
4,BUILD -> TEST -> WRITE -> READ,23
4,READ -> TEST -> READ -> SEARCH_FILES,22
4,BUILD -> WRITE -> BUILD -> WRITE,21
4,READ -> READ -> WRITE -> TEST,20
4,TEST -> READ -> SEARCH_FILES -> READ,20
4,READ -> WRITE -> BUILD -> READ,19
4,READ -> WRITE -> READ -> READ,19
4,WRITE -> TEST -> READ -> READ,19
4,BUILD -> WRITE -> WRITE -> WRITE,18
4,WRITE -> WRITE -> BUILD -> READ,18
4,BUILD -> READ -> WRITE -> BUILD,18
4,BUILD -> TEST -> READ -> VCS,18
4,READ -> SEARCH_FILES -> BUILD -> TEST,18
4,WRITE -> BUILD -> VCS -> WRITE,18
4,TEST -> TEST -> READ -> WRITE,17
4,TEST -> READ -> SEARCH_FILES -> BUILD,17
4,SEARCH_FILES -> BUILD -> TEST -> READ,17
4,SEARCH_CONTENT -> READ -> READ -> READ,17
4,BUILD -> TEST -> TEST -> WRITE,17
4,READ -> TEST -> READ -> TEST,16
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> READ,16
4,READ -> SEARCH_CONTENT -> READ -> READ,15
4,WRITE -> BUILD -> TEST -> SEARCH_CONTENT,15
4,SEARCH_FILES -> READ -> WRITE -> BUILD,15
4,TEST -> TEST -> WRITE -> READ,15
4,READ -> WRITE -> BUILD -> VCS,14
4,TEST -> WRITE -> WRITE -> READ,14
4,SEARCH_CONTENT -> READ -> WRITE -> BUILD,14
4,VCS -> READ -> WRITE -> BUILD,14
4,READ -> READ -> SEARCH_CONTENT -> READ,14
4,VCS -> READ -> WRITE -> WRITE,13
4,TEST -> READ -> VCS -> WRITE,13
4,READ -> VCS -> WRITE -> WRITE,13
4,WRITE -> BUILD -> WRITE -> READ,13
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,13
4,READ -> READ -> SEARCH_FILES -> READ,13
4,BUILD -> VCS -> BUILD -> VCS,13
4,WRITE -> WRITE -> READ -> READ,12
4,READ -> TEST -> SEARCH_FILES -> READ,12
4,SEARCH_FILES -> READ -> WRITE -> TEST,12
4,BUILD -> WRITE -> READ -> WRITE,12
4,READ -> WRITE -> VCS -> READ,12
4,WRITE -> VCS -> READ -> WRITE,12
4,BUILD -> TEST -> TEST -> VCS,12
4,BUILD -> TEST -> SEARCH_FILES -> READ,12
4,BUILD -> TEST -> READ -> TEST,12
4,VCS -> BUILD -> VCS -> BUILD,12
4,BUILD -> READ -> WRITE -> WRITE,11
4,SEARCH_FILES -> READ -> READ -> WRITE,11
4,BUILD -> VCS -> WRITE -> WRITE,11
4,SEARCH_CONTENT -> READ -> WRITE -> WRITE,11
4,BUILD -> TEST -> SEARCH_CONTENT -> READ,11
4,WRITE -> READ -> READ -> READ,11
4,TEST -> TEST -> VCS -> WRITE,11
4,WRITE -> TEST -> READ -> SEARCH_CONTENT,10
4,WRITE -> WRITE -> BUILD -> VCS,10
4,WRITE -> TEST -> WRITE -> READ,10
4,WRITE -> BUILD -> TEST -> SEARCH_FILES,10
4,BUILD -> WRITE -> WRITE -> READ,9
4,TEST -> READ -> VCS -> READ,9
4,TEST -> READ -> TEST -> SEARCH_FILES,9
4,TEST -> WRITE -> TEST -> READ,9
4,VCS -> BUILD -> TEST -> READ,9
4,SEARCH_FILES -> READ -> WRITE -> WRITE,9
4,TEST -> TEST -> READ -> READ,9
4,READ -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,9
4,TEST -> TEST -> READ -> VCS,9
4,BUILD -> READ -> WRITE -> READ,8
4,READ -> VCS -> READ -> WRITE,8
4,TEST -> SEARCH_FILES -> READ -> SEARCH_FILES,8
4,WRITE -> WRITE -> TEST -> TEST,8
4,TEST -> SEARCH_FILES -> READ -> READ,8
4,TEST -> READ -> READ -> SEARCH_CONTENT,8
4,SEARCH_CONTENT -> READ -> WRITE -> VCS,8
4,BUILD -> TEST -> READ -> SEARCH_CONTENT,7
4,READ -> VCS -> BUILD -> TEST,7
4,TEST -> READ -> READ -> SEARCH_FILES,7
4,READ -> SEARCH_FILES -> READ -> READ,7
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,7
4,WRITE -> WRITE -> TEST -> VCS,7
4,WRITE -> TEST -> VCS -> WRITE,7
4,READ -> TEST -> READ -> WRITE,7
4,BUILD -> TEST -> VCS -> READ,7
4,WRITE -> BUILD -> VCS -> READ,6
4,TEST -> TEST -> TEST -> READ,6
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> READ,6
4,SEARCH_CONTENT -> WRITE -> BUILD -> TEST,6
4,TEST -> READ -> VCS -> BUILD,6
4,SEARCH_FILES -> READ -> READ -> READ,6
4,READ -> READ -> READ -> SEARCH_CONTENT,6
4,READ -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,6
4,TEST -> SEARCH_FILES -> READ -> WRITE,6
4,TEST -> SEARCH_CONTENT -> READ -> READ,6
4,TEST -> VCS -> READ -> WRITE,6
4,WRITE -> TEST -> READ -> SEARCH_FILES,5
4,SEARCH_FILES -> READ -> WRITE -> READ,5
4,READ -> BUILD -> TEST -> SEARCH_FILES,5
4,WRITE -> TEST -> TEST -> READ,5
4,READ -> SEARCH_CONTENT -> READ -> SEARCH_FILES,5
4,SEARCH_CONTENT -> READ -> SEARCH_FILES -> READ,5
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,5
4,BUILD -> TEST -> READ -> SEARCH_FILES,5
4,READ -> BUILD -> TEST -> TEST,5
4,TEST -> SEARCH_CONTENT -> READ -> WRITE,5
4,READ -> SEARCH_FILES -> READ -> BUILD,5
4,WRITE -> TEST -> TEST -> WRITE,5
4,TEST -> WRITE -> READ -> READ,5
4,TEST -> WRITE -> BUILD -> WRITE,5
4,WRITE -> BUILD -> TEST -> WEB,5
4,WRITE -> BUILD -> READ -> READ,4
4,WRITE -> READ -> WRITE -> VCS,4
4,BUILD -> VCS -> READ -> WRITE,4
4,VCS -> READ -> WRITE -> READ,4
4,READ -> TEST -> TEST -> READ,4
4,BUILD -> READ -> READ -> READ,4
4,SEARCH_FILES -> SEARCH_FILES -> READ -> READ,4
4,BUILD -> VCS -> WRITE -> READ,4
4,VCS -> WRITE -> READ -> WRITE,4
4,TEST -> READ -> READ -> BUILD,4
4,TEST -> TEST -> READ -> SEARCH_CONTENT,4
4,READ -> SEARCH_FILES -> READ -> SEARCH_CONTENT,4
4,READ -> SEARCH_CONTENT -> SEARCH_FILES -> READ,4
4,SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE -> BUILD,4
4,BUILD -> TEST -> TEST -> TEST,4
4,WRITE -> WRITE -> BUILD -> SEARCH_FILES,4
4,TEST -> TEST -> WRITE -> WRITE,4
4,READ -> WRITE -> TEST -> TEST,4
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,4
4,TEST -> TEST -> SEARCH_FILES -> READ,4
4,READ -> READ -> BUILD -> TEST,4
4,WRITE -> READ -> SEARCH_CONTENT -> READ,4
4,BUILD -> TEST -> VCS -> VCS,4
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> READ,4
4,WRITE -> WRITE -> READ -> BUILD,4
4,WRITE -> READ -> BUILD -> TEST,4
4,SEARCH_CONTENT -> SEARCH_CONTENT -> READ -> WRITE,4
4,BUILD -> TEST -> WEB -> WRITE,4
4,READ -> TEST -> READ -> SEARCH_CONTENT,4
4,WRITE -> VCS -> WRITE -> BUILD,3
4,READ -> VCS -> WRITE -> BUILD,3
4,WRITE -> TEST -> READ -> BUILD,3
4,READ -> WRITE -> TEST -> SEARCH_CONTENT,3
4,TEST -> READ -> BUILD -> READ,3
4,TEST -> SEARCH_FILES -> SEARCH_FILES -> READ,3
4,VCS -> WRITE -> WRITE -> READ,3
4,SEARCH_CONTENT -> READ -> READ -> WRITE,3
4,TEST -> SEARCH_CONTENT -> READ -> SEARCH_CONTENT,3
4,BUILD -> TEST -> SEARCH_CONTENT -> SEARCH_CONTENT,3
4,TEST -> READ -> WRITE -> VCS,3
4,WRITE -> BUILD -> SEARCH_FILES -> READ,3
4,READ -> TEST -> READ -> DEFECTS4J_OTHER,3
4,WRITE -> TEST -> READ -> TEST,3
4,SEARCH_FILES -> READ -> SEARCH_FILES -> SEARCH_FILES,3
4,READ -> SEARCH_FILES -> SEARCH_FILES -> READ,3
4,SEARCH_FILES -> SEARCH_FILES -> READ -> WRITE,3
4,WRITE -> WRITE -> WRITE -> VCS,3
4,TEST -> SEARCH_FILES -> READ -> TEST,3
4,SEARCH_FILES -> READ -> TEST -> SEARCH_FILES,3
4,BUILD -> VCS -> WRITE -> BUILD,3
4,READ -> TEST -> READ -> VCS,3
4,READ -> TEST -> TEST -> SEARCH_FILES,3
4,TEST -> SEARCH_FILES -> READ -> SEARCH_CONTENT,3
4,WRITE -> WRITE -> READ -> SEARCH_CONTENT,3
4,WRITE -> SEARCH_FILES -> READ -> WRITE,3
4,SEARCH_FILES -> READ -> BUILD -> TEST,3
4,READ -> READ -> READ -> SEARCH_FILES,3
4,BUILD -> READ -> BUILD -> READ,3
4,BUILD -> TEST -> BUILD -> TEST,3
4,TEST -> BUILD -> TEST -> READ,3
4,READ -> WRITE -> SEARCH_CONTENT -> READ,3
4,SEARCH_CONTENT -> READ -> WRITE -> READ,3
4,SEARCH_CONTENT -> READ -> SEARCH_CONTENT -> SEARCH_CONTENT,3
4,SEARCH_CONTENT -> READ -> READ -> SEARCH_CONTENT,3
4,WEB -> WRITE -> BUILD -> TEST,3
4,READ -> READ -> WRITE -> SEARCH_CONTENT,3
4,SEARCH_FILES -> READ -> READ -> SEARCH_CONTENT,3
4,TEST -> READ -> SEARCH_FILES -> TEST,3
4,BUILD -> READ -> READ -> WRITE,2
4,READ -> WRITE -> VCS -> WRITE,2
4,VCS -> WRITE -> BUILD -> WRITE,2
4,TEST -> WRITE -> BUILD -> READ,2
4,READ -> BUILD -> READ -> DEFECTS4J_OTHER,2
4,DEFECTS4J_OTHER -> READ -> WRITE -> TEST,2
4,SEARCH_CONTENT -> SEARCH_FILES -> READ -> SEARCH_CONTENT,2
4,SEARCH_FILES -> READ -> SEARCH_CONTENT -> SEARCH_FILES,2
4,SEARCH_CONTENT -> SEARCH_FILES -> READ -> SEARCH_FILES,2
4,READ -> SEARCH_CONTENT -> WRITE -> BUILD,2
4,WRITE -> BUILD -> SEARCH_CONTENT -> SEARCH_CONTENT,2
4,BUILD -> SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT,2
4,SEARCH_CONTENT -> SEARCH_CONTENT -> SEARCH_CONTENT -> WRITE,2
4,READ -> TEST -> SEARCH_FILES -> SEARCH_FILES,2
4,SEARCH_FILES -> READ -> READ -> SEARCH_FILES,2
4,READ -> WRITE -> BUILD -> SEARCH_FILES,2
4,TEST -> READ -> TEST -> BUILD,2
4,TEST -> READ -> BUILD -> SEARCH_FILES,2
4,TEST -> READ -> TEST -> SEARCH_CONTENT,2
4,READ -> TEST -> SEARCH_CONTENT -> READ,2
4,SEARCH_CONTENT -> READ -> VCS -> WRITE,2
4,WRITE -> VCS -> WRITE -> WRITE,2
4,WRITE -> BUILD -> SEARCH_FILES -> SEARCH_FILES,2
4,BUILD -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,2
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> VCS,2
4,SEARCH_FILES -> SEARCH_FILES -> VCS -> WRITE,2
4,VCS -> WRITE -> VCS -> WRITE,2
4,READ -> BUILD -> READ -> WRITE,2
4,TEST -> VCS -> VCS -> VCS,2
4,VCS -> VCS -> VCS -> TEST,2
4,TEST -> READ -> TEST -> TEST,2
4,TEST -> READ -> READ -> VCS,2
4,BUILD -> SEARCH_FILES -> READ -> WRITE,2
4,SEARCH_FILES -> READ -> TEST -> TEST,2
4,TEST -> SEARCH_FILES -> WRITE -> WRITE,2
4,WRITE -> BUILD -> VCS -> BUILD,2
4,WRITE -> TEST -> SEARCH_CONTENT -> READ,2
4,SEARCH_CONTENT -> READ -> WRITE -> TEST,2
4,READ -> READ -> VCS -> WRITE,2
4,TEST -> READ -> READ -> TEST,2
4,SEARCH_CONTENT -> READ -> READ -> SEARCH_FILES,2
4,BUILD -> TEST -> TEST -> SEARCH_FILES,2
4,BUILD -> TEST -> VCS -> TEST,2
4,VCS -> TEST -> WRITE -> BUILD,2
4,WRITE -> WRITE -> WRITE -> SEARCH_FILES,2
4,WRITE -> WRITE -> SEARCH_FILES -> READ,2
4,TEST -> READ -> BUILD -> SEARCH_CONTENT,2
4,WRITE -> TEST -> WRITE -> BUILD,2
4,FILE_OPS -> TEST -> READ -> SEARCH_CONTENT,2
4,TEST -> SEARCH_CONTENT -> SEARCH_CONTENT -> READ,2
4,BUILD -> TEST -> SEARCH_CONTENT -> WRITE,2
4,READ -> SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES,2
4,SEARCH_FILES -> SEARCH_FILES -> SEARCH_FILES -> READ,2
4,TEST -> TEST -> WRITE -> BUILD,2
4,READ -> BUILD -> READ -> BUILD,2
4,READ -> SEARCH_FILES -> WRITE -> BUILD,2
4,SEARCH_FILES -> WRITE -> BUILD -> TEST,2
4,TEST -> BUILD -> TEST -> BUILD,2
4,TEST -> READ -> WRITE -> SEARCH_CONTENT,2
