bug_id,localization
Chart-2,1
Chart-4,1
Chart-14,1
Chart-15,0
Chart-16,1
Chart-18,1
Chart-19,1
Chart-21,1
Chart-22,1
Chart-25,1
Cli-1,1
Cli-7,1
Cli-10,0
Cli-13,1
Cli-14,1
Cli-16,0
Cli-18,1
Cli-21,0
Cli-22,1
Cli-23,1
Cli-26,1
Cli-30,1
Cli-31,1
Cli-33,1
Cli-34,1
Cli-36,0
Cli-39,1
Closure-3,1
Closure-4,1
Closure-6,1
Closure-9,1
Closure-16,1
Closure-21,1
Closure-24,1
Closure-25,1
Closure-26,1
Closure-27,1
Closure-29,1
Closure-30,0
Closure-32,1
Closure-34,0
Closure-37,1
Closure-39,1
Closure-41,1
Closure-43,1
Closure-45,1
Closure-47,1
Closure-49,1
Closure-50,1
Closure-51,1
Closure-53,1
Closure-54,0
Closure-60,1
Closure-64,1
Closure-68,1
Closure-72,0
Closure-74,1
Closure-75,1
Closure-76,1
Closure-79,1
Closure-80,1
Closure-84,1
Closure-85,1
Closure-89,1
Closure-90,0
Closure-98,0
Closure-99,1
Closure-100,1
Closure-103,1
Closure-105,1
Closure-106,0
Closure-108,1
Closure-110,0
Closure-115,1
Closure-116,1
Closure-117,1
Closure-134,0
Closure-135,0
Closure-136,0
Closure-137,0
Closure-138,0
Closure-139,1
Closure-140,1
Closure-141,1
Closure-142,1
Closure-143,1
Closure-144,0
Closure-147,1
Closure-148,1
Closure-149,0
Closure-151,1
Closure-153,0
Closure-154,0
Closure-155,0
Closure-156,1
Closure-157,0
Closure-158,0
Closure-160,1
Closure-162,0
Closure-163,1
Closure-164,1
Closure-165,0
Closure-167,0
Closure-169,0
Closure-171,0
Closure-173,1
Closure-174,0
Closure-175,1
Closure-176,1
Codec-1,0
Codec-6,1
Codec-8,0
Codec-11,1
Codec-12,1
Codec-13,0
Codec-14,0
Collections-25,1
Compress-2,1
Compress-3,1
Compress-4,0
Compress-6,1
Compress-9,1
Compress-10,1
Compress-11,1
Compress-20,1
Compress-22,1
Compress-29,1
Compress-33,1
Compress-34,1
Compress-35,1
Compress-39,1
Compress-40,1
Compress-42,0
Compress-43,1
Compress-47,1
Csv-7,1
Csv-8,1
Csv-13,1
Csv-16,1
Gson-1,0
Gson-3,0
Gson-4,0
Gson-7,0
Gson-8,0
Gson-9,0
Gson-14,0
JacksonCore-1,0
JacksonCore-2,1
JacksonCore-9,0
JacksonCore-10,1
JacksonCore-12,0
JacksonCore-16,1
JacksonCore-17,1
JacksonCore-18,0
JacksonCore-19,1
JacksonCore-21,1
JacksonCore-22,1
JacksonCore-24,1
JacksonDatabind-3,1
JacksonDatabind-4,1
JacksonDatabind-6,1
JacksonDatabind-8,0
JacksonDatabind-10,1
JacksonDatabind-13,0
JacksonDatabind-14,1
