bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Chart-2,1,2,0,2,0
Chart-4,1,22,0,22,0
Chart-14,1,4,0,4,0
Chart-15,1,1,0,1,0
Chart-16,1,8,0,8,0
Chart-18,1,4,0,4,0
Chart-19,1,2,0,2,0
Chart-21,1,1,0,1,0
Chart-22,1,6,0,6,0
Chart-25,0,4,4,0,0
Cli-1,1,1,0,1,0
Cli-7,1,1,0,1,0
Cli-10,1,1,0,1,0
Cli-13,1,1,0,1,0
Cli-14,1,1,0,1,0
Cli-16,1,3,0,3,0
Cli-18,1,1,0,1,0
Cli-21,1,1,0,1,0
Cli-22,1,1,0,1,0
Cli-23,1,2,0,2,0
Cli-26,1,1,0,1,0
Cli-30,1,1,0,1,0
Cli-31,1,1,0,1,0
Cli-33,1,1,0,1,0
Cli-34,1,2,0,2,0
Cli-36,1,1,0,1,0
Cli-39,1,2,0,2,0
Closure-3,0,3,0,undefined,1
Closure-4,1,3,0,3,0
Closure-6,1,3,0,3,0
Closure-9,1,1,0,1,0
Closure-16,1,2,0,2,0
Closure-21,1,1,0,1,0
Closure-24,1,1,0,1,0
Closure-25,1,1,0,1,0
Closure-26,1,7,0,7,0
Closure-27,1,3,0,3,0
Closure-29,1,5,0,5,0
Closure-30,1,3,0,3,0
Closure-32,1,4,0,4,0
Closure-34,1,1,0,1,0
Closure-37,1,1,0,1,0
Closure-39,1,2,0,2,0
Closure-41,1,3,0,3,0
Closure-43,1,2,0,2,0
Closure-45,1,1,0,1,0
Closure-47,1,16,0,16,0
Closure-49,0,66,5,61,0
Closure-50,1,2,0,2,0
Closure-51,1,1,0,1,0
Closure-53,1,1,0,1,0
Closure-54,0,3,3,0,0
Closure-60,1,2,0,2,0
Closure-64,1,1,0,1,0
Closure-68,1,1,0,1,0
Closure-72,1,1,0,1,0
Closure-74,1,3,0,3,0
Closure-75,1,1,0,1,0
Closure-76,1,4,0,4,0
Closure-79,1,5,0,5,0
Closure-80,1,2,0,2,0
Closure-84,1,1,0,1,0
Closure-85,0,2,0,undefined,1
Closure-89,1,8,0,8,0
Closure-90,0,2,2,0,0
Closure-98,1,1,0,1,0
Closure-99,1,3,0,3,0
Closure-100,1,9,0,9,0
Closure-103,1,3,0,3,0
Closure-105,1,1,0,1,0
Closure-106,0,4,1,3,0
Closure-108,1,1,0,1,0
Closure-110,1,2,0,2,0
Closure-115,0,5,52,-47,0
Closure-116,0,8,12,-4,0
Closure-117,1,1,0,1,0
Closure-134,0,2,2,0,0
Closure-135,0,2,2,0,0
Closure-136,0,4,3,1,0
Closure-137,1,5,0,5,0
Closure-138,1,5,0,5,0
Closure-139,1,3,0,3,0
Closure-140,0,1,1,0,0
Closure-141,1,8,0,8,0
Closure-142,1,2,0,2,0
Closure-143,1,3,0,3,0
Closure-144,1,84,0,84,0
Closure-147,1,3,0,3,0
Closure-148,0,6,0,undefined,1
Closure-149,1,1,0,1,0
Closure-151,1,1,0,1,0
Closure-153,1,2,0,2,0
Closure-154,1,1,0,1,0
Closure-155,1,7,0,7,0
Closure-156,0,2,0,undefined,1
Closure-157,0,12,4,8,0
Closure-158,1,2,0,2,0
Closure-160,1,1,0,1,0
Closure-162,1,1,0,1,0
Closure-163,1,3,0,3,0
Closure-164,1,3,0,3,0
Closure-165,1,1,0,1,0
Closure-167,1,3,0,3,0
Closure-169,1,2,0,2,0
Closure-171,0,3,3,0,0
Closure-173,1,3,0,3,0
Closure-174,1,3,0,3,0
Closure-175,1,5,0,5,0
Closure-176,0,1,9,-8,0
Codec-1,0,0,5,-5,0
Codec-6,1,1,0,1,0
Codec-8,1,1,0,1,0
Codec-11,0,5,2,3,0
Codec-12,1,12,0,12,0
Codec-13,1,2,0,2,0
Codec-14,1,1,0,1,0
Collections-25,1,1,0,1,0
Compress-2,1,1,0,1,0
Compress-3,1,1,0,1,0
Compress-4,1,10,0,10,0
Compress-6,1,1,0,1,0
Compress-9,1,1,0,1,0
Compress-10,1,1,0,1,0
Compress-11,1,1,0,1,0
Compress-20,1,1,0,1,0
Compress-22,1,1,0,1,0
Compress-29,1,3,0,3,0
Compress-33,1,1,0,1,0
Compress-34,1,1,0,1,0
Compress-35,1,1,0,1,0
Compress-39,1,1,0,1,0
Compress-40,1,2,0,2,0
Compress-42,1,1,0,1,0
Compress-43,1,1,0,1,0
Compress-47,0,1,14,-13,0
Csv-7,1,1,0,1,0
Csv-8,1,1,0,1,0
Csv-13,1,2,0,2,0
Csv-16,1,1,0,1,0
Gson-1,0,1,2,-1,0
Gson-3,1,2,0,2,0
Gson-4,1,3,0,3,0
Gson-7,1,3,0,3,0
Gson-8,1,2,0,2,0
Gson-9,1,1,0,1,0
Gson-14,1,7,0,7,0
JacksonCore-1,1,1,0,1,0
JacksonCore-2,1,2,0,2,0
JacksonCore-9,1,2,0,2,0
JacksonCore-10,0,4,3,1,0
JacksonCore-12,1,1,0,1,0
JacksonCore-16,1,1,0,1,0
JacksonCore-17,1,1,0,1,0
JacksonCore-18,1,1,0,1,0
JacksonCore-19,1,1,0,1,0
JacksonCore-21,1,3,0,3,0
JacksonCore-22,1,12,0,12,0
JacksonCore-24,1,8,0,8,0
JacksonDatabind-3,1,1,0,1,0
JacksonDatabind-4,1,1,0,1,0
JacksonDatabind-6,1,2,0,2,0
JacksonDatabind-8,1,1,0,1,0
JacksonDatabind-10,1,1,0,1,0
JacksonDatabind-13,0,1,1,0,0
JacksonDatabind-14,1,1,0,1,0
JacksonDatabind-15,1,1,0,1,0
JacksonDatabind-18,1,3,0,3,0
JacksonDatabind-20,1,1,0,1,0
JacksonDatabind-21,1,1,0,1,0
JacksonDatabind-22,1,1,0,1,0
JacksonDatabind-23,1,1,0,1,0
JacksonDatabind-25,1,1,0,1,0
JacksonDatabind-29,1,1,0,1,0
JacksonDatabind-30,1,1,0,1,0
JacksonDatabind-31,1,1,0,1,0
JacksonDatabind-32,1,1,0,1,0
JacksonDatabind-36,1,1,0,1,0
JacksonDatabind-38,1,3,0,3,0
JacksonDatabind-41,1,1,0,1,0
JacksonDatabind-43,1,1,0,1,0
JacksonDatabind-48,1,1,0,1,0
JacksonDatabind-50,1,1,0,1,0
JacksonDatabind-52,1,1,0,1,0
JacksonDatabind-53,1,1,0,1,0
JacksonDatabind-54,1,1,0,1,0
JacksonDatabind-55,1,1,0,1,0
JacksonDatabind-56,1,1,0,1,0
JacksonDatabind-59,1,1,0,1,0
JacksonDatabind-60,1,2,0,2,0
JacksonDatabind-61,1,1,0,1,0
JacksonDatabind-65,1,1,0,1,0
JacksonDatabind-66,1,1,0,1,0
