bug_id,input_token,output_token,time_duration
Chart_14,80677,6452,340.0
Chart_15,86432,3266,268.0
Chart_16,52212,6976,397.0
Chart_18,87702,10435,481.0
Chart_19,61547,3730,187.0
Chart_2,40570,5165,242.0
Chart_21,49392,4062,254.0
Chart_22,31468,4943,215.0
Chart_25,58776,3989,251.0
Chart_4,146181,6471,586.0
Cli_1,23531,2552,97.0
Cli_10,19708,1707,73.0
Cli_13,52637,5223,247.0
Cli_14,32246,2492,192.0
Cli_16,96901,7053,372.0
Cli_18,18173,2966,126.0
Cli_21,41696,3662,222.0
Cli_22,41175,3571,202.0
Cli_23,39775,7765,425.0
Cli_26,14389,1619,97.0
Cli_30,44213,3507,172.0
Cli_31,35103,3095,199.0
Cli_33,33033,3474,147.0
Cli_34,42010,4113,225.0
Cli_36,26310,2762,92.0
Cli_39,22188,1790,108.0
Cli_7,31482,4050,86.0
Closure_100,24964,8473,230.0
Closure_103,69355,4054,403.0
Closure_105,32561,3636,227.0
Closure_106,127698,12345,1040.0
Closure_108,36138,3512,343.0
Closure_110,44645,3350,277.0
Closure_115,116306,12194,1335.0
Closure_116,119787,11000,1540.0
Closure_117,61414,4432,476.0
Closure_134,129165,6340,977.0
Closure_135,125111,17165,905.0
Closure_136,116559,10868,728.0
Closure_137,121877,16975,1194.0
Closure_138,94488,12839,741.0
Closure_139,93710,6779,741.0
Closure_140,105777,11327,1111.0
Closure_141,86973,6589,342.0
Closure_142,52226,4465,291.0
Closure_143,82733,4444,361.0
Closure_144,127439,12500,1028.0
Closure_147,46694,3161,199.0
Closure_148,83168,9120,672.0
Closure_149,81061,11830,618.0
Closure_151,43378,2827,276.0
Closure_153,61352,4656,580.0
Closure_154,42481,4322,388.0
Closure_155,103331,10813,577.0
Closure_156,107374,12595,881.0
Closure_157,155634,30127,1520.0
Closure_158,44720,4273,221.0
Closure_16,32381,2724,236.0
Closure_160,54042,2658,278.0
Closure_162,40565,3666,339.0
Closure_163,50283,6663,405.0
Closure_164,49485,4262,246.0
Closure_165,124230,8942,862.0
Closure_167,92836,8803,803.0
Closure_169,93654,4632,602.0
Closure_171,142868,18027,1017.0
Closure_173,204400,12642,1565.0
Closure_174,48823,5256,504.0
Closure_175,78787,5532,662.0
Closure_176,80893,4786,855.0
Closure_21,62839,9712,483.0
Closure_24,36056,3264,375.0
Closure_25,52245,4557,211.0
Closure_26,18362,1829,248.0
Closure_27,28261,3594,321.0
Closure_29,70349,12669,954.0
Closure_3,59791,3164,355.0
Closure_30,86310,14605,964.0
Closure_32,48800,3278,368.0
Closure_34,47612,3387,288.0
Closure_37,59452,4983,487.0
Closure_39,43670,3235,231.0
Closure_4,54344,3275,379.0
Closure_41,75470,5127,900.0
Closure_43,59496,4557,393.0
Closure_45,33454,3518,223.0
Closure_47,74959,4705,351.0
Closure_49,172448,20830,1786.0
Closure_50,31886,4057,214.0
Closure_51,35794,4219,275.0
Closure_53,17409,2259,215.0
Closure_54,135720,15815,811.0
Closure_6,70931,2774,430.0
Closure_60,71595,3761,426.0
Closure_64,39845,3178,344.0
Closure_68,57426,2776,383.0
Closure_72,42973,4183,303.0
Closure_74,92470,7276,385.0
Closure_75,41569,1860,322.0
Closure_76,40693,7522,390.0
Closure_79,62683,3302,310.0
Closure_80,29744,2695,211.0
Closure_84,104659,13850,687.0
Closure_85,91325,12995,1016.0
Closure_89,122729,9277,634.0
Closure_9,24029,3462,301.0
Closure_90,140292,11800,1073.0
Closure_98,41554,3655,376.0
Closure_99,12882,5902,170.0
Codec_1,24224,1612,115.0
Codec_11,83813,19848,957.0
Codec_12,50243,4808,362.0
Codec_13,72085,3442,112.0
Codec_14,95833,7770,293.0
Codec_6,28101,2363,95.0
Codec_8,32026,3451,126.0
Collections_25,37182,2620,184.0
Compress_10,21399,2509,104.0
Compress_11,24056,3609,158.0
Compress_2,27957,7078,187.0
Compress_20,25440,3129,152.0
Compress_22,25256,3692,207.0
Compress_29,142203,15261,514.0
Compress_3,38410,2782,151.0
Compress_33,45413,3760,140.0
Compress_34,20379,2921,146.0
Compress_35,30082,3249,169.0
Compress_39,13125,2524,137.0
Compress_4,68416,4662,404.0
Compress_40,20319,5299,185.0
