bug_id,input_token,output_token,time_duration
Chart_14,85116,2013,340.0
Chart_15,87865,1833,268.0
Chart_16,58791,397,397.0
Chart_18,96545,1592,481.0
Chart_19,63803,1474,187.0
Chart_2,45311,424,242.0
Chart_21,51878,1576,254.0
Chart_22,35332,1079,215.0
Chart_25,61098,1667,251.0
Chart_4,148537,4115,586.0
Cli_1,25237,846,97.0
Cli_10,20387,1028,73.0
Cli_13,55718,2143,247.0
Cli_14,34013,725,192.0
Cli_16,99942,4012,372.0
Cli_18,20471,668,126.0
Cli_21,44252,1106,222.0
Cli_22,43938,808,202.0
Cli_23,47057,483,425.0
Cli_26,15296,712,97.0
Cli_30,45923,1797,172.0
Cli_31,37169,1029,199.0
Cli_33,35068,1439,147.0
Cli_34,45312,811,225.0
Cli_36,27625,1447,92.0
Cli_39,23066,912,108.0
Cli_7,34496,1036,86.0
Closure_100,32897,540,230.0
Closure_103,71279,2130,403.0
Closure_105,35754,443,227.0
Closure_106,138225,1818,1040.0
Closure_108,38597,1053,343.0
Closure_110,46470,1525,277.0
Closure_115,126288,2212,1335.0
Closure_116,128143,2644,1540.0
Closure_117,64325,1521,476.0
Closure_134,132904,2601,977.0
Closure_135,141609,667,905.0
Closure_136,126165,1262,728.0
Closure_137,138195,657,1194.0
Closure_138,105299,2028,741.0
Closure_139,98092,2397,741.0
Closure_140,116119,985,1111.0
Closure_141,91884,1678,342.0
Closure_142,54399,2292,291.0
Closure_143,84680,2497,361.0
Closure_144,137125,2814,1028.0
Closure_147,47876,1979,199.0
Closure_148,90904,1384,672.0
Closure_149,90159,2732,618.0
Closure_151,44836,1369,276.0
Closure_153,64343,1665,580.0
Closure_154,45373,1430,388.0
Closure_155,111628,2516,577.0
Closure_156,118301,1668,881.0
Closure_157,185281,480,1520.0
Closure_158,47590,1403,221.0
Closure_16,34050,1055,236.0
Closure_160,55356,1344,278.0
Closure_162,43187,1044,339.0
Closure_163,55853,1093,405.0
Closure_164,52188,1559,246.0
Closure_165,132040,1132,862.0
