bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
Chart_14,2,1,0,0,0,6,0,7,7,8,0,1,0,27
Chart_15,0,0,0,0,0,2,0,6,3,5,0,6,0,22
Chart_16,2,0,0,0,0,15,0,6,3,6,0,12,1,19
Chart_18,1,0,0,0,4,12,0,15,7,7,0,55,1,27
Chart_19,2,0,0,0,0,0,0,3,1,6,0,3,0,15
Chart_2,2,0,0,0,0,3,0,2,2,8,0,1,0,15
Chart_21,1,0,0,0,0,9,0,6,3,5,0,3,0,16
Chart_22,3,0,0,0,0,0,0,1,3,8,0,6,0,11
Chart_25,3,0,0,0,0,4,0,3,9,3,0,11,0,24
Chart_4,2,0,0,0,1,8,0,26,5,6,2,3,0,66
Cli_1,2,0,0,0,0,2,0,1,2,5,0,0,0,9
Cli_10,1,0,0,0,0,0,0,0,4,3,0,0,0,9
Cli_13,1,0,0,0,3,3,0,8,6,4,0,4,0,21
Cli_14,0,0,0,0,0,1,0,2,1,4,0,1,0,19
Cli_16,5,1,0,0,0,2,0,6,4,8,0,6,0,29
Cli_18,3,1,0,0,0,0,0,0,4,4,0,4,0,9
Cli_21,2,0,0,0,0,0,0,4,8,4,0,6,0,21
Cli_22,2,1,0,0,0,1,0,0,4,5,0,11,0,14
Cli_23,13,1,0,0,1,0,0,1,2,10,0,2,0,15
Cli_26,2,0,0,0,0,0,0,3,2,4,0,0,0,10
Cli_30,2,0,0,0,0,0,0,3,3,3,0,0,0,24
Cli_31,2,0,0,0,0,0,0,3,4,3,0,2,0,17
Cli_33,2,0,0,0,0,2,0,3,1,4,0,1,0,16
Cli_34,1,1,0,0,0,1,0,3,3,6,1,0,1,24
Cli_36,1,0,0,0,0,0,0,0,3,5,0,0,0,8
Cli_39,1,0,0,0,0,0,0,1,2,3,0,0,0,11
Cli_7,1,0,0,0,1,0,0,1,1,5,0,1,0,9
Closure_100,2,0,0,0,0,0,0,1,1,4,0,8,0,4
Closure_103,3,0,0,0,0,3,0,7,1,8,0,5,0,29
Closure_105,2,0,0,0,0,2,0,6,1,5,0,3,0,14
Closure_106,16,1,0,0,1,5,0,7,2,7,0,17,0,37
Closure_108,2,0,0,0,2,4,0,2,2,8,0,6,0,16
Closure_110,0,0,0,0,0,4,0,0,1,4,0,3,0,14
Closure_115,9,0,0,13,9,10,2,12,5,23,5,25,0,33
Closure_116,2,0,0,0,4,10,2,11,4,28,2,9,0,49
Closure_117,4,0,0,0,0,5,0,6,3,4,0,14,0,26
Closure_134,4,0,0,0,0,0,0,23,3,8,0,9,0,68
Closure_135,34,0,0,0,13,0,0,9,1,5,0,2,0,59
Closure_136,1,0,0,0,0,3,0,9,2,12,0,11,0,39
Closure_137,39,0,0,0,0,8,0,5,3,7,0,16,0,23
Closure_138,5,0,0,0,5,2,0,8,4,9,0,18,1,31
Closure_139,3,0,0,0,0,6,0,5,2,14,0,1,0,37
Closure_140,3,0,0,0,4,5,0,18,1,15,2,7,0,51
Closure_141,0,0,0,4,0,4,0,8,2,5,0,4,1,30
Closure_142,1,0,0,0,0,2,0,4,1,6,0,2,0,24
Closure_143,2,0,0,0,0,1,0,8,1,8,0,5,0,35
Closure_144,2,0,0,2,9,9,0,17,5,30,5,3,0,44
Closure_147,5,0,0,0,0,0,0,1,1,6,0,1,0,14
Closure_148,8,0,0,0,0,4,3,8,3,14,1,8,0,30
Closure_149,9,0,0,0,12,29,0,11,3,11,0,22,0,42
Closure_151,1,0,0,0,0,1,0,3,4,6,0,5,0,20
Closure_153,1,0,0,0,3,9,0,13,2,12,0,2,0,24
Closure_154,3,1,0,0,0,5,0,2,2,8,0,8,0,17
Closure_155,2,0,0,0,0,1,0,7,3,6,0,5,0,25
Closure_156,14,0,0,0,1,3,0,6,1,12,0,15,0,30
Closure_157,11,0,0,0,14,2,0,31,4,31,0,1,0,67
Closure_158,2,0,0,1,2,0,0,3,2,4,0,6,0,16
Closure_16,2,0,0,0,0,2,0,3,3,5,0,8,0,12
Closure_160,2,0,0,0,1,2,0,3,5,5,0,11,0,28
Closure_162,3,0,0,0,0,5,0,4,3,4,0,16,0,9
Closure_163,3,0,0,0,0,3,0,3,4,12,0,14,0,13
Closure_164,2,0,0,0,1,2,0,3,2,5,0,4,0,12
Closure_165,7,0,0,0,0,13,0,29,3,13,0,6,0,58
Closure_167,13,0,0,0,3,7,0,16,3,5,0,5,0,61
Closure_169,1,0,0,0,1,1,0,12,3,9,0,7,0,44
Closure_171,8,0,0,2,6,6,0,24,2,6,0,1,0,54
Closure_173,5,0,0,0,4,9,0,15,1,20,0,3,0,58
Closure_174,0,0,0,0,0,1,0,6,3,5,0,7,0,24
Closure_175,5,0,0,0,3,1,0,8,1,8,0,8,0,36
Closure_176,3,0,0,0,0,3,0,17,5,9,0,6,0,36
Closure_21,15,0,0,1,0,4,0,3,3,3,0,36,1,10
Closure_24,1,0,0,0,0,2,0,1,1,6,0,7,0,7
Closure_25,0,0,0,0,0,0,0,2,1,6,0,1,0,13
Closure_26,2,0,0,0,0,1,0,1,2,4,0,6,0,8
Closure_27,0,0,0,0,0,4,0,3,3,9,0,7,0,18
Closure_29,9,0,0,1,0,3,0,7,1,16,1,20,0,23
Closure_3,1,0,0,0,0,6,0,5,3,7,0,9,0,14
