bug,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other
Chart_14,50,2,5,0,3,0,0,7,31
Chart_15,33,0,1,0,2,0,0,3,26
Chart_16,36,0,0,0,4,1,0,3,25
Chart_18,47,0,0,0,6,1,0,7,33
Chart_19,21,1,2,0,2,0,0,1,14
Chart_2,25,2,5,0,2,0,0,2,13
Chart_21,30,1,3,0,2,0,0,2,21
Chart_22,22,0,3,0,2,0,1,2,13
Chart_25,27,0,0,0,2,0,1,5,18
Chart_4,94,0,4,0,2,0,0,4,84
Cli_1,18,2,2,0,1,0,0,2,10
Cli_10,14,1,1,0,1,0,0,2,8
Cli_13,43,1,2,0,2,0,0,6,31
Cli_14,25,0,2,0,2,0,0,1,19
Cli_16,48,3,6,0,3,0,0,4,30
Cli_18,16,2,2,0,1,0,0,2,8
Cli_21,31,0,0,0,1,0,0,4,25
Cli_22,21,0,2,0,1,0,0,3,14
Cli_23,42,8,6,0,2,0,0,2,16
Cli_26,17,2,1,0,1,0,0,2,10
Cli_30,33,2,1,0,1,0,0,3,24
Cli_31,30,2,2,0,1,0,0,1,21
Cli_33,26,2,1,0,2,0,0,1,19
Cli_34,35,1,5,0,1,1,0,3,21
Cli_36,16,1,3,0,1,0,0,1,9
Cli_39,17,1,1,0,1,0,0,2,11
Cli_7,17,1,3,0,1,0,0,1,11
Closure_100,10,0,0,0,1,0,0,1,7
Closure_103,46,1,3,0,2,0,0,1,37
Closure_105,26,2,1,0,3,0,0,1,18
Closure_106,74,0,2,0,2,0,0,2,57
Closure_108,25,0,2,0,2,0,0,2,19
Closure_110,20,0,1,0,2,0,0,1,15
Closure_115,70,0,5,0,6,0,0,4,55
Closure_116,91,0,22,0,5,0,1,4,55
Closure_117,36,0,0,0,3,0,0,3,28
Closure_134,79,0,1,0,3,0,0,3,69
Closure_135,81,14,1,0,1,0,8,1,56
Closure_136,55,0,5,0,2,0,0,2,42
Closure_137,63,2,2,0,2,0,13,2,31
Closure_138,48,1,1,0,2,0,0,3,40
Closure_139,58,0,10,0,4,0,0,2,37
Closure_140,68,0,6,0,7,0,2,1,52
Closure_141,41,0,3,0,2,1,0,1,32
Closure_142,36,1,4,0,2,0,0,1,26
Closure_143,47,1,4,0,2,0,0,1,37
Closure_144,94,2,26,0,3,0,0,5,57
Closure_147,25,2,3,0,2,0,2,1,13
Closure_148,55,7,4,0,4,0,0,3,32
Closure_149,61,0,0,0,6,0,0,2,53
Closure_151,31,0,1,0,2,0,0,2,24
Closure_153,51,1,9,0,3,0,0,2,36
Closure_154,31,1,3,0,2,0,0,2,21
Closure_155,35,0,2,0,1,0,0,3,28
Closure_156,59,2,1,0,2,0,5,1,39
Closure_157,135,9,18,0,6,0,0,3,99
Closure_158,25,2,0,0,2,0,0,2,18
Closure_16,21,0,0,0,2,0,0,1,17
Closure_160,35,0,0,0,2,0,0,2,31
Closure_162,20,0,0,0,3,0,0,3,13
Closure_163,29,1,4,0,3,0,0,2,16
Closure_164,21,0,1,0,2,0,0,2,16
Closure_165,97,0,12,0,1,0,6,3,71
Closure_167,75,5,3,0,2,0,0,3,60
Closure_169,56,0,6,0,3,0,0,3,44
Closure_171,83,4,3,0,3,0,1,2,69
Closure_173,87,5,11,0,6,0,0,1,63
Closure_174,31,0,0,0,2,0,0,3,25
Closure_175,49,0,2,0,2,0,0,1,44
Closure_176,64,2,5,0,3,0,1,4,47
Closure_21,25,0,0,0,1,1,0,2,19
Closure_24,16,0,0,0,3,0,0,1,10
Closure_25,22,0,5,0,1,0,0,1,14
Closure_26,15,0,0,0,2,0,0,2,10
Closure_27,24,0,3,0,3,0,0,2,14
Closure_29,47,0,4,0,5,0,1,1,31
Closure_3,25,1,3,0,4,0,0,3,13
Closure_30,44,0,1,0,3,0,0,4,30
Closure_32,28,0,1,0,1,0,0,2,23
Closure_34,25,0,1,0,1,0,0,1,20
Closure_37,40,3,3,0,4,0,0,3,25
Closure_39,26,0,2,0,2,0,0,1,20
Closure_4,30,0,0,0,2,0,0,1,26
Closure_41,57,0,0,0,2,0,0,2,53
Closure_43,32,0,0,0,2,0,0,2,28
Closure_45,20,0,0,0,2,0,0,2,15
Closure_47,37,0,4,0,1,0,1,1,28
Closure_49,100,3,31,0,2,0,0,3,52
Closure_50,25,0,2,0,1,0,0,1,19
Closure_51,21,0,3,0,3,0,0,1,13
Closure_53,16,0,0,0,2,0,0,1,13
Closure_54,69,11,4,0,3,0,0,1,42
Closure_6,43,0,5,0,2,0,0,2,33
Closure_60,37,1,8,0,2,0,0,1,23
Closure_64,26,0,1,0,2,0,0,1,21
Closure_68,34,0,0,0,2,0,0,2,29
Closure_72,29,0,1,0,2,0,0,3,23
Closure_74,38,0,8,0,1,0,0,3,25
Closure_75,25,1,2,0,3,0,0,2,16
Closure_76,21,0,2,0,4,0,0,1,12
Closure_79,43,1,4,0,1,0,4,1,30
Closure_80,28,2,5,0,2,0,0,2,16
Closure_84,67,0,0,0,6,0,0,5,56
Closure_85,55,0,10,0,7,0,1,2,32
Closure_89,54,0,13,0,6,0,0,5,30
Closure_9,24,0,1,0,2,1,0,3,12
Closure_90,93,0,3,0,2,0,3,2,82
Closure_98,35,2,1,0,3,0,0,3,25
Closure_99,10,0,0,0,1,0,0,1,6
Codec_1,19,0,0,0,1,0,0,3,15
Codec_11,66,0,23,0,4,0,0,1,26
Codec_12,21,1,2,0,1,0,0,2,13
Codec_13,26,0,2,0,2,0,0,2,19
Codec_14,41,2,3,0,2,0,0,4,28
Codec_6,14,2,0,0,1,0,0,1,9
Codec_8,20,0,2,0,1,0,0,1,16
Collections_25,25,1,2,0,2,0,0,3,17
Compress_10,16,2,3,0,1,0,0,1,8
Compress_11,23,0,1,0,2,0,0,1,19
Compress_2,19,3,2,0,1,0,0,3,8
Compress_20,23,0,3,0,2,0,0,1,16
Compress_22,19,0,3,0,1,0,0,2,13
Compress_29,57,6,4,0,1,0,2,4,39
Compress_3,28,0,5,0,1,0,0,1,20
Compress_33,24,2,0,0,3,0,0,2,15
Compress_34,16,1,2,0,2,0,1,1,8
Compress_35,19,1,6,0,2,0,0,1,8
Compress_39,18,0,0,0,3,0,0,3,12
Compress_4,44,0,3,0,2,0,1,6,31
Compress_40,15,2,1,0,3,0,0,1,7
Compress_42,24,1,1,0,4,0,0,1,16
Compress_43,21,0,0,0,2,0,0,1,17
Compress_47,36,2,0,0,3,0,0,1,25
Compress_6,12,1,3,0,1,0,0,2,4
Compress_9,15,0,0,0,1,0,0,1,12
Csv_13,20,0,0,0,1,0,0,3,14
Csv_16,17,0,2,0,3,0,0,1,11
Csv_7,29,1,2,0,2,0,0,2,21
Csv_8,15,0,2,0,2,0,0,1,10
Gson_1,32,3,2,0,3,0,0,1,20
Gson_14,31,0,11,0,4,0,0,1,12
Gson_3,14,1,2,0,3,0,0,1,6
Gson_4,25,1,2,0,2,0,0,2,16
Gson_7,29,1,2,0,2,0,0,1,19
Gson_8,11,1,2,0,1,0,0,1,5
Gson_9,57,2,3,0,3,0,1,7,38
JacksonCore_1,21,1,3,0,2,0,0,1,13
JacksonCore_10,56,0,0,0,13,0,0,3,40
JacksonCore_12,51,2,2,1,2,0,0,1,36
JacksonCore_16,37,0,0,0,5,0,0,2,26
JacksonCore_17,17,1,1,0,3,0,0,2,9
JacksonCore_18,27,0,2,0,1,0,0,1,23
JacksonCore_19,32,1,0,0,2,0,0,1,26
JacksonCore_2,74,4,4,0,4,0,0,3,45
JacksonCore_21,15,0,2,0,2,0,0,1,10
JacksonCore_22,28,0,0,0,2,0,0,4,21
JacksonCore_24,37,0,7,0,4,1,0,2,19
JacksonCore_9,24,0,2,0,1,0,0,2,19
JacksonDatabind_10,41,2,5,0,2,0,0,3,26
JacksonDatabind_103,74,1,10,0,5,0,0,5,47
JacksonDatabind_104,21,0,0,0,3,0,0,2,15
JacksonDatabind_105,45,2,1,0,3,0,0,2,36
JacksonDatabind_108,38,0,2,0,2,0,0,2,31
JacksonDatabind_109,59,3,5,0,3,1,0,2,36
JacksonDatabind_110,33,1,5,0,3,0,2,4,17
JacksonDatabind_111,63,0,4,0,3,0,0,2,43
JacksonDatabind_13,58,0,6,0,2,0,2,6,40
JacksonDatabind_14,48,1,7,0,4,0,0,1,31
JacksonDatabind_15,46,1,6,0,2,0,3,4,25
JacksonDatabind_18,38,1,5,0,3,0,0,1,28
JacksonDatabind_20,36,0,1,0,2,0,0,3,30
JacksonDatabind_21,34,1,1,0,4,0,0,2,25
JacksonDatabind_22,38,1,4,0,2,0,0,4,27
JacksonDatabind_23,35,1,6,0,2,0,0,2,24
JacksonDatabind_25,48,0,3,0,2,0,0,2,41
JacksonDatabind_29,73,0,0,0,2,1,0,5,65
JacksonDatabind_3,24,0,3,0,2,0,0,2,16
JacksonDatabind_30,40,0,2,0,2,0,0,2,31
JacksonDatabind_31,44,1,5,0,2,0,0,2,30
JacksonDatabind_32,37,2,7,0,2,0,0,4,21
JacksonDatabind_36,56,0,7,0,2,0,1,3,39
JacksonDatabind_38,44,3,1,0,3,0,0,3,31
JacksonDatabind_4,40,1,3,0,2,1,0,3,30
JacksonDatabind_41,37,1,0,0,4,0,0,2,29
JacksonDatabind_43,25,2,3,0,3,0,0,2,14
JacksonDatabind_48,50,1,4,0,5,0,0,1,39
JacksonDatabind_50,70,0,3,0,4,0,0,1,58
JacksonDatabind_52,45,1,4,0,2,0,0,2,34
JacksonDatabind_53,83,0,4,0,2,0,0,3,74
JacksonDatabind_54,28,2,4,0,2,0,0,3,14
JacksonDatabind_55,35,0,3,0,2,0,0,1,28
JacksonDatabind_56,36,0,3,0,3,0,0,3,25
JacksonDatabind_59,66,1,3,0,4,0,3,2,52
JacksonDatabind_6,35,0,2,0,2,1,0,2,28
JacksonDatabind_60,39,0,1,0,2,0,0,4,29
JacksonDatabind_61,28,0,3,0,2,0,0,3,19
JacksonDatabind_65,25,1,2,0,3,0,0,2,16
JacksonDatabind_66,32,1,3,0,4,0,0,2,21
JacksonDatabind_68,50,0,7,0,2,0,0,3,38
JacksonDatabind_69,40,1,2,0,3,0,0,1,33
JacksonDatabind_72,19,0,3,0,2,0,0,2,11
JacksonDatabind_73,56,0,8,0,2,0,0,2,40
JacksonDatabind_75,42,1,1,0,4,0,0,2,33
JacksonDatabind_77,52,3,4,0,3,0,0,1,41
JacksonDatabind_78,37,0,2,0,3,0,0,4,24
JacksonDatabind_79,44,0,11,0,3,0,1,3,24
JacksonDatabind_8,39,0,5,0,3,0,0,3,26
JacksonDatabind_80,35,2,2,0,4,0,0,2,24
JacksonDatabind_81,22,0,0,0,4,0,0,1,16
JacksonDatabind_87,23,2,0,0,3,0,0,3,14
JacksonDatabind_90,33,0,4,0,2,0,1,3,23
JacksonDatabind_94,21,1,2,0,2,0,0,3,11
JacksonDatabind_95,30,2,4,0,2,0,0,2,20
JacksonXml_1,35,1,5,0,4,0,0,3,22
JacksonXml_2,17,0,0,0,2,0,0,2,13
JacksonXml_6,26,0,0,0,5,0,0,1,20
Jsoup_11,19,0,0,0,3,0,0,2,14
Jsoup_12,24,0,0,0,2,0,0,2,20
Jsoup_14,33,0,2,0,2,0,0,1,26
Jsoup_16,16,1,1,0,3,0,0,2,8
Jsoup_18,23,2,1,0,2,0,0,2,16
Jsoup_21,21,1,5,0,2,0,0,1,9
Jsoup_22,21,0,2,0,2,0,0,1,14
Jsoup_23,11,0,2,0,1,0,0,2,4
Jsoup_28,19,1,3,0,1,0,0,2,12
Jsoup_29,17,1,2,0,2,0,0,1,10
Jsoup_3,45,5,2,0,1,0,0,1,31
Jsoup_30,14,0,2,0,2,0,0,1,8
Jsoup_31,21,0,0,0,1,0,0,3,17
Jsoup_36,13,1,3,0,1,0,0,2,5
Jsoup_4,23,1,6,0,1,0,0,1,13
Jsoup_42,18,0,0,0,2,0,0,1,14
Jsoup_50,15,1,2,0,2,0,0,1,9
Jsoup_52,22,0,2,0,2,0,0,3,13
Jsoup_56,26,0,1,0,2,0,0,2,16
Jsoup_58,34,0,6,0,5,0,0,1,17
Jsoup_59,29,1,2,0,2,0,0,1,22
Jsoup_60,33,0,3,0,2,0,0,1,27
Jsoup_63,52,3,2,0,5,0,0,2,40
Jsoup_65,31,1,3,0,2,0,0,1,22
Jsoup_66,65,0,11,0,7,0,0,1,37
Jsoup_67,39,1,5,0,2,0,0,1,30
Jsoup_7,50,8,6,0,5,0,0,3,28
Jsoup_71,64,2,1,0,5,0,0,1,49
Jsoup_73,20,0,6,0,2,0,0,1,10
Jsoup_74,25,2,1,0,3,0,0,1,17
Jsoup_78,25,1,3,0,2,0,0,1,18
Jsoup_79,21,2,5,0,2,0,0,2,10
Jsoup_81,21,1,1,0,4,0,0,1,13
Jsoup_83,59,7,4,0,5,0,0,2,34
Jsoup_87,32,0,2,0,2,0,0,2,25
Jsoup_91,48,0,4,0,1,0,0,5,37
Jsoup_92,47,0,0,0,4,0,0,2,41
JxPath_1,56,0,0,0,2,0,0,2,52
JxPath_11,46,0,3,0,3,0,0,1,35
JxPath_13,16,0,1,0,2,0,0,1,11
JxPath_15,19,0,0,0,2,0,0,1,15
JxPath_16,20,2,2,0,1,0,0,1,14
JxPath_17,11,1,1,0,1,0,0,1,5
JxPath_18,31,3,1,0,3,0,0,1,21
JxPath_19,24,0,3,0,2,0,0,3,14
JxPath_2,20,1,2,0,2,0,0,1,13
JxPath_20,27,0,1,0,2,0,0,2,21
JxPath_3,48,0,6,0,3,0,0,1,35
JxPath_4,51,1,12,0,1,0,0,5,28
JxPath_7,32,2,2,0,2,0,0,3,18
JxPath_9,43,8,3,0,1,0,0,2,23
Lang_13,14,1,1,0,2,0,1,3,5
Lang_15,28,2,1,0,2,0,1,1,21
Lang_19,14,1,3,0,2,0,0,2,5
Lang_20,15,0,1,0,2,0,0,2,9
Lang_23,18,1,1,0,2,0,0,1,13
Lang_27,20,1,2,0,2,0,0,2,13
Lang_30,41,0,5,0,2,0,0,1,29
Lang_32,23,0,1,0,1,0,0,2,18
Lang_34,33,1,2,0,1,0,0,2,27
Lang_35,21,1,2,0,1,0,0,1,15
Lang_36,31,1,2,0,2,0,0,3,21
Lang_4,11,2,1,0,1,0,0,2,4
Lang_41,41,0,3,0,4,0,0,1,31
Lang_46,38,5,4,0,2,0,0,4,18
Lang_47,20,0,0,0,1,0,0,1,17
Lang_5,16,1,1,0,2,0,0,1,11
Lang_50,45,1,6,0,2,0,0,2,31
Lang_56,20,1,2,0,2,0,0,1,14
Lang_60,19,0,3,0,2,0,0,1,12
Lang_62,18,0,3,0,1,0,0,2,10
Lang_63,18,0,2,0,2,0,0,1,12
Lang_64,16,1,0,0,1,0,0,2,11
Lang_65,64,7,7,0,11,0,0,3,29
Lang_7,17,1,1,0,2,0,0,1,11
Lang_8,17,1,3,0,2,0,0,1,9
Math_1,25,1,2,0,2,0,0,3,15
Math_100,30,2,0,0,3,0,0,1,24
Math_106,12,1,3,0,2,0,0,1,5
Math_12,11,3,2,0,1,0,0,1,3
Math_14,17,0,5,0,3,0,0,1,6
Math_15,17,1,4,0,1,0,0,1,9
Math_16,20,0,0,0,2,0,0,2,15
Math_18,64,2,2,0,2,1,11,2,33
Math_21,54,0,12,0,2,0,2,4,34
Math_22,17,0,2,0,2,0,0,3,10
Math_23,17,1,4,0,1,0,0,1,9
Math_24,13,0,1,0,1,0,0,2,9
