bug,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,run_shell_command_sed,run_shell_command_defects4j,run_shell_command_grep,run_shell_command_ls,run_shell_command_echo,run_shell_command_apply_patch,run_shell_command_nl,run_shell_command_awk,run_shell_command_ant,run_shell_command_tail,run_shell_command_find,run_shell_command_cat,run_shell_command_python,run_shell_command_applypatch,run_shell_command_java,run_shell_command_javap,run_shell_command_git,run_shell_command_rg,run_shell_command_wc,run_shell_command_run_bug_exposing_tests.sh,run_shell_command_run_all_tests_trace.sh
Chart_14,48,2,5,0,3,0,0,7,0,22,7,7,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1
Chart_15,32,0,1,0,2,0,0,3,0,19,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chart_16,33,0,0,0,4,1,0,3,0,13,0,6,3,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chart_18,47,0,0,0,6,1,0,7,4,14,0,4,7,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chart_19,20,1,2,0,2,0,0,1,0,10,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chart_2,24,2,5,0,2,0,0,2,0,11,7,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chart_21,29,1,3,0,2,0,0,2,0,13,4,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chart_22,21,0,3,0,2,0,1,2,0,8,3,1,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Chart_25,26,0,0,0,2,0,1,5,0,9,0,3,5,5,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Chart_4,94,0,4,0,2,0,0,4,2,51,4,26,4,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Cli_1,17,2,2,0,1,0,0,2,0,7,4,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cli_10,13,1,1,0,1,0,0,2,0,7,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cli_13,42,1,2,0,2,0,0,6,0,20,3,8,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Cli_14,24,0,2,0,2,0,0,1,0,17,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cli_16,46,3,6,0,3,0,0,4,1,23,9,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
Cli_18,15,2,2,0,1,0,0,2,1,6,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Cli_21,30,0,0,0,1,0,0,4,0,15,0,4,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Cli_22,20,0,2,0,1,0,0,3,0,11,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli_23,34,8,6,0,2,0,0,2,1,12,14,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Cli_26,16,2,1,0,1,0,0,2,0,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cli_30,31,2,1,0,1,0,0,3,0,22,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cli_31,27,2,2,0,1,0,0,1,0,15,4,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
Cli_33,25,2,1,0,2,0,0,1,0,14,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cli_34,32,1,5,0,1,1,0,3,0,18,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cli_36,15,1,3,0,1,0,0,1,0,7,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Cli_39,16,1,1,0,1,0,0,2,0,10,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cli_7,17,1,3,0,1,0,0,1,0,9,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_100,9,0,0,0,1,0,0,1,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_103,44,1,3,0,2,0,0,1,0,25,4,7,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Closure_105,25,2,1,0,3,0,0,1,0,10,3,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
Closure_106,63,0,2,0,2,0,0,2,10,30,2,7,2,11,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Closure_108,25,0,2,0,2,0,0,2,0,10,2,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_110,19,0,1,0,2,0,0,1,0,9,1,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_115,70,0,5,0,6,0,0,4,3,20,5,6,4,14,9,2,0,0,0,0,0,2,0,0,0,0,0,0,1,4
Closure_116,87,0,22,0,5,0,1,4,1,35,22,9,4,0,3,2,1,0,1,0,0,2,1,0,0,0,0,0,1,4
Closure_117,34,0,0,0,3,0,0,3,1,16,0,4,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Closure_134,76,0,1,0,3,0,0,3,0,42,1,23,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Closure_135,81,14,1,0,1,0,8,1,1,33,15,9,1,0,13,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
Closure_136,51,0,5,0,2,0,0,2,0,28,5,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Closure_137,52,2,2,0,2,0,13,2,0,18,4,5,2,6,0,2,0,11,0,0,0,0,0,2,0,0,0,0,1,0
Closure_138,47,1,1,0,2,0,0,3,0,21,2,7,3,8,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Closure_139,53,0,10,0,4,0,0,2,3,26,10,3,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,3
Closure_140,68,0,6,0,7,0,2,1,0,23,6,18,1,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,1,6
Closure_141,39,0,3,0,2,1,0,1,0,20,3,8,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Closure_142,34,1,4,0,2,0,0,1,0,22,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Closure_143,45,1,4,0,2,0,0,1,0,23,5,8,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_144,93,2,26,0,3,0,0,5,2,27,28,16,5,0,9,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2
Closure_147,23,2,3,0,2,0,2,1,0,12,5,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
Closure_148,50,7,4,0,4,0,0,3,0,20,11,7,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3
Closure_149,61,0,0,0,6,0,0,2,0,16,0,8,2,12,12,7,0,0,1,0,0,0,0,0,0,0,0,1,2,0
Closure_151,29,0,1,0,2,0,0,2,0,16,1,3,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Closure_153,51,1,9,0,3,0,0,2,0,19,10,13,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Closure_154,29,1,3,0,2,0,0,2,1,14,4,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_155,34,0,2,0,1,0,0,3,0,17,2,7,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_156,50,2,1,0,2,0,5,1,0,22,3,5,1,13,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
Closure_157,135,9,18,0,6,0,0,3,0,49,27,31,3,0,14,2,0,0,0,1,0,0,0,0,0,0,0,0,5,1
Closure_158,24,2,0,0,2,0,0,2,0,10,2,2,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_16,20,0,0,0,2,0,0,1,0,10,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Closure_160,35,0,0,0,2,0,0,2,0,21,0,3,2,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Closure_162,19,0,0,0,3,0,0,3,0,6,0,2,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Closure_163,26,1,4,0,3,0,0,2,0,8,5,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Closure_164,21,0,1,0,2,0,0,2,0,10,1,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_165,93,0,12,0,1,0,6,3,1,42,12,26,3,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,1,0
Closure_167,73,5,3,0,2,0,0,3,3,36,8,16,3,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Closure_169,56,0,6,0,3,0,0,3,0,29,6,12,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Closure_171,82,4,3,0,3,0,1,2,1,37,7,24,2,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2
Closure_173,86,5,11,0,6,0,0,1,2,34,16,15,1,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1,5
Closure_174,30,0,0,0,2,0,0,3,0,15,0,6,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_175,49,0,2,0,2,0,0,1,0,26,2,8,1,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_176,62,2,5,0,3,0,1,4,0,30,7,17,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
Closure_21,23,0,0,0,1,1,0,2,0,3,0,1,2,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
