window_size,tool_sequence,frequency
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,5629
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test,267
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,241
4,run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,236
4,run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other,201
4,run_shell_command_defects4j_test -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,197
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_compile,176
4,run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other,168
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,145
4,run_shell_command_other -> run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other,137
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other,132
4,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_other -> run_shell_command_other,114
4,run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_other -> run_shell_command_other,112
4,run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_test,108
4,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other,102
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_other,100
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_test_scripts,99
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_file_ops -> run_shell_command_other,83
4,run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_other,82
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_other,81
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_file_ops,76
4,run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> run_shell_command_other,71
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_other -> run_shell_command_other,68
4,run_shell_command_test_scripts -> run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other,67
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,65
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,61
4,run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,57
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_file_ops -> run_shell_command_other,55
4,run_shell_command_defects4j_compile -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,49
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test,49
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> run_shell_command_other,48
4,run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_compile,47
4,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_other,46
4,run_shell_command_file_ops -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other,43
4,run_shell_command_defects4j_test -> run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test,41
4,run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_file_ops -> run_shell_command_other,40
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test,39
4,run_shell_command_file_ops -> run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other,39
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,37
4,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> run_shell_command_other,37
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,37
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_other -> run_shell_command_build_exec,36
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,36
4,run_shell_command_file_ops -> run_shell_command_test_scripts -> run_shell_command_file_ops -> run_shell_command_other,35
4,run_shell_command_defects4j_compile -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other,34
4,run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_file_ops,33
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_test_scripts,33
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_build_exec -> run_shell_command_other,31
4,run_shell_command_defects4j_test -> run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other,30
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_other,29
4,run_shell_command_build_exec -> run_shell_command_other -> run_shell_command_other -> run_shell_command_other,29
4,run_shell_command_other -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_file_ops,28
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_other,28
4,run_shell_command_defects4j_test -> run_shell_command_test_scripts -> run_shell_command_file_ops -> run_shell_command_other,27
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,27
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other -> run_shell_command_test_scripts,26
4,run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test,26
4,run_shell_command_other -> run_shell_command_defects4j_test -> run_shell_command_defects4j_test -> run_shell_command_test_scripts,26
4,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_test_scripts -> run_shell_command_other,26
4,run_shell_command_other -> run_shell_command_defects4j_compile -> run_shell_command_other -> run_shell_command_defects4j_compile,25
4,run_shell_command_file_ops -> run_shell_command_other -> run_shell_command_other -> run_shell_command_test_scripts,24
4,run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_other -> run_shell_command_defects4j_compile,24
4,run_shell_command_other -> run_shell_command_build_exec -> run_shell_command_other -> run_shell_command_other,24
4,run_shell_command_file_ops -> run_shell_command_test_scripts -> run_shell_command_other -> run_shell_command_defects4j_test,24
4,run_shell_command_defects4j_compile -> run_shell_command_defects4j_test -> run_shell_command_other -> run_shell_command_other,23
4,run_shell_command_other -> run_shell_command_other -> run_shell_command_file_ops -> run_shell_command_file_ops,22
