bug,pass,test_fail,compile_fail,failed_tests,duration
Chart-2,Yes,No,No,,242.71
Chart-4,Yes,No,No,,586.24
Chart-14,Yes,No,No,,339.80
Chart-15,Yes,No,No,,268.29
Chart-16,Yes,No,No,,397.82
Chart-18,Yes,No,No,,481.16
Chart-19,Yes,No,No,,186.95
Chart-21,Yes,No,No,,254.34
Chart-22,Yes,No,No,,215.52
Chart-25,No,Yes,No,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal,251.28
Cli-1,Yes,No,No,,96.36
Cli-7,Yes,No,No,,85.74
Cli-10,Yes,No,No,,73.37
Cli-13,Yes,No,No,,246.32
Cli-14,Yes,No,No,,192.18
Cli-16,Yes,No,No,,371.67
Cli-18,Yes,No,No,,125.74
Cli-21,Yes,No,No,,222.37
Cli-22,Yes,No,No,,202.22
Cli-23,Yes,No,No,,425.15
Cli-26,Yes,No,No,,97.65
Cli-30,Yes,No,No,,172.11
Cli-31,Yes,No,No,,199.64
Cli-33,Yes,No,No,,147.84
Cli-34,Yes,No,No,,225.57
Cli-36,Yes,No,No,,92.15
Cli-39,Yes,No,No,,108.09
Closure-3,No,No,Yes,,355.03
Closure-4,Yes,No,No,,378.96
Closure-6,Yes,No,No,,430.79
Closure-9,Yes,No,No,,300.94
Closure-16,Yes,No,No,,236.66
Closure-21,Yes,No,No,,483.72
Closure-24,Yes,No,No,,375.46
Closure-25,Yes,No,No,,211.83
Closure-26,Yes,No,No,,248.02
Closure-27,Yes,No,No,,321.48
Closure-29,Yes,No,No,,953.86
Closure-30,Yes,No,No,,964.16
Closure-32,Yes,No,No,,368.43
Closure-34,Yes,No,No,,288.63
Closure-37,Yes,No,No,,487.34
Closure-39,Yes,No,No,,231.11
Closure-41,Yes,No,No,,899.75
Closure-43,Yes,No,No,,393.52
Closure-45,Yes,No,No,,222.76
Closure-47,Yes,No,No,,351.37
Closure-49,No,Yes,No,com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineOfNonGlobalFunction1; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineOfNonGlobalFunction2; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineOfNonGlobalFunction3; com.google.javascript.jscomp.InlineFunctionsTest::testNoInlineOfNonGlobalFunction4; com.google.javascript.jscomp.InlineFunctionsTest::testMethodWithFunctionWithFunction,1800.04
Closure-50,Yes,No,No,,214.21
Closure-51,Yes,No,No,,274.95
Closure-53,Yes,No,No,,215.65
Closure-54,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testIssue537a; com.google.javascript.jscomp.TypeCheckTest::testIssue537b; com.google.javascript.jscomp.TypedScopeCreatorTest::testPropertyOnUnknownSuperClass2,811.30
Closure-60,Yes,No,No,,426.08
Closure-64,Yes,No,No,,344.12
Closure-68,Yes,No,No,,382.55
Closure-72,Yes,No,No,,302.97
Closure-74,Yes,No,No,,384.30
Closure-75,Yes,No,No,,321.50
Closure-76,Yes,No,No,,390.37
Closure-79,Yes,No,No,,310.08
Closure-80,Yes,No,No,,211.07
Closure-84,Yes,No,No,,687.71
Closure-85,No,No,Yes,,1015.93
Closure-89,Yes,No,No,,634.10
Closure-90,No,Yes,No,com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse8; com.google.javascript.jscomp.TypeCheckTest::testBackwardsTypedefUse9,1072.50
Closure-98,Yes,No,No,,376.24
Closure-99,Yes,No,No,,170.80
Closure-100,Yes,No,No,,229.98
Closure-103,Yes,No,No,,402.57
Closure-105,Yes,No,No,,226.69
Closure-106,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testJSDocComments,1040.20
Closure-108,Yes,No,No,,342.35
Closure-110,Yes,No,No,,277.75
