bug_id,repair,failed_test_prior,failed_test_after,regression_reduction,compile_fail
Math_93,0,1,1,0,0
Closure_75,0,1,1,0,0
Chart_25,1,4,0,4,0
JacksonDatabind_20,0,1,1,0,0
JacksonCore_10,0,4,5,-1,0
Gson_1,0,1,4,-3,0
Closure_108,0,1,1,0,0
Closure_68,0,1,1,0,0
Mockito_21,0,1,1,0,0
Lang_62,1,1,0,1,0
Closure_21,0,1,1,0,0
Lang_27,0,1,1,0,0
JacksonCore_21,0,3,5,-2,0
Cli_23,0,2,2,0,0
Cli_14,1,1,0,1,0
Time_23,0,1,1,0,0
Closure_53,0,1,1,0,0
Closure_99,0,3,2,1,0
Jsoup_42,1,2,0,2,0
Lang_65,0,1,1,0,0
Cli_31,1,1,0,1,0
Closure_162,0,1,1,0,0
Jsoup_31,0,1,0,undefined,1
Closure_169,0,2,2,0,0
Math_77,1,2,0,2,0
Gson_4,0,3,2,1,0
Closure_143,0,3,3,0,0
Jsoup_21,0,2,0,2,0
Jsoup_65,0,1,1,0,0
Chart_14,0,4,4,0,0
Time_2,0,1,1,0,0
Gson_9,0,1,0,undefined,1
Math_6,0,26,89,-63,0
Jsoup_22,0,3,2,1,0
JacksonDatabind_65,1,1,0,1,0
JacksonDatabind_30,0,1,1,0,0
Compress_33,1,1,0,1,0
JacksonCore_18,1,1,0,1,0
Math_14,0,1,1,0,0
Codec_13,1,2,0,2,0
Closure_54,0,3,3,0,0
Closure_144,0,84,84,0,0
Mockito_30,1,1,0,1,0
Closure_135,0,2,2,0,0
Mockito_17,0,1,1,0,0
Closure_90,0,2,2,0,0
Closure_110,0,2,2,0,0
Closure_167,0,3,5,-2,0
Closure_47,0,16,16,0,0
Mockito_16,1,1,0,1,0
