bug,pass,test_fail,compile_fail,failed_tests,duration
Math-93,No,Yes,No,org.apache.commons.math.util.MathUtilsTest::testFactorial,485.92
Closure-75,No,Yes,No,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIEString,415.45
Chart-25,Yes,No,No,,769.68
JacksonDatabind-20,No,Yes,No,com.fasterxml.jackson.databind.introspect.TestNamingStrategyStd::testNamingWithObjectNode,202.34
JacksonCore-10,No,Yes,No,com.fasterxml.jackson.core.sym.TestSymbolTables::testCollisionsWithBytesNew187a; com.fasterxml.jackson.core.sym.TestSymbolTables::testCollisionsWithBytesNew187b; com.fasterxml.jackson.core.sym.TestSymbolTables::testThousandsOfSymbolsWithNew; com.fasterxml.jackson.core.sym.TestSymbolTables::testSyntheticWithBytesNew; com.fasterxml.jackson.core.sym.TestSymbolTables::testShortNameCollisionsDirectNew,396.83
Gson-1,No,Yes,No,com.google.gson.functional.DefaultTypeAdaptersTest::testDefaultDateDeserialization; com.google.gson.functional.DefaultTypeAdaptersTest::testDefaultJavaSqlTimestampDeserialization; com.google.gson.functional.DefaultTypeAdaptersTest::testDefaultJavaSqlTimestampSerialization; com.google.gson.functional.TypeVariableTest::testSingle,438.16
Closure-108,No,Yes,No,com.google.javascript.jscomp.ScopedAliasesTest::testIssue1144,105.07
Closure-68,No,Yes,No,com.google.javascript.jscomp.parsing.JsDocInfoParserTest::testIssue477,105.90
Mockito-21,No,Yes,No,org.mockito.internal.creation.instance.ConstructorInstantiatorTest::creates_instances_of_inner_classes,8.97
Lang-62,Yes,No,No,,201.47
Closure-21,No,Yes,No,com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode,149.04
Lang-27,No,Yes,No,org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber,7.64
JacksonCore-21,No,Yes,No,com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest::testSimpleWithPath; com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest::testSimplestWithPath; com.fasterxml.jackson.core.filter.TokenVerifyingParserFiltering330Test::testTokensSingleMatchWithPath; com.fasterxml.jackson.core.filter.TokenVerifyingParserFiltering330Test::testBasicSingleMatchFilteringWithPath; com.fasterxml.jackson.core.filter.TokenVerifyingParserFiltering330Test::testSkippingForSingleWithPath,426.13
Cli-23,No,Yes,No,org.apache.commons.cli.bug.BugCLI162Test::testInfiniteLoop; org.apache.commons.cli.bug.BugCLI162Test::testPrintHelpLongLines,167.32
Cli-14,Yes,No,No,,270.16
Time-23,No,Yes,No,org.joda.time.TestDateTimeZone::testForID_String_old,1118.73
