bug,status,path
Chart_14,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_14,match,source/org/jfree/chart/plot/XYPlot.java
Chart_15,ote,source/org/jfree/chart/plot/PiePlot3D.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues.java
Chart_18,match,source/org/jfree/data/DefaultKeyedValues2D.java
Chart_19,match,source/org/jfree/chart/plot/CategoryPlot.java
Chart_25,match,source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java
Cli_1,match,src/java/org/apache/commons/cli/CommandLine.java
Cli_10,ote,src/java/org/apache/commons/cli/Options.java
Cli_13,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_18,match,src/java/org/apache/commons/cli/PosixParser.java
Cli_21,match,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java
Cli_21,ote,src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java.backup
Cli_23,match,src/java/org/apache/commons/cli/HelpFormatter.java
Cli_26,ote,src/java/org/apache/commons/cli/OptionBuilder.java.bak
Cli_30,match,src/main/java/org/apache/commons/cli/DefaultParser.java
Cli_30,ote,src/main/java/org/apache/commons/cli/DefaultParser.java.backup
Cli_31,match,src/main/java/org/apache/commons/cli/HelpFormatter.java
Cli_33,ote,src/main/java/org/apache/commons/cli/HelpFormatter.java.backup
Cli_33,ote,src/main/java/org/apache/commons/cli/HelpFormatter.java.bak
Cli_34,ote,src/main/java/org/apache/commons/cli/CommandLine.java
Cli_36,match,src/main/java/org/apache/commons/cli/OptionGroup.java
Cli_39,match,src/main/java/org/apache/commons/cli/TypeHandler.java
Cli_39,ote,src/main/java/org/apache/commons/cli/TypeHandler.java.backup
Closure_100,ote,src/.DS_Store
Closure_103,match,src/com/google/javascript/jscomp/ControlFlowAnalysis.java
Closure_103,match,src/com/google/javascript/jscomp/DisambiguateProperties.java
Closure_103,ote,src/.DS_Store
Closure_105,ote,src/.DS_Store
Closure_106,ote,src/.DS_Store
Closure_106,ote,src/com/google/javascript/jscomp/CollapseProperties.java
Closure_106,ote,src/com/google/javascript/jscomp/CollapseProperties.java.bak
Closure_108,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_108,ote,src/.DS_Store
Closure_110,match,src/com/google/javascript/jscomp/ScopedAliases.java
Closure_110,ote,src/.DS_Store
Closure_115,ote,src/.DS_Store
Closure_116,ote,src/.DS_Store
Closure_117,ote,src/.DS_Store
Closure_117,ote,src/com/google/javascript/jscomp/TypeCheck.java
Closure_134,ote,src/.DS_Store
Closure_135,match,src/com/google/javascript/jscomp/DevirtualizePrototypeMethods.java
Closure_135,ote,src/.DS_Store
Closure_136,ote,src/.DS_Store
Closure_137,ote,src/.DS_Store
Closure_138,match,src/com/google/javascript/jscomp/ClosureReverseAbstractInterpreter.java
Closure_138,ote,src/.DS_Store
Closure_139,ote,src/.DS_Store
Closure_140,ote,src/.DS_Store
Closure_141,ote,src/.DS_Store
Closure_142,ote,src/.DS_Store
Closure_143,match,src/com/google/javascript/jscomp/AbstractCommandLineRunner.java
Closure_143,ote,src/.DS_Store
Closure_144,ote,src/.DS_Store
Closure_147,ote,src/.DS_Store
Closure_148,ote,src/.DS_Store
Closure_149,ote,src/.DS_Store
