bug,num_expected,correct_edits,ote,missed_edits
Chart_14,2,2,0,0
Chart_15,1,0,1,1
Chart_16,1,0,0,1
Chart_18,2,2,0,0
Chart_19,1,1,0,0
Chart_2,1,0,0,1
Chart_21,1,0,0,1
Chart_22,1,0,0,1
Chart_25,1,1,0,0
Chart_4,1,0,0,1
Cli_1,1,1,0,0
Cli_10,1,0,1,1
Cli_13,3,1,0,2
Cli_14,1,0,0,1
Cli_16,4,0,0,4
Cli_18,1,1,0,0
Cli_21,3,1,1,2
Cli_22,1,0,0,1
Cli_23,1,1,0,0
Cli_26,1,0,1,1
Cli_30,2,1,1,1
Cli_31,3,1,0,2
Cli_33,1,0,2,1
Cli_34,2,0,1,2
Cli_36,2,1,0,1
Cli_39,1,1,1,0
Cli_7,1,0,0,1
Closure_100,1,0,1,1
Closure_103,2,2,1,0
Closure_105,1,0,1,1
Closure_106,2,0,3,2
Closure_108,1,1,1,0
Closure_110,2,1,1,1
Closure_115,1,0,1,1
Closure_116,1,0,1,1
Closure_117,1,0,2,1
Closure_134,2,0,1,2
Closure_135,2,1,1,1
Closure_136,2,0,1,2
Closure_137,3,0,1,3
Closure_138,2,1,1,1
Closure_139,1,0,1,1
Closure_140,1,0,1,1
Closure_141,2,0,1,2
Closure_142,2,0,1,2
Closure_143,2,1,1,1
Closure_144,4,0,1,4
Closure_147,2,0,1,2
Closure_148,2,0,1,2
Closure_149,4,0,1,4
Closure_151,1,1,1,0
Closure_153,2,0,1,2
Closure_154,2,0,1,2
Closure_155,3,0,1,3
Closure_156,1,0,1,1
Closure_157,3,1,1,2
Closure_158,3,0,1,3
Closure_16,1,1,0,0
Closure_160,1,0,2,1
Closure_162,2,0,1,2
Closure_163,2,0,1,2
Closure_164,1,0,1,1
Closure_165,4,0,1,4
Closure_167,2,0,1,2
Closure_169,6,1,1,5
Closure_171,2,1,1,1
Closure_173,2,1,1,1
Closure_174,3,0,1,3
Closure_175,1,1,1,0
Closure_176,1,1,1,0
Closure_21,1,1,0,0
Closure_24,1,0,0,1
Closure_25,1,0,0,1
Closure_26,1,0,0,1
Closure_27,1,0,0,1
Closure_29,1,0,0,1
Closure_3,1,0,0,1
Closure_30,2,0,0,2
Closure_32,1,0,0,1
Closure_34,2,0,0,2
Closure_37,2,0,0,2
Closure_39,1,0,0,1
Closure_4,1,0,0,1
Closure_41,1,0,0,1
Closure_43,1,0,0,1
Closure_45,1,1,0,0
Closure_47,2,0,0,2
Closure_49,1,0,0,1
Closure_50,1,1,0,0
Closure_51,1,1,0,0
Closure_53,1,1,0,0
Closure_54,2,0,0,2
Closure_6,1,0,1,1
Closure_60,1,1,0,0
Closure_64,1,1,1,0
Closure_68,1,1,0,0
Closure_72,2,1,0,1
Closure_74,1,1,0,0
Closure_75,1,0,0,1
Closure_76,1,0,0,1
Closure_79,2,0,0,2
Closure_80,1,0,0,1
Closure_84,1,0,1,1
Closure_85,1,0,1,1
Closure_89,2,0,0,2
Closure_9,1,1,0,0
Closure_90,2,1,1,1
Closure_98,1,0,1,1
Closure_99,1,0,1,1
Codec_1,3,3,1,0
Codec_11,1,1,1,0
Codec_12,1,0,3,1
Codec_13,3,1,1,2
Codec_14,6,0,2,6
Codec_6,1,1,1,0
Codec_8,2,1,4,1
Collections_25,1,0,2,1
Compress_10,1,0,1,1
Compress_11,1,1,0,0
Compress_2,1,1,3,0
Compress_20,1,1,0,0
Compress_22,1,0,0,1
Compress_29,7,0,1,7
Compress_3,1,0,1,1
Compress_33,2,1,0,1
Compress_34,1,1,0,0
Compress_35,1,1,0,0
Compress_39,1,1,0,0
Compress_4,4,0,1,4
Compress_40,1,1,0,0
Compress_42,2,1,0,1
Compress_43,1,1,0,0
Compress_47,1,1,0,0
Compress_6,1,1,0,0
Compress_9,1,1,1,0
Csv_13,2,1,0,1
Csv_16,1,1,0,0
Csv_7,1,1,1,0
Csv_8,1,1,0,0
Gson_1,1,0,0,1
Gson_14,1,0,0,1
Gson_3,1,0,0,1
Gson_4,2,0,0,2
Gson_7,1,0,0,1
Gson_8,1,0,0,1
Gson_9,3,0,0,3
JacksonCore_1,2,0,4,2
JacksonCore_10,1,0,0,1
JacksonCore_12,2,2,0,0
JacksonCore_16,1,1,0,0
JacksonCore_17,1,1,0,0
JacksonCore_18,3,1,0,2
JacksonCore_19,2,2,0,0
JacksonCore_2,2,2,0,0
JacksonCore_21,1,1,0,0
JacksonCore_22,1,1,0,0
JacksonCore_24,2,0,1,2
JacksonCore_9,3,1,0,2
JacksonDatabind_10,2,1,0,1
JacksonDatabind_103,16,0,2,16
JacksonDatabind_104,1,1,1,0
JacksonDatabind_105,1,0,1,1
JacksonDatabind_108,1,0,0,1
JacksonDatabind_109,2,0,0,2
JacksonDatabind_110,1,1,1,0
JacksonDatabind_111,7,1,0,6
JacksonDatabind_13,2,0,0,2
JacksonDatabind_14,1,0,1,1
JacksonDatabind_15,5,1,0,4
JacksonDatabind_18,1,1,0,0
JacksonDatabind_20,1,0,0,1
JacksonDatabind_21,1,1,1,0
JacksonDatabind_22,2,0,0,2
JacksonDatabind_23,1,0,0,1
JacksonDatabind_25,4,0,1,4
JacksonDatabind_29,1,1,0,0
JacksonDatabind_3,1,1,0,0
JacksonDatabind_30,2,0,2,2
JacksonDatabind_31,1,0,0,1
JacksonDatabind_32,1,0,0,1
JacksonDatabind_36,1,1,0,0
JacksonDatabind_38,3,0,1,3
JacksonDatabind_4,1,0,2,1
JacksonDatabind_41,1,0,2,1
JacksonDatabind_43,1,0,0,1
JacksonDatabind_48,2,0,2,2
JacksonDatabind_50,1,0,0,1
JacksonDatabind_52,2,1,0,1
JacksonDatabind_53,2,0,0,2
JacksonDatabind_54,1,0,1,1
JacksonDatabind_55,1,0,0,1
JacksonDatabind_56,1,0,0,1
JacksonDatabind_59,4,0,2,4
JacksonDatabind_6,1,1,0,0
JacksonDatabind_60,1,0,0,1
JacksonDatabind_61,2,0,1,2
JacksonDatabind_65,2,0,0,2
JacksonDatabind_66,1,1,1,0
JacksonDatabind_68,1,0,1,1
JacksonDatabind_69,1,0,0,1
JacksonDatabind_72,1,0,1,1
JacksonDatabind_73,2,0,1,2
JacksonDatabind_75,1,0,0,1
JacksonDatabind_77,1,0,1,1
JacksonDatabind_78,1,0,1,1
JacksonDatabind_79,3,1,0,2
JacksonDatabind_8,1,0,0,1
JacksonDatabind_80,1,0,0,1
JacksonDatabind_81,1,0,0,1
JacksonDatabind_87,1,1,0,0
JacksonDatabind_90,2,1,0,1
JacksonDatabind_94,1,1,0,0
JacksonDatabind_95,2,1,0,1
JacksonXml_1,1,1,0,0
JacksonXml_2,1,0,0,1
JacksonXml_6,1,0,0,1
Jsoup_11,1,1,0,0
Jsoup_12,1,0,0,1
Jsoup_14,2,0,1,2
Jsoup_16,1,1,0,0
Jsoup_18,1,0,0,1
Jsoup_21,2,1,0,1
Jsoup_22,3,1,8,2
Jsoup_23,2,2,0,0
Jsoup_28,3,1,0,2
Jsoup_29,1,1,0,0
Jsoup_3,3,0,0,3
Jsoup_30,1,0,0,1
Jsoup_31,3,0,0,3
Jsoup_36,1,1,0,0
Jsoup_4,1,1,0,0
Jsoup_42,1,0,0,1
Jsoup_50,1,1,0,0
Jsoup_52,3,2,226,1
Jsoup_56,5,0,0,5
Jsoup_58,3,0,0,3
Jsoup_59,1,0,1,1
Jsoup_60,2,0,1,2
Jsoup_63,2,1,0,1
Jsoup_65,2,1,0,1
Jsoup_66,1,0,0,1
Jsoup_67,1,1,0,0
Jsoup_7,1,1,0,0
Jsoup_71,3,2,0,1
Jsoup_73,1,1,0,0
Jsoup_74,1,0,1,1
Jsoup_78,1,0,1,1
Jsoup_79,1,0,0,1
Jsoup_81,1,1,0,0
Jsoup_83,2,1,0,1
Jsoup_87,4,1,2,3
Jsoup_91,2,0,0,2
Jsoup_92,5,0,0,5
JxPath_1,2,0,1,2
JxPath_11,2,1,0,1
JxPath_13,2,1,0,1
JxPath_15,1,0,0,1
JxPath_16,2,2,0,0
JxPath_17,2,2,0,0
JxPath_18,1,1,0,0
JxPath_19,2,1,0,1
JxPath_2,1,1,0,0
JxPath_20,1,1,0,0
JxPath_3,1,0,1,1
JxPath_4,2,2,0,0
JxPath_7,5,4,1,1
JxPath_9,3,1,0,2
Lang_13,1,0,0,1
Lang_15,1,1,1,0
Lang_19,1,1,0,0
Lang_20,1,1,0,0
Lang_23,1,1,0,0
Lang_27,1,0,0,1
Lang_30,1,0,0,1
Lang_32,1,1,1,0
Lang_34,1,1,1,0
Lang_35,1,1,0,0
Lang_36,1,0,0,1
Lang_4,1,1,0,0
Lang_41,1,1,0,0
Lang_46,1,0,1,1
Lang_47,1,0,3,1
Lang_5,1,1,0,0
Lang_50,1,0,0,1
Lang_56,1,1,2,0
Lang_60,1,1,1,0
Lang_62,1,1,0,0
Lang_63,1,1,0,0
Lang_64,1,1,1,0
Lang_65,1,0,1,1
Lang_7,1,1,0,0
Lang_8,1,0,0,1
Math_1,2,0,2,2
Math_100,1,1,0,0
Math_106,1,1,0,0
Math_12,1,0,0,1
Math_14,2,1,0,1
Math_15,1,1,0,0
Math_16,1,0,1,1
Math_18,1,0,1,1
Math_21,1,1,0,0
Math_22,2,2,1,0
Math_23,1,1,0,0
Math_24,1,1,1,0
Math_26,1,1,0,0
Math_28,1,0,1,1
Math_29,1,1,0,0
Math_31,1,0,0,1
Math_35,1,1,0,0
Math_36,1,1,0,0
Math_37,1,0,0,1
Math_38,1,1,0,0
Math_4,2,2,0,0
Math_44,1,0,1,1
Math_46,1,1,0,0
Math_47,1,1,0,0
Math_49,1,1,0,0
Math_52,1,1,0,0
Math_54,1,1,0,0
Math_55,1,1,0,0
Math_6,7,0,1,7
Math_61,1,1,0,0
Math_62,1,0,0,1
Math_64,1,0,0,1
Math_65,1,1,0,0
Math_66,1,1,0,0
Math_68,1,1,0,0
Math_7,1,1,0,0
Math_71,2,1,0,1
Math_72,1,1,0,0
Math_76,1,1,0,0
Math_77,2,2,0,0
Math_78,1,1,0,0
Math_81,1,0,0,1
Math_83,1,0,4,1
Math_84,1,1,0,0
Math_86,1,1,0,0
Math_90,1,1,0,0
Math_92,1,1,0,0
Math_93,1,1,0,0
Math_98,2,0,1,2
Math_99,1,1,0,0
Mockito_10,1,1,0,0
Mockito_14,2,0,0,2
Mockito_15,1,1,0,0
Mockito_16,2,0,0,2
Mockito_17,2,1,0,1
Mockito_19,5,1,0,4
Mockito_2,1,1,0,0
Mockito_20,1,0,2,1
Mockito_21,1,1,0,0
Mockito_23,1,1,0,0
Mockito_25,1,1,0,0
Mockito_3,1,1,0,0
Mockito_30,2,1,0,1
Mockito_31,1,0,0,1
Mockito_32,1,1,0,0
Mockito_35,1,0,1,1
Mockito_36,1,0,0,1
Mockito_4,1,1,0,0
Mockito_6,1,1,1,0
Mockito_9,1,0,0,1
Time_1,2,1,0,1
Time_10,1,0,2,1
Time_12,2,1,1,1
Time_13,1,1,0,0
Time_2,2,1,0,1
Time_23,1,1,1,0
Time_26,3,0,1,3
Time_3,1,1,0,0
Time_6,1,1,0,0
Time_9,1,1,0,0
