bug_id,localization
Chart_2,0
Chart_4,0
Chart_14,1
Chart_15,0
Chart_16,0
Chart_18,1
Chart_19,1
Chart_21,0
Chart_22,0
Chart_25,1
Cli_1,1
Cli_7,0
Cli_10,0
Cli_13,0
Cli_14,0
Cli_16,0
Cli_18,1
Cli_21,0
Cli_22,0
Cli_23,1
Cli_26,0
Cli_30,0
Cli_31,0
Cli_33,0
Cli_34,0
Cli_36,0
Cli_39,1
Closure_3,0
Closure_4,0
Closure_6,0
Closure_9,1
Closure_16,1
Closure_21,1
Closure_24,0
Closure_25,0
Closure_26,0
Closure_27,0
Closure_29,0
Closure_30,0
Closure_32,0
Closure_34,0
Closure_37,0
Closure_39,0
Closure_41,0
Closure_43,0
Closure_45,1
Closure_47,0
Closure_49,0
Closure_50,1
Closure_51,1
Closure_53,1
Closure_54,0
Closure_60,1
Closure_64,1
Closure_68,1
Closure_72,0
Closure_74,1
Closure_75,0
Closure_76,0
Closure_79,0
Closure_80,0
Closure_84,0
Closure_85,0
Closure_89,0
Closure_90,0
Closure_98,0
Closure_99,0
Closure_100,0
Closure_103,1
Closure_105,0
Closure_106,0
Closure_108,1
Closure_110,0
Closure_115,0
Closure_116,0
Closure_117,0
Closure_134,0
Closure_135,0
Closure_136,0
Closure_137,0
Closure_138,0
Closure_139,0
Closure_140,0
Closure_141,0
Closure_142,0
Closure_143,0
Closure_144,0
Closure_147,0
Closure_148,0
Closure_149,0
Closure_151,1
Closure_153,0
Closure_154,0
Closure_155,0
Closure_156,0
Closure_157,0
Closure_158,0
Closure_160,0
Closure_162,0
Closure_163,0
Closure_164,0
Closure_165,0
Closure_167,0
Closure_169,0
Closure_171,0
Closure_173,0
Closure_174,0
Closure_175,1
Closure_176,1
Codec_1,1
Codec_6,1
Codec_8,0
Codec_11,1
Codec_12,0
Codec_13,0
Codec_14,0
Collections_25,0
Compress_2,1
Compress_3,0
Compress_4,0
Compress_6,1
Compress_9,1
Compress_10,0
Compress_11,1
Compress_20,1
Compress_22,0
Compress_29,0
Compress_33,0
Compress_34,1
Compress_35,1
Compress_39,1
Compress_40,1
Compress_42,0
Compress_43,1
Compress_47,1
Csv_7,1
Csv_8,1
Csv_13,0
Csv_16,1
Gson_1,0
Gson_3,0
Gson_4,0
Gson_7,0
Gson_8,0
Gson_9,0
Gson_14,0
JacksonCore_1,0
JacksonCore_2,1
JacksonCore_9,0
JacksonCore_10,0
JacksonCore_12,1
JacksonCore_16,1
JacksonCore_17,1
JacksonCore_18,0
JacksonCore_19,1
JacksonCore_21,1
JacksonCore_22,1
JacksonCore_24,0
JacksonDatabind_3,1
JacksonDatabind_4,0
JacksonDatabind_6,1
JacksonDatabind_8,0
JacksonDatabind_10,0
JacksonDatabind_13,0
JacksonDatabind_14,0
JacksonDatabind_15,0
JacksonDatabind_18,1
JacksonDatabind_20,0
JacksonDatabind_21,1
JacksonDatabind_22,0
JacksonDatabind_23,0
JacksonDatabind_25,0
JacksonDatabind_29,1
JacksonDatabind_30,0
JacksonDatabind_31,0
JacksonDatabind_32,0
JacksonDatabind_36,1
JacksonDatabind_38,0
JacksonDatabind_41,0
JacksonDatabind_43,0
JacksonDatabind_48,0
JacksonDatabind_50,0
JacksonDatabind_52,0
JacksonDatabind_53,0
JacksonDatabind_54,0
JacksonDatabind_55,0
JacksonDatabind_56,0
JacksonDatabind_59,0
JacksonDatabind_60,0
JacksonDatabind_61,0
JacksonDatabind_65,0
JacksonDatabind_66,1
JacksonDatabind_68,0
JacksonDatabind_69,0
JacksonDatabind_72,0
JacksonDatabind_73,0
JacksonDatabind_75,0
JacksonDatabind_77,0
JacksonDatabind_78,0
JacksonDatabind_79,0
JacksonDatabind_80,0
JacksonDatabind_81,0
JacksonDatabind_87,1
JacksonDatabind_90,0
JacksonDatabind_94,1
JacksonDatabind_95,0
JacksonDatabind_103,0
JacksonDatabind_104,1
JacksonDatabind_105,0
JacksonDatabind_108,0
JacksonDatabind_109,0
JacksonDatabind_110,1
JacksonDatabind_111,0
JacksonXml_1,1
JacksonXml_2,0
JacksonXml_6,0
Jsoup_3,0
Jsoup_4,1
Jsoup_7,1
Jsoup_11,1
Jsoup_12,0
Jsoup_14,0
Jsoup_16,1
Jsoup_18,0
Jsoup_21,0
Jsoup_22,0
Jsoup_23,1
Jsoup_28,0
Jsoup_29,1
Jsoup_30,0
Jsoup_31,0
Jsoup_36,1
Jsoup_42,0
Jsoup_50,1
Jsoup_52,0
Jsoup_56,0
Jsoup_58,0
Jsoup_59,0
Jsoup_60,0
Jsoup_63,0
Jsoup_65,0
Jsoup_66,0
Jsoup_67,1
Jsoup_71,0
Jsoup_73,1
Jsoup_74,0
Jsoup_78,0
Jsoup_79,0
Jsoup_81,1
Jsoup_83,0
Jsoup_87,0
Jsoup_91,0
Jsoup_92,0
JxPath_1,0
JxPath_2,1
JxPath_3,0
JxPath_4,1
JxPath_7,0
JxPath_9,0
JxPath_11,0
JxPath_13,0
JxPath_15,0
JxPath_16,1
JxPath_17,1
JxPath_18,1
JxPath_19,0
JxPath_20,1
Lang_4,1
Lang_5,1
Lang_7,1
Lang_8,0
Lang_13,0
Lang_15,1
Lang_19,1
Lang_20,1
Lang_23,1
Lang_27,0
Lang_30,0
Lang_32,1
Lang_34,1
Lang_35,1
Lang_36,0
Lang_41,1
Lang_46,0
Lang_47,0
Lang_50,0
Lang_56,1
Lang_60,1
Lang_62,1
Lang_63,1
Lang_64,1
Lang_65,0
Math_1,0
Math_4,1
Math_6,0
Math_7,1
Math_12,0
Math_14,0
Math_15,1
Math_16,0
Math_18,0
Math_21,1
Math_22,1
Math_23,1
Math_24,1
Math_26,1
Math_28,0
Math_29,1
Math_31,0
Math_35,1
Math_36,1
Math_37,0
Math_38,1
Math_44,0
Math_46,1
Math_47,1
Math_49,1
Math_52,1
Math_54,1
Math_55,1
Math_61,1
Math_62,0
Math_64,0
Math_65,1
Math_66,1
Math_68,1
Math_71,0
Math_72,1
Math_76,1
Math_77,1
Math_78,1
Math_81,0
Math_83,0
Math_84,1
Math_86,1
Math_90,1
Math_92,1
Math_93,1
Math_98,0
Math_99,1
Math_100,1
Math_106,1
Mockito_2,1
Mockito_3,1
Mockito_4,1
Mockito_6,1
Mockito_9,0
Mockito_10,1
Mockito_14,0
Mockito_15,1
Mockito_16,0
Mockito_17,0
Mockito_19,0
Mockito_20,0
Mockito_21,1
Mockito_23,1
Mockito_25,1
Mockito_30,0
Mockito_31,0
Mockito_32,1
Mockito_35,0
Mockito_36,0
Time_1,0
Time_2,0
Time_3,1
Time_6,1
Time_9,1
Time_10,0
Time_12,0
Time_13,1
Time_23,1
Time_26,0
