bug_id,total_input_token,total_output_token,time_duration,unread_instruction
Chart-14,2295688,5318,262.3,0
Chart-15,3500715,18521,449.38,0
Chart-16,18480,230,2.03,1
Chart-18,6499263,10775,1097.81,0
Chart-19,3501479,5147,697.43,0
Chart-2,2087517,11170,292.45,0
Chart-21,866831,10938,199.82,0
Chart-22,18481,177,2.29,1
Chart-25,2107772,7450,275.14,0
Chart-4,1958913,5738,276.36,0
Cli-1,941582,5629,134.01,0
Cli-10,756454,2787,89.12,0
Cli-13,2563180,7819,527.41,0
Cli-14,213391,802,30.21,1
Cli-16,18500,193,5.22,1
Cli-18,1688706,9405,221.72,0
Cli-21,2421615,10660,293.36,0
Cli-22,2479789,18285,378.08,0
Cli-23,1043173,5146,139.34,0
Cli-26,2666519,11434,370.93,0
Cli-30,1362563,10514,266.72,0
Cli-31,2577870,7486,219.03,0
Cli-33,2055913,11394,309.81,0
Cli-34,1375937,7849,258.27,0
Cli-36,785277,3013,106.19,0
Cli-39,2253175,12699,365.38,0
Cli-7,18487,196,2.17,1
Closure-100,298026,525,155.46,1
Closure-103,2388717,7279,434.32,0
Closure-105,18475,157,7.73,0
Closure-106,2464977,10423,370.44,0
Closure-108,1034127,5533,335.03,0
Closure-110,2499921,12845,625.62,0
Closure-115,209563,354,119.94,1
Closure-116,910846,1353,269.42,0
Closure-117,6158694,19059,927.28,0
Closure-134,3174915,10737,467.31,0
Closure-135,2661789,10375,440.81,0
Closure-136,18475,132,7.58,0
Closure-137,291309,526,149.34,1
Closure-138,2142751,8435,367.31,0
Closure-139,406763,596,166.02,1
Closure-140,290103,627,126.27,1
Closure-141,4193261,9000,481.76,0
Closure-142,4942949,12243,719.04,0
Closure-143,2842353,9345,483.52,0
Closure-144,18481,128,7.85,0
Closure-147,905127,867,213.29,1
Closure-148,3082368,5994,526.39,0
Closure-149,18493,256,10.76,1
Closure-151,3663228,7112,846.27,0
Closure-153,371851,678,174.97,0
Closure-154,150419,449,62.47,0
Closure-155,342534,493,148.2,0
Closure-156,18487,228,8.46,1
Closure-157,4517563,12132,678.31,0
Closure-158,3278354,5414,693.9,0
Closure-16,2259931,9041,320.02,0
Closure-160,2652198,13502,617.89,0
Closure-162,202228,441,143.03,0
Closure-163,202050,587,146.11,0
Closure-164,1748956,2317,362.27,0
Closure-165,32452,242,11.48,0
Closure-167,2870854,12130,576.55,0
Closure-169,1756601,8902,480.68,0
Closure-171,2232276,8240,617.99,0
Closure-173,2862686,11506,730.84,0
Closure-174,870241,884,2742.07,0
Closure-175,5688466,16943,888.58,0
Closure-176,1869578,8064,464.1,0
Closure-21,1477305,9375,217.34,0
Closure-24,201750,358,100.27,1
Closure-25,2269106,12776,307.57,0
Closure-26,2064428,2544,502.06,0
Closure-27,201930,441,68.0,1
Closure-29,488164,1276,77.48,0
Closure-3,214149,404,67.93,1
Closure-30,201196,428,82.96,1
Closure-32,1006198,737,198.1,1
Closure-34,2666858,12021,359.99,0
Closure-37,201119,406,66.25,1
Closure-39,348302,489,90.03,1
Closure-4,221117,511,73.08,1
Closure-41,1892898,9025,226.88,0
Closure-43,4006433,7267,633.56,0
Closure-45,2879484,15310,389.64,0
Closure-47,2269747,2657,376.65,0
Closure-49,786063,1941,84.48,0
Closure-50,4359575,15853,1063.82,0
Closure-51,1595713,5190,230.41,0
Closure-53,628815,3756,91.94,0
Closure-54,3825456,4849,670.81,0
Closure-6,4603256,5948,686.01,0
Closure-60,3596376,7000,604.34,0
Closure-64,2099267,17545,389.03,0
Closure-68,1106809,5268,379.89,0
Closure-72,2009896,9662,384.59,0
Closure-74,2052534,14526,636.74,0
Closure-75,18478,128,7.49,1
Closure-76,335159,521,143.25,1
Closure-79,1240035,1414,321.3,0
Closure-80,330751,482,152.08,1
Closure-84,2709425,4499,529.88,0
Closure-85,328694,617,147.56,1
Closure-89,2833364,12916,554.9,0
Closure-9,1160594,5046,134.37,0
Closure-90,3395483,14901,674.23,0
Closure-98,314857,657,166.73,1
Closure-99,295284,484,150.33,0
Codec-1,1909861,4169,274.49,0
Codec-11,1376615,9420,272.33,0
Codec-12,1839358,9410,303.98,0
Codec-13,1141308,3960,186.52,0
Codec-14,1665841,7039,289.71,0
Codec-6,3150865,21813,652.88,0
Codec-8,2732272,18149,471.54,0
Collections-25,613082,3120,128.09,0
Compress-10,1778270,10255,287.66,0
Compress-11,770337,3445,158.76,0
Compress-2,2330029,24714,530.02,0
Compress-20,2032539,8742,341.96,0
Compress-22,832780,8526,196.02,0
Compress-29,1683469,9893,267.43,0
Compress-3,18486,217,7.62,1
Compress-33,1365617,5240,233.98,0
Compress-34,3511238,23507,707.21,0
Compress-35,2109559,8073,348.25,0
Compress-39,1933518,4063,261.44,0
Compress-4,3762811,9480,513.04,0
Compress-40,1627719,7693,250.57,0
Compress-42,741674,2216,204.16,0
Compress-43,2290062,3069,503.23,0
Compress-47,2472420,9344,442.22,0
Compress-6,536966,3805,100.39,0
Compress-9,2444392,17686,426.68,0
Csv-13,2159361,5889,343.22,0
Csv-16,2016149,17022,440.37,0
Csv-7,1997322,10588,348.45,0
Csv-8,701179,1463,114.96,0
Gson-1,2832806,8561,516.09,0
Gson-14,18488,194,8.41,1
Gson-3,1589278,5764,359.55,0
Gson-4,2916993,11114,471.94,0
Gson-7,1733742,7641,223.61,0
Gson-8,4469159,13234,566.0,0
Gson-9,2614455,18490,441.11,0
JacksonCore-1,3413044,19100,506.41,0
JacksonCore-10,3323067,8876,443.84,0
JacksonCore-12,1550824,6056,233.53,0
JacksonCore-16,1682719,10461,308.17,0
JacksonCore-17,1949580,8592,312.92,0
JacksonCore-18,3773399,11105,554.17,0
JacksonCore-19,3328092,15353,457.22,0
JacksonCore-2,5145361,14653,680.8,0
JacksonCore-21,1409252,5169,327.13,0
JacksonCore-22,1827343,10209,330.05,0
JacksonCore-24,1248380,6661,226.66,0
JacksonCore-9,491027,2202,87.71,0
JacksonDatabind-10,3754563,13177,550.54,0
JacksonDatabind-103,7952949,16776,710.21,0
JacksonDatabind-104,1170079,5661,308.86,0
JacksonDatabind-105,3437661,14883,765.57,0
JacksonDatabind-108,67569,322,126.32,1
JacksonDatabind-109,393178,858,213.59,1
JacksonDatabind-110,1558715,3454,395.79,0
JacksonDatabind-111,2946331,13959,655.22,0
JacksonDatabind-13,1722266,5223,303.9,0
JacksonDatabind-14,1945585,5838,305.71,0
JacksonDatabind-15,900851,3029,171.26,0
JacksonDatabind-18,2762493,10199,412.39,0
JacksonDatabind-20,1510943,4928,274.91,0
JacksonDatabind-21,3449917,14059,543.79,0
JacksonDatabind-22,18511,320,8.95,1
JacksonDatabind-23,160017,1414,137.72,0
JacksonDatabind-25,7104102,35624,1194.03,0
JacksonDatabind-29,4933821,12542,710.27,0
JacksonDatabind-3,949032,2593,239.92,0
JacksonDatabind-30,4707049,19450,718.39,0
JacksonDatabind-31,331180,718,143.67,1
JacksonDatabind-32,343569,817,150.11,1
JacksonDatabind-36,838886,4480,237.22,0
JacksonDatabind-38,3662068,13330,786.39,0
JacksonDatabind-4,2643104,8866,444.82,0
JacksonDatabind-41,3570767,8500,666.85,0
JacksonDatabind-43,124478,365,101.78,1
JacksonDatabind-48,1588226,10514,399.39,0
JacksonDatabind-50,278308,672,146.82,1
JacksonDatabind-52,3521735,15724,569.07,0
JacksonDatabind-53,3955039,14858,739.12,0
JacksonDatabind-54,2879149,11650,601.9,0
JacksonDatabind-55,110920,335,99.53,1
JacksonDatabind-56,18515,247,9.21,1
JacksonDatabind-59,3338259,16917,746.46,0
JacksonDatabind-6,3781165,23156,830.17,0
JacksonDatabind-60,559152,1143,191.23,0
JacksonDatabind-61,1788978,10983,389.83,0
JacksonDatabind-65,282679,740,124.13,1
JacksonDatabind-66,2241617,11767,436.59,0
JacksonDatabind-68,2352959,11394,458.24,0
JacksonDatabind-69,1736080,15309,428.37,0
JacksonDatabind-72,1924620,6641,341.49,0
JacksonDatabind-73,7310545,17731,932.94,0
JacksonDatabind-75,407354,1322,165.36,0
JacksonDatabind-77,2096288,9220,439.15,0
JacksonDatabind-78,4220281,9969,516.98,0
JacksonDatabind-79,3083036,8966,504.18,0
JacksonDatabind-8,148151,360,122.59,1
JacksonDatabind-80,164370,625,174.47,1
JacksonDatabind-81,269778,640,182.18,1
JacksonDatabind-87,648679,3307,148.29,0
JacksonDatabind-90,354987,2402,137.0,0
JacksonDatabind-94,1568736,6741,350.79,0
JacksonDatabind-95,3302759,8539,524.22,0
JacksonXml-1,2360726,7086,341.26,0
JacksonXml-2,2128493,11672,372.15,0
JacksonXml-6,18486,194,7.99,1
Jsoup-11,3486688,6128,352.82,0
Jsoup-12,3342314,16425,599.51,0
Jsoup-14,7804048,15765,1047.97,0
Jsoup-16,4485305,9483,454.93,0
Jsoup-18,4011174,17152,688.39,0
Jsoup-21,2010116,7653,280.88,0
Jsoup-22,6977174,13818,655.05,0
Jsoup-23,940192,4250,196.11,0
Jsoup-28,2224295,14602,391.45,0
Jsoup-29,2177758,10271,458.92,0
Jsoup-3,50681,435,13.81,1
Jsoup-30,18555,186,8.5,1
Jsoup-31,877196,1740,110.09,0
Jsoup-36,4486937,13060,583.24,0
Jsoup-4,1431535,5126,197.58,0
Jsoup-42,18535,163,8.83,1
Jsoup-50,2412919,13440,1256.85,0
Jsoup-52,3628348,29037,710.09,0
Jsoup-56,18539,243,9.8,1
Jsoup-58,18539,157,7.38,1
Jsoup-59,2239649,7632,365.91,0
Jsoup-60,4247705,11242,648.44,0
Jsoup-63,3805369,10841,527.64,0
Jsoup-65,2761488,8290,344.01,0
Jsoup-66,4765580,21869,871.27,0
Jsoup-67,3768336,12347,786.26,0
Jsoup-7,3902631,27591,908.52,0
Jsoup-71,4718399,24519,697.3,0
Jsoup-73,3927173,18527,589.78,0
Jsoup-74,3291167,12614,686.89,0
Jsoup-78,967928,3806,166.83,0
Jsoup-79,18537,211,8.55,1
Jsoup-81,1407063,5876,225.46,0
Jsoup-83,1992630,7258,356.31,0
Jsoup-87,3429209,16723,546.37,0
Jsoup-91,32825,298,11.19,1
Jsoup-92,6016904,15756,797.5,0
JxPath-1,2822478,12201,438.72,0
JxPath-11,3309425,13644,538.23,0
JxPath-13,981555,4493,181.14,0
JxPath-15,18499,345,9.83,1
JxPath-16,1247151,3579,206.96,0
JxPath-17,1512771,7378,257.34,0
JxPath-18,2026894,6769,300.01,0
JxPath-19,1398037,7543,310.67,0
JxPath-2,1967520,7817,323.08,0
JxPath-20,3309770,14858,486.98,0
JxPath-3,1634503,6712,328.07,0
JxPath-4,2645593,10438,700.0,0
JxPath-7,944118,9446,195.48,0
JxPath-9,1605433,6783,240.44,0
Lang-13,18497,304,9.18,1
Lang-15,1569045,10453,324.39,0
Lang-19,3179442,10036,372.86,0
Lang-20,692861,2947,118.23,0
Lang-23,707387,2823,187.94,0
Lang-27,18502,180,11.77,1
Lang-30,2583949,7154,385.32,0
Lang-32,2745211,11513,409.65,0
Lang-34,2153927,10375,376.82,0
Lang-35,1481330,3562,304.76,0
Lang-36,18503,282,9.93,1
Lang-4,1009007,3985,228.98,0
Lang-41,2298099,5547,293.85,0
Lang-46,2624515,17125,479.39,0
Lang-47,2731753,8626,374.91,0
Lang-5,3204740,16410,583.81,0
Lang-50,18504,237,8.77,1
Lang-56,2286011,6516,278.29,0
Lang-60,1409273,3591,216.08,0
Lang-62,2941715,8290,372.45,0
Lang-63,3688407,18272,586.62,0
Lang-64,1090389,8783,389.5,0
Lang-65,2212043,20193,616.73,0
Lang-7,815886,2671,159.41,0
Lang-8,18489,127,7.21,1
Math-1,2534359,9844,412.38,0
Math-100,1029743,4883,766.58,0
Math-106,1506606,16093,720.04,0
Math-12,18513,313,9.21,1
Math-14,1665329,4132,974.41,0
Math-15,806738,2566,308.01,0
Math-16,4048925,12728,796.89,0
Math-18,2141166,20902,707.72,0
Math-21,2239212,14074,842.84,0
Math-22,3792299,15551,821.41,0
Math-23,718275,3316,448.39,0
Math-24,3144649,15911,675.38,0
Math-26,2570213,19899,625.05,0
Math-28,2473434,10711,555.87,0
Math-29,1042710,4094,539.79,0
Math-31,18514,310,9.53,1
Math-35,262439,2452,222.77,0
Math-36,3278742,28898,1263.95,0
Math-37,300496,1972,142.96,0
Math-38,3294225,11228,525.49,0
Math-4,2196976,13264,565.94,0
Math-44,2406289,16096,542.74,0
Math-46,1924144,6705,562.96,0
Math-47,887991,5886,311.49,0
Math-49,601346,3380,199.43,0
Math-52,647109,3180,219.33,0
Math-54,3142442,12682,797.63,0
Math-55,1675577,10710,566.09,0
Math-6,3461521,33408,859.44,0
Math-61,1962901,8174,457.44,0
Math-62,37221,427,13.42,1
Math-64,18526,282,9.43,1
Math-65,435418,1798,88.7,0
Math-66,6510783,18588,962.04,0
Math-68,1735715,5791,384.77,0
Math-7,3557993,5145,1221.83,0
Math-71,1505972,7471,260.09,0
Math-72,510575,5925,143.92,0
Math-76,2588708,8095,578.06,0
Math-77,1512085,4056,258.72,0
Math-78,505900,4942,131.53,0
Math-81,18505,248,10.16,1
Math-83,3264053,12922,536.17,0
Math-84,499159,2847,103.01,0
Math-86,685657,4825,145.23,0
Math-90,943107,7310,241.41,0
Math-92,3717366,16107,677.35,0
Math-93,1619080,6668,250.05,0
Math-98,3224328,11970,436.65,0
Math-99,4035040,22446,650.57,0
Mockito-10,1556452,8149,543.09,0
Mockito-14,71478,339,22.66,1
Mockito-15,1458689,9170,306.77,0
Mockito-16,600057,2216,105.14,0
Mockito-17,1268760,7241,207.9,0
Mockito-19,1598681,8040,569.74,0
Mockito-2,1346156,10413,437.08,0
Mockito-20,4866349,16277,938.5,0
Mockito-21,763542,5189,459.17,0
Mockito-23,2076850,14468,496.2,0
Mockito-25,2112141,13797,504.45,0
Mockito-3,2022201,6693,610.81,0
Mockito-30,1851002,8036,377.35,0
Mockito-31,2025346,1447,437.84,0
Mockito-32,2340948,5433,430.46,0
Mockito-35,2650078,9454,384.18,0
Mockito-36,18496,181,7.73,1
Mockito-4,1014218,3414,364.44,0
Mockito-6,6440740,22625,1135.59,0
Mockito-9,18492,218,8.17,1
Time-1,1248931,5397,189.78,0
Time-10,2006728,8616,298.18,0
Time-12,2494595,24623,965.72,0
Time-13,2721861,9930,456.61,0
Time-2,1909992,8910,298.12,0
Time-23,2394475,11867,524.41,0
Time-26,5721144,10490,839.14,0
Time-3,3058554,9263,367.8,0
Time-6,2669515,11152,421.37,0
Time-9,732150,4290,146.17,0
