bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
Chart_14,1,0,0,0,0,0,9,0,4,2,4,0,0,0,0,11
Chart_15,7,0,1,2,0,0,21,0,9,2,9,0,1,0,0,7
Chart_18,3,0,0,15,0,0,22,0,4,1,14,0,0,0,0,8
Chart_19,2,0,0,3,0,0,12,0,4,3,6,0,0,0,0,4
Chart_2,5,0,0,12,0,1,9,0,3,9,6,0,0,1,1,4
Chart_21,3,0,0,1,0,0,6,0,0,3,6,0,0,0,0,5
Chart_25,2,0,0,0,0,0,12,0,2,14,7,0,0,0,0,5
Chart_4,2,0,0,0,0,0,12,0,2,4,8,0,0,0,0,5
Cli_1,12,0,1,13,0,0,6,0,0,7,5,0,0,1,0,5
Cli_10,1,0,0,1,0,0,6,0,1,7,4,0,0,1,0,3
Cli_13,4,0,1,0,0,0,18,0,4,1,8,0,0,2,0,5
Cli_14,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0
Cli_18,2,0,0,10,0,0,16,1,4,0,6,0,0,5,0,6
Cli_21,6,0,2,20,2,0,18,0,3,7,9,0,0,5,0,7
Cli_22,10,1,1,30,0,0,9,0,3,0,14,0,0,10,0,11
Cli_23,5,0,1,0,0,0,5,0,2,3,7,0,0,6,0,4
Cli_26,7,0,5,19,0,1,15,1,1,5,6,0,2,3,0,12
Cli_30,2,0,1,0,0,0,11,0,3,9,2,0,0,0,0,8
Cli_31,10,0,1,4,0,0,12,0,5,0,7,0,0,0,0,6
Cli_33,9,0,3,13,0,0,10,0,5,2,6,0,0,0,0,10
Cli_34,1,0,1,4,1,0,13,1,4,1,3,0,0,0,0,8
Cli_36,4,0,0,8,0,0,5,0,1,8,4,0,0,0,0,2
Cli_39,2,0,1,0,0,0,17,0,2,6,5,0,0,2,0,10
Closure_100,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_103,4,0,0,0,0,0,11,0,1,5,10,0,0,2,0,4
Closure_106,5,0,0,9,0,0,15,0,3,2,4,0,0,4,0,13
Closure_108,3,0,0,0,0,0,6,0,1,0,8,0,0,0,0,6
Closure_110,4,0,0,2,0,0,11,0,4,0,11,0,0,2,0,6
Closure_115,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
Closure_116,0,0,0,0,0,0,11,0,0,3,6,0,0,0,0,0
Closure_117,9,0,0,0,0,1,22,0,8,8,11,0,2,6,0,22
Closure_134,2,0,0,4,0,1,22,0,6,4,8,0,0,3,0,7
Closure_135,6,0,0,0,0,0,12,0,8,6,12,0,0,6,0,5
Closure_137,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_138,5,0,0,10,0,2,15,0,6,4,6,0,0,0,0,6
Closure_139,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
Closure_140,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0
Closure_141,1,0,0,3,0,0,16,0,6,4,6,0,0,0,0,6
Closure_142,1,0,0,17,0,0,13,0,10,1,11,0,0,3,0,9
