bug,edit,exit_plan_mode,glob,list_directory,read_file,run_shell_command,run_shell_command_defects4j_compile,run_shell_command_defects4j_test,run_shell_command_defects4j_other,run_shell_command_test_scripts,run_shell_command_git_all,run_shell_command_build_and_execution,run_shell_command_file_operations,run_shell_command_other,search_file_content,task,todo_write,web_fetch,write_file
Chart_14,7,0,2,0,9,11,1,2,0,2,0,0,0,6,2,0,0,0,0
Chart_15,6,0,2,0,21,16,3,7,0,2,0,0,1,3,8,0,0,0,1
Chart_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart_18,8,0,1,0,22,18,1,0,0,2,0,0,0,15,3,0,0,0,0
Chart_19,3,0,3,0,12,9,1,2,0,2,0,0,0,4,3,0,0,0,1
Chart_2,3,0,0,9,9,12,0,0,0,1,0,0,0,11,3,0,0,1,1
Chart_21,3,0,3,0,6,8,2,4,0,1,0,0,0,1,0,0,2,0,0
Chart_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chart_25,5,0,0,14,12,9,2,5,0,2,0,0,0,0,2,0,0,0,0
Chart_4,2,0,2,2,12,13,2,5,0,3,0,0,0,3,2,0,0,0,0
Cli_1,2,0,4,3,6,13,0,0,0,1,0,0,0,12,0,0,0,0,3
Cli_10,1,0,0,6,6,7,1,3,0,1,1,0,0,1,1,0,1,0,1
Cli_13,4,0,1,0,18,13,4,4,0,2,2,0,1,0,4,0,0,0,1
Cli_14,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cli_18,3,0,0,0,16,18,2,5,0,1,0,0,0,10,2,0,0,0,1
Cli_21,3,0,6,0,17,26,1,3,0,1,0,0,1,20,2,0,0,0,1
Cli_22,9,0,0,0,9,30,0,0,0,1,0,0,0,29,2,0,0,0,2
Cli_23,1,0,2,0,4,18,1,6,0,1,6,0,2,2,0,0,1,0,1
Cli_26,5,0,4,0,15,30,5,5,0,1,0,0,0,19,0,0,0,0,3
Cli_30,3,0,0,8,9,12,2,1,0,1,0,0,1,7,1,0,0,0,1
Cli_31,4,0,0,0,12,18,3,5,0,2,0,1,1,6,2,0,0,0,2
Cli_33,5,0,2,0,10,16,0,2,0,1,0,0,0,13,4,0,1,0,3
Cli_34,4,0,1,0,12,8,0,1,0,2,0,0,0,5,3,0,0,0,1
Cli_36,1,0,0,8,5,8,0,0,0,2,0,0,0,6,1,0,0,0,1
Cli_39,8,0,5,1,17,10,2,3,0,2,2,0,1,0,2,0,0,0,2
Cli_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_100,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_103,4,0,5,0,11,16,4,9,0,1,2,0,0,0,1,0,0,0,0
Closure_105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_106,6,0,2,0,13,19,5,3,0,1,1,0,0,9,2,0,1,0,1
Closure_108,4,0,0,0,6,11,3,6,0,2,0,0,0,0,1,0,2,0,0
Closure_110,5,0,0,0,10,18,3,9,0,2,1,0,0,3,3,0,1,0,0
Closure_115,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_116,0,0,3,0,9,6,0,3,0,3,0,0,0,0,0,0,0,0,0
Closure_117,21,0,3,5,18,30,9,1,0,5,6,0,0,9,5,0,0,0,0
Closure_134,5,0,3,0,21,17,2,6,0,2,0,0,0,7,4,0,1,0,1
Closure_135,5,0,0,6,12,24,4,10,0,2,6,2,0,0,8,0,0,0,0
Closure_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Closure_137,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Closure_138,3,0,3,0,15,16,1,3,0,1,0,0,1,10,4,0,0,0,3
