bug,tool,command,parsed_command,category
chart_14,read_file,,read_file,READ
chart_14,run_shell_command,defects4j test,defects4j test,TEST
chart_14,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_14,read_file,,read_file,READ
chart_14,search_file_content,,search_file_content,SEARCH_CONTENT
chart_14,glob,,glob,SEARCH_FILES
chart_14,glob,,glob,SEARCH_FILES
chart_14,read_file,,read_file,READ
chart_14,read_file,,read_file,READ
chart_14,read_file,,read_file,READ
chart_14,read_file,,read_file,READ
chart_14,edit,,edit,WRITE
chart_14,read_file,,read_file,READ
chart_14,read_file,,read_file,READ
chart_14,read_file,,read_file,READ
chart_14,edit,,edit,WRITE
chart_14,search_file_content,,search_file_content,SEARCH_CONTENT
chart_14,edit,,edit,WRITE
chart_14,run_shell_command,"grep -n ""boolean removed = markers.remove"" /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java",grep,SEARCH_CONTENT
chart_14,run_shell_command,"sed -n '2160,2170p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java",sed,WRITE
chart_14,run_shell_command,"sed -n '2440,2450p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java",sed,WRITE
chart_14,edit,,edit,WRITE
chart_14,edit,,edit,WRITE
chart_14,run_shell_command,"grep -n ""boolean removed = markers.remove"" /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java",grep,SEARCH_CONTENT
chart_14,run_shell_command,"sed -n '2285,2300p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java",sed,WRITE
chart_14,run_shell_command,"sed -n '2520,2540p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java",sed,WRITE
chart_14,edit,,edit,WRITE
chart_14,edit,,edit,WRITE
chart_14,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_14,run_shell_command,defects4j test,defects4j test,TEST
chart_14,run_shell_command,./run_all_tests_trace.sh,run_all_tests_trace.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,./run_bug_exposing_tests.sh,run_bug_exposing_tests.sh,TEST
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,defects4j test,defects4j test,TEST
chart_15,run_shell_command,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset,defects4j test,TEST
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,glob,,glob,SEARCH_FILES
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,read_file,,read_file,READ
chart_15,edit,,edit,WRITE
chart_15,run_shell_command,"./run_bug_exposing_tests.sh 2>&1 | grep -A 20 -B 5 ""testDrawWithNullDataset""",run_bug_exposing_tests.sh,TEST
chart_15,run_shell_command,"./run_bug_exposing_tests.sh 2>&1 | grep -A 20 -B 5 ""testDrawWithNullDataset""",grep,SEARCH_CONTENT
chart_15,read_file,,read_file,READ
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset -v 2>&1,defects4j test,TEST
chart_15,read_file,,read_file,READ
chart_15,edit,,edit,WRITE
chart_15,read_file,,read_file,READ
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,search_file_content,,search_file_content,SEARCH_CONTENT
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,read_file,,read_file,READ
chart_15,edit,,edit,WRITE
chart_15,read_file,,read_file,READ
chart_15,run_shell_command,wc -l /Users/nashid/repos/qwen-cli-automation/workspace/Chart_15/source/org/jfree/chart/plot/PiePlot3D.java,wc,UTIL
chart_15,read_file,,read_file,READ
chart_15,edit,,edit,WRITE
chart_15,run_shell_command,defects4j compile,defects4j compile,BUILD
