bug,function_name,count,command
Chart_14,edit,7,
Chart_14,glob,2,
Chart_14,read_file,9,
Chart_14,run_shell_command,1,./run_all_tests_trace.sh
Chart_14,run_shell_command,1,./run_bug_exposing_tests.sh
Chart_14,run_shell_command,1,defects4j compile
Chart_14,run_shell_command,2,defects4j test
Chart_14,run_shell_command,1,"grep -n ""boolean removed = markers.remove"" /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java"
Chart_14,run_shell_command,1,"grep -n ""boolean removed = markers.remove"" /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java"
Chart_14,run_shell_command,1,"sed -n '2160,2170p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java"
Chart_14,run_shell_command,1,"sed -n '2285,2300p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java"
Chart_14,run_shell_command,1,"sed -n '2440,2450p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/CategoryPlot.java"
Chart_14,run_shell_command,1,"sed -n '2520,2540p' /Users/nashid/repos/qwen-cli-automation/workspace/Chart_14/source/org/jfree/chart/plot/XYPlot.java"
Chart_14,search_file_content,2,
Chart_15,edit,6,
Chart_15,glob,2,
Chart_15,read_file,21,
Chart_15,run_shell_command,1,./run_bug_exposing_tests.sh
Chart_15,run_shell_command,1,"./run_bug_exposing_tests.sh 2>&1 | grep -A 20 -B 5 ""testDrawWithNullDataset"""
Chart_15,run_shell_command,2,"cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_15 && javac -cp ""lib/*:build"" test_fix.java && java -cp "".:lib/*:build"" test_fix"
Chart_15,run_shell_command,3,defects4j compile
Chart_15,run_shell_command,3,defects4j test
Chart_15,run_shell_command,3,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset
Chart_15,run_shell_command,1,defects4j test -t org.jfree.chart.plot.junit.PiePlot3DTests::testDrawWithNullDataset -v 2>&1
Chart_15,run_shell_command,1,rm /Users/nashid/repos/qwen-cli-automation/workspace/Chart_15/test_fix.java /Users/nashid/repos/qwen-cli-automation/workspace/Chart_15/test_fix.class
Chart_15,run_shell_command,1,wc -l /Users/nashid/repos/qwen-cli-automation/workspace/Chart_15/source/org/jfree/chart/plot/PiePlot3D.java
Chart_15,search_file_content,8,
Chart_15,write_file,1,
Chart_18,edit,8,
Chart_18,glob,1,
Chart_18,read_file,22,
Chart_18,run_shell_command,1,./run_all_tests_trace.sh
Chart_18,run_shell_command,1,./run_bug_exposing_tests.sh
Chart_18,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j compile
Chart_18,run_shell_command,3,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test
Chart_18,run_shell_command,2,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test -t org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955
Chart_18,run_shell_command,2,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test -t org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey
Chart_18,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2
Chart_18,run_shell_command,3,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test -t org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue
Chart_18,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && defects4j test -v -t org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955
Chart_18,run_shell_command,1,"cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && grep -n ""testRemoveValue"" tests/org/jfree/data/junit/DefaultKeyedValuesTests.java"
Chart_18,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_18 && java -cp build:build-tests:lib/servlet.jar:lib/junit-4.11.jar org.junit.runner.JUnitCore org.jfree.data.junit.DefaultKeyedValues2DTests
Chart_18,run_shell_command,1,defects4j compile
Chart_18,search_file_content,3,
Chart_19,edit,3,
Chart_19,glob,3,
Chart_19,read_file,12,
Chart_19,run_shell_command,1,./run_all_tests_trace.sh
Chart_19,run_shell_command,1,./run_bug_exposing_tests.sh
Chart_19,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_19 && defects4j compile
Chart_19,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_19 && defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex
Chart_19,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_19 && defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex
Chart_19,run_shell_command,1,defects4j compile
Chart_19,run_shell_command,1,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex
Chart_19,run_shell_command,1,defects4j test -t org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex -v
Chart_19,run_shell_command,1,"grep -n \""indexOf\"" /Users/nashid/repos/qwen-cli-automation/workspace/Chart_19/source/org/jfree/chart/util/AbstractObjectList.java"
Chart_19,search_file_content,3,
Chart_19,write_file,1,
Chart_2,edit,3,
Chart_2,list_directory,9,
Chart_2,read_file,9,
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && ./run_bug_exposing_tests.sh
Chart_2,run_shell_command,2,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && defects4j compile
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && defects4j compile && defects4j test
Chart_2,run_shell_command,2,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && defects4j test
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && defects4j test -t org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && defects4j test -t org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2 -v
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && git status
Chart_2,run_shell_command,2,"cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && java -cp ""/Users/nashid/repos/qwen-cli-automation/workspace/Chart_2/lib/servlet.jar:/Users/nashid/repos/defects4j/framework/projects/lib/junit-4.11.jar:/Users/nashid/repos/qwen-cli-automation/workspace/Chart_2/build:/Users/nashid/repos/qwen-cli-automation/workspace/Chart_2/build-tests"" org.junit.runner.JUnitCore org.jfree.data.general.junit.DatasetUtilitiesTests"
Chart_2,run_shell_command,1,cd /Users/nashid/repos/qwen-cli-automation/workspace/Chart_2 && patch -p1 < patch.diff
Chart_2,search_file_content,3,
